,names,scores,logfoldchanges,pvals,pvals_adj
0,Hba-a2,17.842302,2.8059883,2.0152138070298174e-59,6.954502848059899e-56
1,Ctse,15.751066,1.2336318,1.4484676515079665e-43,2.499330932676996e-40
2,1190002H23Rik,12.545587,2.2532516,1.0295294602982671e-32,1.1843020558297733e-29
3,Hemgn,11.095482,1.1523544,1.7402736717542204e-25,1.2011368882447628e-22
4,Sec14l2,11.049823,3.1039038,2.389448975945623e-26,2.061497103997086e-23
5,Fads3,10.646671,2.1273496,1.240675287761563e-24,7.135950696775257e-22
6,Hbb-b1,10.471248,2.847698,5.390281667699516e-24,2.6574088621758614e-21
7,Grina,10.372135,1.4221486,3.762563779067913e-23,1.623075950195421e-20
8,Prdx2,10.199185,0.2600994,1.5972077886886768e-21,5.511964078764624e-19
9,Spnb1,10.1466055,1.2976376,3.5360690795619233e-22,1.3558860437297997e-19
10,Fam132a,9.777013,0.3293788,9.610474843079769e-20,2.551211437189868e-17
11,Isg20,9.606588,0.8741616,7.921266618497688e-20,2.278024258369627e-17
12,Hmbs,9.170683,0.6706384,2.490097035837188e-18,6.097183264644077e-16
13,Stard10,9.124439,0.606872,6.5146685857615484e-18,1.3224777229095943e-15
14,Beta-s,8.970846,3.0277581,2.6501810770692888e-18,6.097183264644077e-16
15,Fth1,8.969599,0.17770898,7.149294327288644e-18,1.3706785957485062e-15
16,Trim10,8.923586,3.0377653,3.631315801391353e-18,7.832294269125975e-16
17,Crip2,8.890619,1.15491,1.0132447990725838e-17,1.8403725271576244e-15
18,Rhd,8.750173,0.47201058,6.126976991820586e-17,1.0068665523225164e-14
19,Sh2d4a,8.541979,1.6020613,9.844917785950932e-17,1.5443096036053032e-14
20,Gypa,8.535064,1.3397313,1.3353296483661293e-16,2.0035750506571792e-14
21,Cldn13,8.465559,0.7525595,3.6759042181458785e-16,5.285643940342261e-14
22,Add2,8.329575,0.79351735,1.1476934523807085e-15,1.58427604166633e-13
23,Tmem14c,8.22268,0.31407768,3.2340382695448035e-15,4.2925638723842757e-13
24,Cd24a,7.882984,0.52368164,2.995989607431608e-14,3.5652276328436137e-12
25,Tmem8,7.851868,1.4152749,1.8398359223973124e-14,2.2675977743546877e-12
26,Rab3il1,7.7159634,2.3247223,3.902531168936939e-14,4.489211688000459e-12
27,Aldh1a1,7.6819067,1.4234802,6.814860074303482e-14,7.586478102071392e-12
28,Ubac1,7.608922,0.6787719,1.9825988136650846e-13,2.012337795870061e-11
29,Rrm2,7.566992,0.84844905,2.1374413077960966e-13,2.1075171294869513e-11
30,Spna1,7.5229006,1.4824301,1.850704068413119e-13,1.995868668779273e-11
31,Blvrb,7.4760227,0.26502824,7.163885314943306e-13,6.339120056889576e-11
32,Mgll,7.4650526,1.072194,3.4422514823166013e-13,3.2997805181873864e-11
33,Dhrs11,7.3452697,1.0604802,7.950799896921404e-13,6.692246449823357e-11
34,Cachd1,7.3428802,2.2125843,5.633124268846329e-13,5.1157662767864947e-11
35,Txnrd2,7.3378096,0.82739174,9.67420495289261e-13,7.948971736293428e-11
36,Tspan33,7.276389,0.67584056,1.6728083884266956e-12,1.3120140337410289e-10
37,Car2,7.1426535,0.11468933,4.898012695144883e-12,3.756231513543331e-10
38,Reep5,7.04324,0.911671,6.692019869833625e-12,4.913651185275711e-10
39,Cd82,7.0366936,0.83795714,7.241516320561586e-12,5.206348504637091e-10
40,2210020M01Rik,7.027263,1.3465352,5.695293216136967e-12,4.272708019323625e-10
41,Uros,6.97704,1.0701824,9.106000137551453e-12,6.413225811161238e-10
42,Ppap2a,6.908703,1.537072,1.1810861963998372e-11,7.838323968799688e-10
43,Ache,6.9023705,2.2828298,1.1059333825698673e-11,7.483482555389435e-10
44,Cited4,6.887272,0.6623861,1.9609715495240666e-11,1.2768514749825573e-09
45,Ap1b1,6.872236,0.42214432,2.6713156036971335e-11,1.6761291178834199e-09
46,Hebp1,6.8332815,1.3218135,2.0786459196539873e-11,1.328408716430724e-09
47,Hpn,6.7556114,0.78752005,4.295725464084252e-11,2.64724081724192e-09
48,Cpox,6.706089,0.30165583,6.881142442286332e-11,3.9578037613883556e-09
49,Trim2,6.6750584,3.7652867,5.242895070519579e-11,3.174251033046152e-09
50,Lmna,6.6601434,0.64404094,8.737181739637652e-11,4.9429531448343505e-09
51,Slc25a38,6.539998,0.814644,1.6149816817341928e-10,8.846510767721746e-09
52,1190007F08Rik,6.519095,0.90512025,1.8096873397985526e-10,9.758173452570007e-09
53,Epb4.9,6.497866,2.0961878,1.502584215863283e-10,8.363577627329338e-09
54,Mier3,6.4810476,1.250638,1.9674854216759772e-10,1.0445834138775074e-08
55,Pla2g12a,6.4408655,0.449122,3.516216191493926e-10,1.7844797171831675e-08
56,Erp29,6.433365,0.45043626,3.664766635435086e-10,1.8329144433168812e-08
57,Birc5,6.4218583,0.6328658,3.735343136971213e-10,1.841524166526808e-08
58,Ank1,6.421409,0.64035153,3.480659163343431e-10,1.7844797171831675e-08
59,Capn5,6.409713,1.7478992,2.7108362991843606e-10,1.4174387982553376e-08
60,Ftl1,6.3527713,0.17291734,6.480755878185335e-10,2.982011804749012e-08
61,Mfhas1,6.3461924,0.98965913,4.747585724787796e-10,2.2708096898119183e-08
62,Abcg4,6.3439665,0.9712248,4.803509340952479e-10,2.2708096898119183e-08
63,Klhdc8b,6.323242,1.998725,4.5421000919207054e-10,2.207716537636388e-08
64,Sox6,6.2992144,4.3825216,5.675389739346107e-10,2.646725674389651e-08
65,Slc43a3,6.2274604,0.79741424,1.0054007804866628e-09,4.565313280867728e-08
66,Ccne1,6.2062483,0.5801351,1.3329765851122338e-09,5.8975669169516904e-08
67,Pdia2,6.1794395,1.8217863,1.0963786885551089e-09,4.9137699405242604e-08
68,Agpat4,6.124752,1.7479941,1.5167534006184143e-09,6.625716437384998e-08
69,Arhgap23,6.099357,1.1064061,2.036144472903369e-09,8.5691885073043e-08
70,Phyhip,6.0893655,2.26032,1.824267501961842e-09,7.869433936587895e-08
71,Sqrdl,6.084751,1.3640102,2.085319601857167e-09,8.670407163866365e-08
72,Slc46a3,6.0757585,1.7304403,2.031079379807626e-09,8.5691885073043e-08
73,Butr1,6.053355,1.661503,2.333679938884111e-09,9.587535082248889e-08
74,Syngr1,5.923931,1.5467392,5.132513681103518e-09,2.0838005545280283e-07
75,Parvb,5.8874545,1.0784179,6.769831475996032e-09,2.716591677170036e-07
76,Tk1,5.87603,0.57068264,8.78096772594408e-09,3.404844901374497e-07
77,Fam55b,5.8664713,0.94435143,8.301639564857547e-09,3.2929836940601606e-07
78,Cnp,5.8516397,0.5734297,9.531566412096188e-09,3.654826187571549e-07
79,Cela1,5.820781,0.6182263,1.1353606991515465e-08,4.3056371129362495e-07
80,Urod,5.818628,0.37608793,1.2243571180498454e-08,4.592670015641322e-07
81,Gpx1,5.7922316,0.11778591,1.435999344446314e-08,5.271950784770457e-07
82,Rgs12,5.7152715,0.74106157,1.897051961030236e-08,6.891290860542468e-07
83,Aldh1a7,5.6430197,1.4032345,2.5600943063708333e-08,9.108129331222418e-07
84,Pla2g16,5.6348753,0.7066047,2.9772812579717824e-08,1.0484283287000635e-06
85,Slc29a1,5.610449,0.53115547,3.837145149934406e-08,1.311087912121152e-06
86,Armc9,5.6090837,1.3818756,3.08612882181402e-08,1.0757808650586044e-06
87,Fech,5.5687265,0.5790186,4.3545580536632427e-08,1.4732921414893971e-06
88,Alad,5.560933,0.29041436,5.078745417763166e-08,1.701626255990358e-06
89,Daam1,5.5219765,0.9016975,5.2003120275017156e-08,1.7256035391258097e-06
90,Xpnpep1,5.5164137,0.49502945,6.044071454352251e-08,1.9864848179971067e-06
91,Psmf1,5.4980674,0.51595956,6.654161064682397e-08,2.146122414412986e-06
92,Mkrn1,5.495067,0.5768647,6.533705868380146e-08,2.127152731299989e-06
93,Ezr,5.431575,0.7025107,8.91831193224264e-08,2.8497309702008657e-06
94,Cdyl,5.3720975,0.98253506,1.1598591770595398e-07,3.638794563665884e-06
95,Ift140,5.3661633,0.950484,1.198042957020194e-07,3.7247263465555754e-06
96,Mgst3,5.3626847,1.2947079,1.1528209269459966e-07,3.638794563665884e-06
97,Hmgb3,5.35744,0.486834,1.3898950452850092e-07,4.2074805274373385e-06
98,Ccnb2,5.353203,0.5680628,1.3810693932393727e-07,4.2074805274373385e-06
99,Slc16a10,5.306101,0.6575555,1.710718288878706e-07,5.089386909414151e-06
100,Ncapd2,5.282971,0.5022972,2.0463096057269905e-07,5.934297856608273e-06
101,Carhsp1,5.268141,0.9340582,1.966651883532773e-07,5.800782606898803e-06
102,Acsl6,5.2612543,1.3651602,1.983549625520641e-07,5.8010421675184166e-06
103,Ucp2,5.2385993,0.20057485,2.5774229698175316e-07,7.40673072462156e-06
104,Pccb,5.224598,0.7606931,2.5969702048079074e-07,7.40673072462156e-06
105,Selenbp1,5.1773705,0.54413855,3.4240904543200934e-07,9.685685375293968e-06
106,Ampd3,5.1594577,0.9013077,3.5416427133745107e-07,9.936755287687347e-06
107,Sphk1,5.1529512,0.32066482,4.0125732069031846e-07,1.1077912109618312e-05
108,Eps15,5.151872,0.7396775,3.7272145630194735e-07,1.0373078594338872e-05
109,Tns1,5.1287622,0.7503724,4.172796859717417e-07,1.1428826954670482e-05
110,Gfi1b,5.1274266,0.43116298,4.529128243698433e-07,1.221095435078382e-05
111,Ccnf,5.127017,0.82179826,4.244039609482376e-07,1.153242574198715e-05
112,Galns,5.1020255,1.1207527,4.5879994001200113e-07,1.2273787542491596e-05
113,Epor,5.095662,0.41280144,5.311039549105912e-07,1.4098767295357308e-05
114,Klf1,5.069504,0.18580414,6.501306072303358e-07,1.6619264633717695e-05
115,Glrx5,5.0691943,0.21107098,6.314115120972834e-07,1.6423117038488122e-05
116,St3gal5,5.067578,0.5266785,5.982553368525398e-07,1.576014631662683e-05
117,Ifrd2,5.062194,0.28736964,6.329396018889945e-07,1.6423117038488122e-05
118,Ifi30,5.0454197,0.6716848,6.415009289768575e-07,1.652104258133683e-05
119,Bmp1,5.019757,1.2926483,6.723908472372097e-07,1.7061917748644195e-05
120,Kpc1,5.00915,0.79559225,7.589257213192467e-07,1.8978642494729857e-05
121,Mcm4,5.008467,0.538628,8.079669023280391e-07,2.005966748154002e-05
122,Arhgdig,5.0009236,1.9111404,7.166892938526795e-07,1.8053246372887567e-05
123,Agpat3,4.960614,0.89237654,9.434646871886798e-07,2.3256404539200958e-05
124,Cenp-a,4.9575267,0.34337848,1.0595116459828966e-06,2.5749117537232226e-05
125,Prnd,4.925695,1.8642287,1.046062973766799e-06,2.560257675510088e-05
126,Hmgcl,4.902691,0.5787902,1.3320686162151718e-06,3.1486087633962725e-05
127,AK032662,4.9019036,1.0506682,1.2362217168893466e-06,2.962639684017455e-05
128,E2f2,4.8953905,1.5585983,1.2290382776431202e-06,2.962639684017455e-05
129,Gm16515,4.8847685,1.860336,1.2790008864290035e-06,3.044022109701028e-05
130,Sod1,4.878936,0.1225602,1.5836535619073592e-06,3.69269489333939e-05
131,Rps6ka1,4.8536377,0.66521955,1.6433812436054041e-06,3.8062474306592275e-05
132,Mki67,4.853412,0.58146733,1.6596100249113885e-06,3.818209463979468e-05
133,Myo1d,4.8362374,0.5583489,1.794377354752237e-06,4.100924669701967e-05
134,Dck,4.8263726,0.74760324,1.8497840630034372e-06,4.1997400009374085e-05
135,Phf5a,4.8086834,0.2871366,2.21464201072062e-06,4.930793276772168e-05
136,Mllt3,4.7686596,0.7498944,2.4200882118114483e-06,5.3536694993341716e-05
137,Sri,4.7666817,0.49831694,2.558741086209009e-06,5.588743980067906e-05
138,Serinc5,4.7396255,1.3486997,2.651984496152457e-06,5.7559738969950494e-05
139,Arf5,4.722303,0.48012832,3.159060798628664e-06,6.787094834250283e-05
140,Cnn3,4.7075725,0.9900935,3.1663931275407e-06,6.787094834250283e-05
141,2310022B05Rik,4.697696,0.6823133,3.4828289157955743e-06,7.41928554840156e-05
142,Akap8l,4.6811466,1.0011237,3.5664599355389066e-06,7.550830207082679e-05
143,Pik3r2,4.6676593,0.6330693,3.966508176632585e-06,8.346597388755518e-05
144,Ppox,4.660394,0.66343844,4.089384865274951e-06,8.553010406099307e-05
145,Chst10,4.63374,1.4288509,4.317008211735926e-06,8.974695987169083e-05
146,Dnaja4,4.632153,1.3315561,4.368971110830681e-06,9.028334912261484e-05
147,Ppp2r4,4.62534,0.23090382,5.184949254589237e-06,0.00010463894665255823
148,Capns1,4.623879,0.39704293,5.167880201702186e-06,0.00010463894665255823
149,Irf7,4.6059647,0.8763083,5.132237040992384e-06,0.00010463894665255823
150,Ehd1,4.536685,0.44606757,7.3205506814734634e-06,0.0001460301757327452
151,Dopey2,4.5201225,0.8424498,7.6265474121584386e-06,0.00015039551496776442
152,1300017J02Rik,4.512497,2.3520842,7.450430126084475e-06,0.0001477668641673421
153,Fhdc1,4.5054994,3.7497315,7.856246128637896e-06,0.00015317460672276484
154,Dclk2,4.504561,2.1418223,7.745772848169723e-06,0.00015187876192632792
155,Ccdc74a,4.492106,1.9365165,8.202235829594204e-06,0.0001590219991456719
156,Slc26a1,4.4880505,1.1500186,8.66139242747529e-06,0.00016698583948166048
157,Mcm2,4.476129,0.30936015,9.925849175269207e-06,0.00018820937090029688
158,Whsc1,4.462628,0.5794883,1.0190674468356268e-05,0.0001921749595098223
159,Mcm7,4.455277,0.21340077,1.075670862667878e-05,0.0002006562241657755
160,Leprot,4.4516983,0.5498339,1.0722237526615708e-05,0.0002006562241657755
161,Fam53b,4.4392037,0.6319642,1.1231661792863382e-05,0.00020727521308647876
162,Mylk3,4.4357357,1.278426,1.0842447943110556e-05,0.00020116821425631467
163,Ermap,4.425082,0.2143035,1.2510697312383227e-05,0.00022965115119699212
164,Mcm5,4.4074945,0.19319865,1.3505396037400501e-05,0.00024445281351956333
165,Emilin2,4.399761,0.6563226,1.3266031194282061e-05,0.0002422279029178169
166,Rhag,4.398943,0.48911914,1.355194462231068e-05,0.00024445281351956333
167,Bex4,4.386793,1.0266373,1.3748436647805056e-05,0.0002445662622246147
168,Flt3l,4.3846,1.1743805,1.3671223705962248e-05,0.00024445281351956333
169,Kif22,4.381845,0.5251084,1.459796782091198e-05,0.00025834659974342176
170,Dnajb3,4.380475,1.6769748,1.3636921549233108e-05,0.00024445281351956333
171,Cdt1,4.3797755,0.35659164,1.492233817222419e-05,0.00026273973996094734
172,Bcl2l11,4.365593,1.0241239,1.5156671044175466e-05,0.0002641700594618663
173,Dek,4.358551,0.27764764,1.641488214991573e-05,0.00028323879149679595
174,Mns1,4.3544335,0.25186768,1.7455299171511693e-05,0.0002982090962420141
175,Gypc,4.3435473,0.60263145,1.711910220030989e-05,0.00029392050593666385
176,Necap2,4.342082,0.28404102,1.8072571051705413e-05,0.0003042363058509043
177,Ccdc23,4.341369,0.35305345,1.790392529986827e-05,0.00030287473632277154
178,Ssbp3,4.330082,0.3919751,1.8624565369476062e-05,0.0003104993965703473
179,Tmem56,4.3267546,1.1217306,1.776441394829276e-05,0.0003019950371209769
180,Eef2,4.321519,0.06474577,1.9442634056005258e-05,0.0003210360293171012
181,Ssx2ip,4.3053317,0.5968201,2.0211203215891163e-05,0.00033210940248636994
182,mKIAA1994,4.3052998,0.5626348,2.030573280922169e-05,0.00033210940248636994
183,Acss1,4.2927074,0.42134565,2.1778159757347546e-05,0.0003528470860216262
184,Slc14a1,4.2890196,0.5977582,2.1612480598374745e-05,0.0003518144837027889
185,Rgs10,4.257541,0.38672218,2.5487495553154127e-05,0.0004039251785971329
186,D16H22S680E,4.2542396,0.6690615,2.5068154912919106e-05,0.0004005101972429807
187,Paqr9,4.2468724,0.88982004,2.5515992157106627e-05,0.0004039251785971329
188,Fam59a,4.241938,1.0435262,2.5917379389836288e-05,0.00040654943761056836
189,Epb4.1,4.2405844,0.40807998,2.727456801444781e-05,0.0004259028697640696
190,Vangl1,4.234952,1.6351714,2.5902105750195727e-05,0.00040654943761056836
191,Slc25a12,4.229038,0.6412255,2.8139814644661753e-05,0.00043743468621048514
192,SMC4,4.222884,0.43708596,2.9341146988718132e-05,0.000453946277143748
