,names,scores,logfoldchanges,pvals,pvals_adj
0,Napsa,4.168825,3.0564399,0.005679966057823095,0.01818326796432978
1,Cfl1,3.5315974,0.7257913,0.009937786033130622,0.030269461253604392
2,Sae1,3.3633537,1.5722375,0.013922236877531902,0.04109076585255778
3,Myl12b,3.3103032,1.5309352,0.015020684232366011,0.04322744215334129
4,Top2b,2.7871368,2.302713,0.031162207930671804,0.08342961952579395
5,D4Wsu53e,2.6909533,1.2884716,0.03446552326061898,0.09220195408712877
6,Fxyd5,2.5461452,2.086419,0.04313970137627784,0.11531766804766445
7,Sh3bgrl3,2.4161441,1.1959186,0.050838289041611265,0.12740953920305045
8,Tmem176b,2.3850307,1.8351371,0.05354106252739232,0.13398854734012391
9,Cd63,2.335083,3.010129,0.057921751382297264,0.14484635073935354
10,Rest,2.2190423,2.5939023,0.06784450454565721,0.16892596333842932
11,Eef1b2,2.1688402,0.2913082,0.061658553805209786,0.15374542570937785
12,Rgs19,2.1269407,2.196881,0.07685708971589018,0.19109064597228892
13,Ptpn18,2.1089144,1.4284148,0.07836450870962818,0.19469828621808988
14,AI848100,1.9754677,4.033931,0.09545952072461451,0.22226458989001577
15,Dab2ip,1.9168197,3.540969,0.10349659806724257,0.2403544817833473
16,Nfatc1,1.9071127,3.4741971,0.10487690156871711,0.24290616598231057
17,Gimap1,1.8981874,4.2458954,0.10633838251757756,0.24612592761110674
18,Spna2,1.8816557,3.3088953,0.10864162264874702,0.2511200534231922
19,Rbm25,1.8347112,1.1431408,0.11453780737433554,0.26421789655670586
20,Samhd1,1.8158234,1.7366536,0.11850140525826422,0.2724505992979812
21,Cdc14a,1.8085611,2.9193382,0.12015345242667318,0.2760649562745999
22,Rnf10,1.7742554,1.6701453,0.12550276269744323,0.28720824540376433
23,Etf1,1.7733772,1.6746999,0.12579455861347805,0.28768523643148625
24,Cd34,1.7717125,3.080523,0.1265873870251146,0.2893066706117023
25,Dock10,1.7621274,1.5609653,0.1274615732715254,0.29111177323629
26,Gnas,1.7616794,0.3848032,0.1236120441987904,0.2833852610617542
27,Arhgdia,1.7513698,0.75389177,0.12837204608568215,0.2926102582838105
28,Ly6e,1.745776,0.49468306,0.1281355030126835,0.2922641248491545
29,Cited2,1.7292058,1.6007822,0.13356974946458075,0.3036556030317972
30,Gmpr,1.7287022,2.5844772,0.1341400160911457,0.3047512807969347
31,Kiaa0028,1.7044603,1.5641392,0.13819666771074762,0.3135547010320776
32,mKIAA0007,1.7044419,0.97642934,0.13697273986608183,0.310982187682795
33,Cpne2,1.698261,1.6393014,0.13965767700384338,0.31645347560096093
34,Adap1,1.6964427,2.466915,0.140264761357624,0.3174122566853511
35,Coro1a,1.6922203,1.1248603,0.1402503800749079,0.3174122566853511
36,Arl6ip1,1.6706569,1.611147,0.14495604946742652,0.32759877322337194
37,Laptm5,1.6613392,0.71803874,0.14613235272217473,0.3300410662593095
38,Trp53,1.6579845,0.9981724,0.1466193187558465,0.33092430936980133
39,Cox5a,1.6486101,1.1050472,0.14901252470101356,0.33171495369303206
40,Cct7,1.6475643,0.7584161,0.148599498015199,0.33171495369303206
41,Ptp4a2,1.6339402,1.5535221,0.15255503675135226,0.33171495369303206
42,BC033430,1.6161466,0.78039247,0.1555090183116593,0.33171495369303206
43,Eef1g,1.6067888,0.38788834,0.1540628908580613,0.33171495369303206
44,Psmd4,1.5904297,0.89225143,0.16070852920467657,0.338173862369109
45,Tceb3,1.5899402,1.3297689,0.16178204692767625,0.34001817536383117
46,Wdfy4,1.5844854,2.1193664,0.16361947396823512,0.34221260888750266
47,Rnf125,1.5710827,2.0835557,0.1666107291958654,0.34804698937949846
48,Cox6b1,1.5446637,0.5796016,0.16957727132285716,0.35402974188456143
49,Tmpo,1.5380929,1.4381388,0.17417501663045576,0.36275074374876454
50,Ccdc102a,1.5363408,7.0363517,0.17534787179158443,0.36497316378332806
51,Ywhaz,1.5336876,2.0999978,0.17549990931983586,0.3650694316231185
52,Mrgpre,1.5106437,5.449606,0.18157897654775215,0.3770331215802002
53,Mosc2,1.5081902,1.3138171,0.1813214364739671,0.37672503146999425
54,Anxa2,1.5070586,2.027615,0.181988613132341,0.37742950956713267
55,Atp2a3,1.5069101,1.918389,0.18190866764852812,0.37742950956713267
56,Soat1,1.4796534,4.5974064,0.1893638708990148,0.39201842739802045
57,Whsc1l1,1.4761044,1.9469668,0.18984257820218492,0.3927738233667507
58,mKIAA0569,1.4710925,1.833837,0.19098473627630022,0.3947880576437479
59,Chd4,1.4640338,0.60113364,0.19104493082151813,0.3947880576437479
60,Rfc2,1.4591242,0.9045674,0.19320967145810747,0.3990224872542962
61,Nrxn1,1.4539807,4.1416097,0.19605787602905891,0.4044206396750044
62,Csnk1a1,1.4486251,1.2315221,0.1967067927768697,0.40551681115470567
63,Dstyk,1.4464469,4.0301056,0.19807275699537086,0.40784551574643485
64,Ddx17,1.432086,1.8397032,0.2015173149503232,0.41419669677996745
65,Spns2,1.4298595,1.1406336,0.20142991142405975,0.41419669677996745
66,Ranbp2,1.4250281,4.149674,0.2039366530318827,0.41867066603987335
67,Ddx24,1.42386,0.842236,0.20269511073295735,0.4163695399639499
68,Agap2,1.4207861,3.7063906,0.205049991354136,0.4207060167438308
69,Gypc,1.4156212,1.7104203,0.20593649679415044,0.421772611535082
70,Cytip,1.4101962,3.5925765,0.20797800291637467,0.4254487777500942
71,Fermt3,1.4061466,1.6908126,0.20856240455039235,0.42639150361576067
72,Mat2b,1.4023511,1.7715696,0.20975410202999611,0.4285739526971679
73,Etfa,1.3991773,1.6758473,0.21055815896586083,0.42996225242082
74,Ubtd1,1.3823141,3.3251977,0.21593840455024446,0.44016741529999626
75,Crip1,1.3806102,0.81061614,0.21499859954392606,0.43877005737793545
76,Nav1,1.3664451,3.1943815,0.22055695309699405,0.44826401142159616
77,Igfbp4,1.3650699,1.1411924,0.22010579537345368,0.44786857301520555
78,Metap2,1.3637409,1.1391424,0.22055992216571146,0.44826401142159616
79,Smyd5,1.3615063,1.5994633,0.22150264132352254,0.4496503618867507
80,Sypl,1.3566785,3.1169584,0.22348628612205448,0.4531440501804994
81,Tmbim6,1.3502939,0.8172885,0.22420061861185453,0.4540588819422007
82,Actb,1.3429912,0.15845366,0.2239887810352784,0.45389623215076086
83,Noc4l,1.3341216,1.6243491,0.22991542189990574,0.46481436495405665
84,Pdgfrb,1.3315895,3.3937984,0.23121268901658945,0.4668899881780282
85,Fasn,1.3308282,1.0338998,0.23021622339023712,0.4651499923417496
86,Naglu,1.3257685,2.9000416,0.23289810079283718,0.4694692440631315
87,Rac2,1.3235929,0.76205415,0.23252838720539498,0.4692722013133439
88,2310014H01Rik,1.3182434,2.85124,0.2352537020649653,0.4731121945374098
89,Ahdc1,1.3103243,2.987833,0.2378227748162106,0.477444093013812
90,Atpase6,1.3075312,1.5734433,0.23836352705388722,0.4782514720133516
91,Wsb1,1.3001555,2.741348,0.24097461925153707,0.4826485264289347
92,Kif23,1.2971185,2.7246597,0.2419238528232702,0.48426868682894747
93,Lyz1,1.2820742,2.6390657,0.24681846992344375,0.49206848047706786
94,Tpm1,1.2765657,1.439153,0.24813877502752738,0.4941297822388903
95,Caprin1,1.2674414,1.0711367,0.25104166047992843,0.4990465266798577
96,Parvg,1.2665763,1.5393189,0.25183979614231217,0.5000570405564553
97,Ddx23,1.2661313,2.5551972,0.25205389248881827,0.5001943547894836
98,1110007C09Rik,1.258581,2.5154552,0.25461242212862795,0.50429681506688
99,Thoc4,1.2515383,1.0139786,0.2562904241867386,0.5071434941906163
100,Mll1,1.244821,0.99245006,0.25844307078067924,0.5111100500080941
101,Iars2,1.2436844,2.4421349,0.25966507999054766,0.5128092599763273
102,Tmem59,1.2424923,1.3792183,0.25959473718575987,0.5128092599763273
103,Coro7,1.2406577,2.428484,0.26067840393628583,0.513764233000641
104,Cox8a,1.2364731,0.49789682,0.2598638482023947,0.5128092599763273
105,Psma7,1.2359623,0.7685905,0.2615600556766192,0.5152076210844823
106,Rbmxrt,1.2315513,0.9779326,0.2630952399047138,0.5179359229384868
107,Clta,1.2306428,0.98461366,0.26363168917977925,0.5186960999768633
108,Utp14a,1.2270749,1.3531088,0.2649059106507118,0.5203132029912387
109,Gsr,1.225621,2.358023,0.2659034933699739,0.5216787695393859
110,BC024571,1.2233735,2.3473365,0.2667058220370117,0.5227798756791275
111,Fcgr3,1.2215295,2.3405063,0.2673066476078273,0.5232417702181577
112,Ndufv3,1.2212545,1.0151273,0.26691919471069914,0.5227798756791275
113,5730469M10Rik,1.2149336,2.310217,0.26966200830890363,0.5266573801211242
114,Tcn2,1.2105846,2.2907472,0.27121915043555833,0.5290996541283843
115,Tmsb10,1.20781,0.95316595,0.27147357402637234,0.5292967819011362
116,Atp5b,1.2077192,0.27096713,0.268344858652077,0.5243817141609953
117,Nfe2,1.2022871,0.7099264,0.2733084514677092,0.5325733856663266
118,Maml3,1.1976309,2.354488,0.27594828079153566,0.5371858309186801
119,Scin,1.1968223,2.351372,0.27622201132062385,0.537235407113004
120,Hyi,1.1925303,2.21456,0.277696122742443,0.5389928681575764
121,Sfpq,1.1918148,0.6636684,0.27646866350930654,0.537235407113004
122,Slc44a2,1.186661,2.4305775,0.2799792197665396,0.5422044261584333
123,Smc1a,1.1857009,0.9452395,0.2794418609911139,0.5414676374398282
124,Glud1,1.1805387,1.4022408,0.2818811707963172,0.5455815594044255
125,Prtn3,1.1751432,0.6760068,0.2832380271995264,0.5479004662923574
126,Brd1,1.1681981,1.2560699,0.2861685703133413,0.5532592359391265
127,Aff3,1.167878,1.2549558,0.28634117351641125,0.5532829730151934
128,Apeh,1.1627864,1.3050921,0.28838742712063,0.5559231923115391
129,Slc16a1,1.1612002,2.3105576,0.28942226469728516,0.5573639706865687
130,Birc6,1.1584699,1.2402502,0.28984941331319525,0.557875251167784
131,Ncln,1.1575979,1.2961292,0.290361192124963,0.5585487592102827
132,Atrx,1.1554583,1.2939241,0.29105343851368537,0.5592569133133231
133,Nol7,1.1538019,1.3275632,0.2918842755696507,0.5605412548641427
134,Pbx1,1.1532764,2.0612721,0.29223786877657515,0.5609081674905232
135,Ninj1,1.1501555,1.3469533,0.2932830461787296,0.5622887735348866
136,Rab44,1.149234,2.1481013,0.29387615148648843,0.5631130476290237
137,Prdx5,1.1453004,1.2757465,0.29502749861645955,0.5650054926334084
