,names,scores,logfoldchanges,pvals,pvals_adj
0,Coro1a,8.327685,1.7630484,3.9820002611908356e-13,2.7483765802739145e-10
1,Srgn,7.728781,0.75168294,1.948277790870041e-12,8.404383320365639e-10
2,Gpr56,7.3949347,1.2078141,2.809666434483251e-11,1.0773509850446333e-08
3,Fxyd5,7.008505,1.9757197,3.3367200475727257e-10,8.857708372441136e-08
4,Calr,6.9899545,0.9226103,1.6448691087114359e-10,4.730369411802638e-08
5,Lmo4,6.6686673,2.9504383,2.6396221691633287e-09,5.06074228099036e-07
6,Pkm2,6.5820475,1.9137205,2.5894691423712973e-09,5.06074228099036e-07
7,Mpo,6.253511,0.6899881,6.434876674101769e-09,1.168776810648695e-06
8,Tmem176b,6.1773243,1.9581012,1.7928981842507914e-08,2.690126797325861e-06
9,Vim,6.1545696,1.0921401,1.0523162442692199e-08,1.8157716794865388e-06
10,Ly6e,6.038287,0.7621412,1.8814169970610746e-08,2.70532085702407e-06
11,Cst3,5.758006,1.1555316,8.61757900975383e-08,9.91308838755349e-06
12,Rac2,5.6608233,1.0341835,1.2175708080636125e-07,1.313074018321102e-05
13,Runx1,5.660703,1.5861518,1.5828462699655452e-07,1.6552734780760898e-05
14,Hdc,5.5016627,3.5706372,4.287468839820049e-07,4.110015268394164e-05
15,Csf2rb,5.4883575,4.015103,4.692622813623088e-07,4.376821981030615e-05
16,Man2b1,5.308763,1.9040014,7.721706800733403e-07,6.499417114470969e-05
17,Limd2,5.1761847,2.4555116,1.4709776789206438e-06,0.00011537145386261686
18,Rin3,4.922657,1.7596638,3.757711733571469e-06,0.0002593572638511028
19,Fut7,4.8449984,2.6752698,5.707721163378586e-06,0.00037164803273244336
20,Ctsg,4.772245,1.3084401,6.621495096465544e-06,0.00040089086978776475
21,Trf,4.6302013,3.6292703,1.3792230560939631e-05,0.0007211664797848889
22,Os9,4.565715,1.4051828,1.4467968714529054e-05,0.0007405671019470251
23,Zyx,4.5463686,1.1819168,1.4936947600415106e-05,0.0007470638575222105
24,Dtnbp1,4.42022,1.4665314,2.5724078172512666e-05,0.001191961861734002
25,Sh3bgrl3,4.3787584,0.8481628,2.770751449051117e-05,0.0012581399014046583
26,Grn,4.357592,2.1784,3.56934797752535e-05,0.0015678181695089849
27,Il16,4.3317204,2.0568905,3.901903560885284e-05,0.0016624036035327305
28,Cd27,4.318524,2.410371,4.247948782112021e-05,0.001787764786227876
29,Igfbp4,4.1938457,1.2614317,6.000846248281171e-05,0.002408014000327712
30,Rfc2,4.122791,0.9689994,7.431923114009063e-05,0.0029144962120960546
31,Cd63,4.088138,2.2624433,9.659099148531343e-05,0.0035087948591138595
32,Sec61b,4.0821548,0.8698191,8.55890324167315e-05,0.0032818638985571153
33,Myl12b,4.0762463,1.0977879,9.17401995009984e-05,0.0034042519191176935
34,Cebpa,4.074515,2.9052205,0.00010566093971416206,0.003720774519934421
35,Galnt6,4.052538,1.2922949,0.00010046635316741435,0.00357432355444069
36,Gpx1,4.047054,0.26749608,8.128986142793007e-05,0.003152037211098727
37,Nkg7,4.0437374,1.567968,0.00011035915691384175,0.0037772154262628124
38,Bin1,3.9794586,2.0424125,0.00014257049280474462,0.004513860281368566
39,Napsa,3.9788237,1.6875949,0.000137579466900313,0.004396481240107396
40,Dapp1,3.9670043,1.072793,0.00013758909705349138,0.004396481240107396
41,Rcsd1,3.9526799,4.0627933,0.00016603237062913154,0.005115872420010116
42,Mlec,3.9238954,0.8501107,0.00015547127758530415,0.004877557990426225
43,Tmem176a,3.9028928,3.039265,0.0001943482354206233,0.0057324423968937695
44,Vamp8,3.883316,0.8018751,0.00017773330953166865,0.005380330273629723
45,Flnb,3.8345404,3.432733,0.0002487484981159086,0.007036320221295088
46,Spns3,3.81954,1.6075137,0.00024323717334506802,0.006937285001767188
47,H2afy,3.8083053,0.6370448,0.00023447018336798453,0.006797749769804612
48,Fam129a,3.7605271,4.0033054,0.00032184088175707734,0.008677131897997452
49,Plcb2,3.7481349,1.9397098,0.00031709391946751055,0.008616465480963615
50,Laptm5,3.7210097,0.56172806,0.0003117574051854064,0.00853868893091141
51,Esyt1,3.715605,1.088293,0.0003299499402280241,0.008724145163576032
52,Gnai2,3.699584,0.50757325,0.00033116865152954517,0.008724145163576032
53,Dock8,3.6967554,1.2540276,0.00036239906190858623,0.009333128079451726
54,Cd34,3.6930552,2.4648292,0.00039126492617335264,0.009855877811855766
55,Gm2a,3.6650887,1.2460115,0.000406174695720815,0.010157310687916902
56,Rab22B,3.630361,2.7307723,0.0004877914466097383,0.011854706213029625
57,Tagln2,3.5952172,0.5674163,0.000477752645767379,0.011693080713072517
58,Lpcat2,3.582237,4.0644574,0.0005861726035560808,0.01376109969300704
59,Serpina3f,3.5530005,1.3615288,0.0005940420452539998,0.013851615528186171
60,Cnn2,3.5313618,1.2221259,0.0006371831772668095,0.014562378442038143
61,Nucb1,3.528746,0.759329,0.0006144490801917815,0.014136425171612252
62,H2-K1,3.5224245,0.5477625,0.0006099638982375603,0.01412741887797195
63,Mdga1,3.5186765,2.267576,0.0006931434614884258,0.01523591137322648
64,Rps6ka1,3.4947715,1.3875561,0.00073351735894193,0.016021319023472157
65,Slco3a1,3.4861543,3.579327,0.0007989925823110456,0.017020514824416164
66,Stat3,3.4757571,1.253742,0.0007686259373528657,0.016581827583995238
67,Arpc1b,3.4232166,1.0126812,0.0009013132468875612,0.01865268448675485
68,Edem2,3.3680954,1.7751292,0.0011156416089673782,0.021508822304728614
69,Ssr4,3.3678203,0.9044623,0.0010694497532576152,0.021082314259023852
70,Flot2,3.3653698,1.9716381,0.0011370657969115858,0.021800078139677125
71,Ckap4,3.3366122,2.941916,0.0012740166992878301,0.02389473711544729
72,Arhgdib,3.319763,0.6010943,0.0012256402829420362,0.023113030690890532
73,Sell,3.278718,2.906689,0.001531917629788788,0.02812046670426121
