,names,scores,logfoldchanges,pvals,pvals_adj
0,Car1,13.654944,2.2886062,5.883695782464307e-30,2.030463414528432e-26
1,Tspo2,11.199717,27.336763,4.62466545307822e-25,7.979860239286468e-22
2,Blvrb,8.691231,2.2139835,5.037986400467379e-16,4.346522767003231e-13
3,Ermap,8.638,3.4193616,1.512479190829236e-16,1.7398552291838978e-13
4,2210023G05Rik,7.625454,4.2813354,1.568075210246074e-13,9.01904591759867e-11
5,Aqp1,7.3966722,1.9231074,3.5444936977774296e-12,1.7474353930042729e-09
6,Abcb4,7.119826,2.7798674,6.8595352228409715e-12,2.630250672669355e-09
7,Tnfaip2,7.0038905,2.0173662,2.95482172656267e-11,9.270081616697978e-09
8,Gstm5,6.7968144,26.068222,4.676522999119242e-11,1.3448900724967087e-08
9,Wapal,6.719784,26.026346,7.479898559654846e-11,1.8437949949549196e-08
10,Mt2,6.6917915,2.9050055,7.461245741865357e-11,1.8437949949549196e-08
11,Optn,6.1108375,2.1236691,3.878886251122493e-09,6.130966977434069e-07
12,Golm1,6.0412498,2.7481513,4.0861269336709246e-09,6.130966977434069e-07
13,Lpin1,6.012819,3.750903,3.950412197546575e-09,6.130966977434069e-07
14,Zg16,5.8886786,3.6795368,8.024169119618567e-09,1.153808651325153e-06
15,Hif3a,5.840445,25.683643,1.1980133492910809e-08,1.6537376273614082e-06
16,Mt1,5.79003,1.4142259,2.8501845702269044e-08,3.5128524828046598e-06
17,Atp1b2,5.5236444,1.7892685,9.156068363427226e-08,1.0192771587802372e-05
18,Ccbl1,5.493631,25.388487,7.630653241699632e-08,8.777794779035144e-06
19,Klf1,5.434013,1.2818363,2.0053339763797854e-07,2.0354139860254822e-05
20,Myc,5.371316,1.1969938,2.8481485295775523e-07,2.8082744501634665e-05
21,Ass1,5.268978,1.7089944,3.427901448457155e-07,3.197212945574498e-05
22,Ldb1,5.254339,1.4714653,3.883162963899005e-07,3.526525102214596e-05
23,Lpin2,5.147798,1.4482185,6.719124806287038e-07,5.655536513779651e-05
24,1190007F08Rik,5.1272125,25.261425,4.897291935148451e-07,4.333475504665975e-05
25,Mfsd2b,5.1261883,1.2779855,8.441557528656769e-07,6.481962826546446e-05
26,Epdr1,5.120101,25.315714,5.072110964067657e-07,4.375963734249371e-05
27,Car2,5.0766473,0.7826562,1.2153452547329891e-06,8.659489397263856e-05
28,Pdlim1,5.0765996,1.4249572,9.951794377834016e-07,7.46600921693591e-05
29,Ifrd2,5.023706,1.651284,1.108235677202899e-06,8.137279408568521e-05
30,Lmna,5.0156536,25.237032,8.452284184137645e-07,6.481962826546446e-05
31,AK046417,4.9378824,25.103695,1.2295421050881742e-06,8.659489397263856e-05
32,Nefh,4.8917255,2.8210342,1.487823749382939e-06,0.00010268959518241046
33,Rhag,4.8812137,25.193005,1.610881410628982e-06,0.00010511287493905505
34,Uhrf1bp1,4.8768244,25.154356,1.6447682546244487e-06,0.00010511287493905505
35,Ptpn14,4.769304,2.6936212,2.760878741207742e-06,0.00016715425501592836
36,Ank1,4.7025204,24.972647,3.7142627132606764e-06,0.00021725289192309482
37,Dtx3,4.599841,24.872972,5.934806128153108e-06,0.0003303389669073608
38,Zdhhc14,4.5545936,24.95995,7.276870245441658e-06,0.00039861078122252643
39,Rhd,4.491617,2.634269,9.674276206837977e-06,0.0005136296490738133
40,Lefty1,4.4765515,24.797874,1.030355774379268e-05,0.0005307101160272917
41,Cenpv,4.474227,3.232377,9.994170721686826e-06,0.0005225739872809278
42,Xk,4.4578633,24.82895,1.1190315677513992e-05,0.0005596779623637794
43,Fam109b,4.4578633,24.82895,1.1190315677513992e-05,0.0005596779623637794
44,Jmy,4.431068,24.889221,1.259042035665038e-05,0.0006034658423722287
45,Gm2058,4.431068,24.889221,1.259042035665038e-05,0.0006034658423722287
