,names,scores,logfoldchanges,pvals,pvals_adj
0,Gp9,9.686581,3.8411825,0.0018668404200146151,0.005364251698143578
1,Herpud1,9.157741,3.2428856,0.002050049845975368,0.005885792028669712
2,Arpc1b,7.05811,2.1251957,0.004083520256288928,0.011166583521753638
3,Parp1,7.0575886,1.5514804,0.0030810109929833114,0.008472166483494348
4,rp9,6.8339887,1.4876398,0.0032888086235623648,0.009022002034907568
5,Nrgn,6.7956123,2.3275692,0.005140409513170927,0.013624848870931542
6,2900073G15Rik,6.7725534,1.4586793,0.003622402918846499,0.009929239454280593
7,Rpl18,6.7682166,1.2890345,0.003694285308292697,0.010118236983268332
8,Ankrd13a,6.722631,1.1802529,0.003270144511190833,0.008977938510834976
9,Uqcrfs1,6.549157,1.7184174,0.004324507273147378,0.011816211084427238
10,2310003F16Rik,6.08445,1.5384713,0.005377329672462348,0.014241876208493908
11,Csk,5.9411845,1.620289,0.006419565488555657,0.016911389695424103
12,Rnf187,5.8477345,1.919134,0.008209389685105813,0.02089277566615056
13,Tmem50a,5.833021,1.5716432,0.006957368849589585,0.01830021333836407
14,Tgfb1,5.538043,1.7136123,0.009261561654278515,0.0231438445104382
15,Itga2b,5.484418,3.5410564,0.011321831706786545,0.028190217330534173
16,AK158095,5.150648,0.35824713,0.0015258182254540514,0.004454821231845966
17,Dapp1,5.0260267,1.8543872,0.01268010770799697,0.03150399690446187
18,Taok3,4.908076,1.241217,0.0112519694808769,0.028036495796755365
19,Serpina3f,4.879453,2.9548862,0.015543879707323644,0.037096769619622334
20,Tagln2,4.613182,1.054144,0.014249354839459185,0.03441184293280171
21,Tsn,4.335835,1.9056078,0.020580561193363496,0.04891426768477784
22,Slc25a3,4.292807,0.6933244,0.014453516120282483,0.034880478413353046
23,Cnbp,4.205881,1.3752538,0.021141229143317977,0.05021223797218881
24,Clic1,4.104093,0.9105739,0.018199991079322665,0.04331597876878794
25,Rps10,3.9082198,0.8625383,0.020377545781251248,0.04846513472853071
26,Phb2,3.6711044,1.1862333,0.029854011580389802,0.0672494738667919
27,Eif3h,3.4767213,1.1654822,0.036676031958044225,0.0824553656594206
28,Aldoa,3.454288,0.7435166,0.02959216119477465,0.06670316674276115
29,Bat2d,3.4108994,1.3403388,0.038437109291931115,0.08619003519587672
30,Cox8a,3.3899424,1.0443025,0.03749145186046403,0.08417892021500413
31,Cct7,3.36249,1.1657013,0.03985562590682064,0.08931283441846626
32,Prdx6,3.2600765,0.7796689,0.037710276623137196,0.0846151915646596
33,Arhgdib,3.2594385,1.4338591,0.04494592307149245,0.09675087400312818
34,Lrrc58,3.1461816,0.82219833,0.04556328239478867,0.09712099292428394
35,Gpr56,3.0878074,1.4837687,0.05167410729701226,0.10866992338939019
36,Prtn3,3.0068312,1.3292984,0.05448803714702437,0.1144480926320031
37,Car2,2.9969351,0.7877924,0.05225609176706389,0.10982690175891442
38,Slc25a5,2.9614806,1.1333431,0.056285682382713385,0.11808017623267106
39,Npl,2.826768,4.4133162,0.06609187622540029,0.13856808314329064
40,Rbpms,2.7668707,3.9791813,0.06936825763466777,0.14517274535915006
41,H2-Q7,2.7478876,0.96213424,0.06647375242758542,0.13928410420619144
42,Hint1,2.7088237,1.0041354,0.06888583169187772,0.1442506099324454
