,names,scores,logfoldchanges,pvals,pvals_adj
0,Atp1b2,12.313991,27.835596,3.707701461565768e-29,1.2795277743863464e-25
1,Car1,9.21774,1.833346,4.0508043711473456e-14,2.3298876474715816e-11
2,Klf1,6.461177,1.9162569,5.982787795064172e-09,1.147033371153692e-06
3,2210023G05Rik,6.2703896,3.512668,1.7883141859536453e-09,3.857170159828768e-07
4,Trib2,6.218248,25.921814,1.4445918674897948e-09,3.3235243564715215e-07
5,Tnfaip2,6.092118,2.1135976,2.181067990233183e-08,3.185635619982811e-06
6,Slc45a4,5.840445,25.683643,1.1980133492910809e-08,2.06717203420176e-06
7,Pklr,5.7270956,25.633133,2.2154521842824532e-08,3.185635619982811e-06
8,Aqp9,5.616534,25.41891,3.9993056439140967e-08,4.929144206124124e-06
9,S1pr4,5.507213,3.2784257,1.0853483423586759e-07,1.2485123764932637e-05
10,Slc45a3,5.3486767,25.400019,1.6114414275339892e-07,1.7938981827160633e-05
11,Myo1d,5.3288116,25.412527,1.7830938240384235e-07,1.9229552458614373e-05
12,Clybl,5.3160195,25.4536,1.9028861609563396e-07,1.989957618624342e-05
13,Lgals1,5.2111864,1.5435841,1.3541843118053283e-06,0.00010159326217478668
14,Slc25a21,5.207927,25.351898,3.280111209659038e-07,3.329312877803923e-05
15,Mtfr1,5.1824303,25.20039,3.7248347848211106e-07,3.672687097833615e-05
16,Cd1d2,5.1652646,25.224174,4.056602235262103e-07,3.8887039760804216e-05
17,AK046417,4.9378824,25.103695,1.2295421050881742e-06,9.429221788131753e-05
18,Rhag,4.8812137,25.193005,1.610881410628982e-06,0.00011825198430643693
19,Uhrf1bp1,4.8768244,25.154356,1.6447682546244487e-06,0.00011825198430643693
20,Gypa,4.83913,25.01267,1.9655567416670393e-06,0.0001384313533774072
21,2210016F16Rik,4.830283,3.042417,2.904038080941123e-06,0.0001807590302239088
22,Dkkl1,4.821274,25.039608,2.137827858521844e-06,0.00014465968509331145
23,Klf9,4.821274,25.039608,2.137827858521844e-06,0.00014465968509331145
24,Spata24,4.7847085,25.117624,2.537188347042037e-06,0.00016838148049311673
25,Gna14,4.720636,24.94446,3.4165480129777453e-06,0.00020011997864718232
26,Cd59a,4.687648,25.00031,3.977200107814851e-06,0.00022500520609949263
27,Rab44,4.687648,25.00031,3.977200107814851e-06,0.00022500520609949263
28,Srpk2,4.6756363,25.027472,4.202553845536942e-06,0.00023020656064996807
29,Nefh,4.655639,3.0568426,5.783155397880793e-06,0.0002892415837403857
30,Scin,4.6406255,25.027868,4.931696884847339e-06,0.000257867968933457
31,Tspo2,4.626647,1.9780221,1.0889914899893604e-05,0.0004697637039941603
32,Tacstd2,4.5814486,24.902533,6.44883750809997e-06,0.0003090963644507361
33,Pcmtd2,4.5814486,24.902533,6.44883750809997e-06,0.0003090963644507361
34,Ermap,4.523495,1.853597,1.710982745710102e-05,0.0007029287446959002
35,Lefty1,4.4765515,24.797874,1.030355774379268e-05,0.00045009592118770307
36,Krt18,4.4578633,24.82895,1.1190315677513992e-05,0.00047676270868025666
37,Pdlim1,4.426661,1.5363985,3.0135574205940234e-05,0.001083311110257289
38,Aqp1,4.355495,1.3234898,3.994226598734324e-05,0.0013513799992384463
39,Efnb1,4.3505487,24.718777,1.788052323162107e-05,0.0007259492432038154
40,2210404O07Rik,4.3315444,24.751535,1.940904839445355e-05,0.0007698922529799909
41,Myb,4.3291965,1.0758842,4.96336400551843e-05,0.001615902753117368
42,Casp3,4.3100104,2.8865285,2.7040067144750272e-05,0.0010033900184573462
43,Pbx4,4.2916894,24.802439,2.303047653400536e-05,0.0009031610740778693
