,names,scores,logfoldchanges,pvals,pvals_adj
0,Serpina3f,11.770835,3.135188,2.3749600988205543e-16,4.0979936505148663e-13
1,Gpr56,10.714273,1.5956215,4.2163937824285966e-16,4.850258314387029e-13
2,Nrgn,9.998381,2.354997,6.469200525858243e-14,3.720868502456133e-11
3,Rap1b,9.628541,3.7270887,8.510813892441519e-13,4.1958312489736687e-10
4,Actb,9.099664,0.43333665,1.8415353464653988e-14,1.5887846201630228e-11
5,Pbx1,9.086672,4.34611,6.822515472905996e-12,2.354450089699859e-09
6,Zyx,9.044602,2.1660125,1.8467674113934096e-12,7.96649292089832e-10
7,Pf4,8.344265,4.882403,9.076411971768025e-11,2.8475179740519506e-08
8,Gnas,8.080771,0.7368352,2.144961258141474e-12,8.224734779829141e-10
9,Cd9,8.020867,3.284709,1.9951068309846484e-10,5.667470953573993e-08
10,Itga2b,7.9752507,3.6943555,2.6581619345937143e-10,6.552369168773506e-08
11,mKIAA1027,7.1032896,1.0650465,1.026464748629597e-09,2.2139561547004618e-07
12,Calm1,6.9694786,1.0115322,1.6848221788753747e-09,3.0601691259467987e-07
13,Cdcrel-1,6.2686715,5.3151236,1.1829432583905108e-07,1.5119767350761677e-05
14,Tuba8,6.2145762,3.851411,1.3409954641750499e-07,1.652776909595749e-05
15,Anp32b,6.1548104,1.1848804,6.580815079473481e-08,9.462663683026242e-06
16,Cited2,6.0698485,2.2088218,1.6764308918620703e-07,1.808368149270523e-05
17,Dapp1,6.0522623,1.819745,1.6505031754625094e-07,1.808368149270523e-05
18,Ifitm3,5.9036064,2.0889924,3.14762589960228e-07,3.103559137007848e-05
19,Ybx1,5.8707004,0.68542814,7.067459920234281e-08,9.755921673891402e-06
20,AK158095,5.7871127,0.4363839,8.594692322405753e-08,1.1407801232547021e-05
21,Mef2c,5.575409,3.2007873,1.1744781903254474e-06,9.006942744029153e-05
22,Pkm2,5.5730934,2.1509345,1.0173318197426655e-06,7.979118431663498e-05
23,Sh3bgrl3,5.5136,1.1770891,8.805148674039835e-07,7.066643738165458e-05
24,Ldha,5.458177,0.8320556,7.889183032406804e-07,6.482278724960924e-05
25,Tgfb1,5.445171,1.2953705,1.215026724125804e-06,9.066211838304297e-05
26,Etv6,5.3866835,1.9472058,1.8554585388959828e-06,0.00012806374835460074
27,Lims1,5.381382,2.853607,2.2150638056960185e-06,0.00014155898506401778
28,Ckap2l,5.2919116,2.6831353,2.958226561079652e-06,0.00017910245372431365
29,Srgn,5.123286,0.6164266,2.707974890808024e-06,0.00016687895264604448
30,Sec61b,5.0932455,1.1926308,4.104330296670069e-06,0.0002284523202227162
31,Atp5a1,5.0780597,0.77592427,3.804681074152732e-06,0.00022254159977798437
32,Ran,4.975797,1.1817945,6.322117587163663e-06,0.0003235356730225116
33,Etfb,4.973043,1.1031536,6.627545863331162e-06,0.00032673801106222625
34,Atp5b,4.947125,0.5496556,4.615382127494398e-06,0.00024887005815598696
35,Lmo2,4.927715,1.266068,8.085419822030955e-06,0.0003929969550116736
36,Lrrc58,4.8701096,0.78006214,8.491997406389768e-06,0.0004070261534645985
37,Tmem176b,4.85889,1.9821463,1.211081115194012e-05,0.0005358257600685302
38,Ak2,4.836152,1.2072335,1.050184357480825e-05,0.0004897548942792334
39,Tmem176a,4.8280168,3.6462066,1.5222874540509088e-05,0.0006649891144214793
40,Itgb3,4.8270626,7.4777026,1.6266278413681872e-05,0.0007016865850702018
41,Txn1,4.8197465,1.1477256,1.1006638835937688e-05,0.0005064521416376128
42,Pttg1ip,4.656691,1.9564576,2.4027149515186475e-05,0.0009530769307690635
43,AK188353,4.6540523,0.90155464,1.7580596631803872e-05,0.0007490202342759898
44,F2r,4.6164956,1.9897007,2.745756429213855e-05,0.0010767733451382971
45,Sdpr,4.6150894,5.4298935,3.231845615603962e-05,0.0012122933934183993
46,Pak1,4.580684,1.7006775,2.9495380197889303e-05,0.0011436916523923145
47,Hsp90b1,4.5632114,1.3824627,3.014583811317523e-05,0.0011559254147618634
48,Coro2a,4.5504313,3.1436417,3.7595002218097425e-05,0.001327393279097535
49,Hipk1,4.544159,2.1672106,3.5847520358566956e-05,0.0013022083448148902
50,0610010K14Rik,4.5295167,1.1653714,3.2120742875735066e-05,0.0012122933934183993
51,Plek,4.511991,4.9336257,4.5099866064439744e-05,0.001540986512756253
52,Snrpb,4.427654,0.8200415,4.0030841333033516e-05,0.0013954185195989763
53,Cfl1,4.4228563,0.70573413,4.1605308259216823e-05,0.0014357991880255725
54,mKIAA0569,4.4197598,2.2703953,5.5071483469897677e-05,0.0017929404665529894
55,Zfpm1,4.399849,0.88435334,4.571698317506418e-05,0.0015467579307563383
56,Cct7,4.340265,0.80405873,5.41223299404822e-05,0.0017788205773771816
57,Atp5d,4.2909303,0.7437737,6.132205647687566e-05,0.0019330413976875935
58,Shfm1,4.2836275,1.0833037,7.389100763484806e-05,0.0022368233977882513
59,Slc14a1,4.270098,2.1084058,9.051793342394664e-05,0.0026472660020850835
60,Cox6a1,4.2410135,0.7718132,7.674626076530984e-05,0.002303055181748559
61,Ubb,4.176889,0.49529517,8.554421236892707e-05,0.0025449403179755806
62,Lmnb1,4.159785,1.582521,0.00012186693384870185,0.0033916353928376618
63,Gp9,4.14978,2.8058546,0.0001368922818192652,0.003749327496494319
