,names,scores,logfoldchanges,pvals,pvals_adj
0,Psmb7,15.377268,3.3022163,0.0031109389214645927,0.01110222359666423
1,Papola,10.315591,1.7696881,0.006318870206843906,0.021806421083818316
2,Hexa,9.279778,3.5968065,0.010807677049806862,0.0358972988439687
3,Usp9x,7.418649,3.5979345,0.017029511751803908,0.05436525907074495
4,Sox4,7.0861397,3.1421244,0.018398285816788307,0.058626486014530424
5,Ankrd17,7.0466795,2.4438891,0.017984476434527188,0.05736083934894022
6,Il1rl1,7.043408,3.0930002,0.01856558973600918,0.05910502784037609
7,Vps13c,6.983387,3.0258036,0.018822133650639988,0.059866528321067834
8,Osbpl1a,6.9020405,2.9361033,0.019260051283492313,0.06120298064395209
9,Opa1,6.760807,2.7950754,0.01994134514108755,0.06330964312961651
10,Vav1,6.702535,2.7399065,0.020246932576559983,0.06416176705391047
11,Sel1l,6.546585,2.6015139,0.021077386473459744,0.06673216579808218
12,Ldb1,5.9111547,1.153766,0.02286168560928613,0.07231501103358977
13,Gnl3,5.8968973,1.5778726,0.02457082376199769,0.0769789231110799
14,Malat1,5.850898,1.6251278,0.02527299909732064,0.0769789231110799
15,Myb,5.7574825,1.3520213,0.026526102306369138,0.08072449652493817
16,Plxnc1,5.560169,2.643252,0.029828481371101164,0.08982381257562838
17,Slc38a2,5.4818316,1.8695822,0.029175631960705124,0.08793459030252698
18,Ppa1,5.3796086,1.2779874,0.02894089413338155,0.08730334410340886
19,Dock10,5.309788,2.8403184,0.032891315518575305,0.09887450335766845
20,Bzw1,5.1919446,1.4828347,0.03166698994699881,0.09527705519362938
21,Ndufs1,5.155457,2.2785988,0.0342462821703749,0.10245614165725991
22,Apoe,5.1516085,2.15607,0.03440078085082541,0.10278536339064803
23,Etnk1,5.1413507,1.6868078,0.032969721959506613,0.0990239429784659
24,Khdrbs1,5.0908093,1.6498445,0.03426090625108025,0.10245614165725991
25,Cdk1,5.074951,1.6022226,0.0340945839010326,0.10213577173824957
26,Actl6a,5.0386033,1.4211568,0.03356071178859461,0.1007113185934261
27,Ubr7,5.0099835,1.4092398,0.03402073779469698,0.10200309828800978
28,Kif2a,4.959767,2.1267467,0.03671840402370865,0.10952049462905665
29,Tal1,4.8496165,1.5448942,0.03667626508715017,0.1094894384219336
30,Tceb3,4.74832,1.3088962,0.0377229477751981,0.1123225994583336
31,Bub3,4.7257967,1.3029518,0.037652920925606,0.11221090683442687
32,Zdhhc14,4.7045503,3.0677993,0.04168832289549701,0.12380929631012062
33,Lyl1,4.568389,1.4158319,0.04116748271248361,0.12246116667707707
34,Esyt1,4.5619035,1.4134818,0.04119890307507577,0.12246116667707707
35,Prtn3,4.5257654,1.4432048,0.04365514146379625,0.12931664651636127
36,Nup85,4.431877,1.0022304,0.04214557171165062,0.1250596457239091
37,Net1,4.4289904,1.7670346,0.04527387614375879,0.12960335222848737
38,Cpne2,4.3846827,1.7386173,0.046284873310498825,0.13178968464895335
39,Frmd4a,4.375903,2.6512656,0.04771255793410633,0.13533075820415755
40,Ppat,4.337121,1.9448149,0.047710047294388526,0.13533075820415755
