,names,scores,logfoldchanges,pvals,pvals_adj
0,Bax,56.97158,3.1280267,2.8721055191120633e-200,9.91163614645573e-197
1,Psap,33.389286,3.1346,0.0005852792291493897,0.0014499631154303977
2,Vim,23.736341,1.6792344,0.00012756496040834672,0.00034446531953771873
3,H2-Eb1,20.223318,5.0202665,0.023184447772276594,0.04819851160369068
4,Id2,17.837614,5.348859,0.030924760761474206,0.06208339115058027
5,H2-Aa,17.769964,5.111744,0.02843781779760757,0.05729066504351648
6,Cd74,16.160921,5.128953,0.03262994889297394,0.06543053668195994
7,Cox6a1,14.9340515,0.5961311,8.620122326356235e-41,2.8603886681014774e-39
8,Psmd4,12.847595,2.076578,0.026039106415237774,0.05307794225575048
9,St3gal5,12.206494,5.9981465,0.0506568998166098,0.09820664455177393
10,Ahnak,12.148598,5.7816525,0.050502504451537984,0.09796747771908802
11,Ndufa7,11.632495,1.788907,0.028623634727975376,0.05763136723818146
12,Psmb9,11.490521,1.7591001,0.028802722465079554,0.0579581313276907
13,Nme2,11.209622,0.5679927,1.0496320340410712e-25,1.3220000545531887e-24
14,Lig1,11.043464,1.6843162,0.02729736478436069,0.0551541017979091
15,H2-DMb1,10.913028,3.6453645,0.051084442631965786,0.09887403899209979
16,Cyb5,10.200046,3.055703,0.053387600697670526,0.10327388453344226
17,Dek,9.671733,1.4134904,0.030790865523580024,0.0618505686390423
18,Anxa6,9.618974,2.7106485,0.05407215828209195,0.10453950601204443
19,Iqgap1,9.533721,2.6658518,0.05413844811938209,0.10460906184769744
20,Myo1f,9.498943,2.6424112,0.05464829577983532,0.10553512520213301
21,Prdx2,9.2143955,1.3143916,0.035249657313534834,0.0706016061456812
22,Cst3,9.033133,1.6919441,0.058218327127575506,0.11224103179735366
23,Grn,8.736377,2.267378,0.05795433136644666,0.11179452070743846
24,Selplg,8.292264,1.948522,0.06373022972678949,0.12273048146604382
25,Akr1a4,8.034577,1.0990199,0.04423160822189532,0.08846106062346139
26,Whsc1,7.9475455,1.9390837,0.06321669365909181,0.12180949738555324
27,Rps11,7.7387056,1.3508338,0.05613466035193132,0.10834491771505313
28,Lgals3,7.398303,4.97855,0.08347358363728198,0.15707052188236648
29,Shfm1,7.0961537,1.1995924,0.06615899463442866,0.1273366929634207
30,Cyba,6.9232397,1.5868398,0.07074056209211727,0.13607897423628576
31,Hspa8,6.9026766,0.7127888,0.05087327363727314,0.09852057649956769
32,Rgs2,6.720606,3.4710243,0.09050013729999706,0.16955264594043967
33,Ctbp1,6.5959907,1.4803596,0.07515415740734843,0.14448857783440638
34,Lgals1,6.471969,0.62755054,0.032194429805003026,0.06459475421922409
35,Fr1,6.427919,3.0978887,0.09398104465850211,0.1758831806488562
36,L1cam,5.81155,6.500187,0.10807274105808624,0.20138176533015964
37,H2-Ab1,5.7888274,4.287083,0.10663852571835401,0.1990316669843373
38,Crip1,5.7549615,2.851461,0.10577466947136654,0.19763312633767513
39,Ap1s3,5.577942,4.6723375,0.11170278430728094,0.20792141782331525
40,Mrps28,5.5012927,2.2719176,0.1075298084004007,0.20047831917330247
41,Stat1,5.430617,3.6595473,0.11366226019958202,0.21134076505859783
42,Map3k5,5.3477926,3.8863525,0.11552677428221114,0.2145763713928475
43,Irf8,5.3149767,2.606644,0.11386205796605448,0.2115982563494098
44,Napsa,5.304957,1.7099274,0.10921994657672439,0.20340962527591788
45,Flna,5.2341433,2.08843,0.11268020949158553,0.2096277104881195
46,mKIAA1027,5.1448855,1.138012,0.10685146693542012,0.19932130399682962
47,Fgd2,5.1399503,3.4095533,0.11949485977900742,0.2217079360738466
48,Ddx17,5.122987,3.3821504,0.11943102448346068,0.2217079360738466
49,Gng2,4.9603586,3.088561,0.123270381589359,0.22859005204990754
50,Malat1,4.8737655,2.5183167,0.12436263598587853,0.23049165240991773
51,Prdx6,4.828219,0.99113905,0.10544979462194659,0.19713285007602258
52,Dus1l,4.744836,2.7762384,0.12779402817231839,0.23672420355484203
53,Fut7,4.6278024,2.6262515,0.13073933441723698,0.24205013040444467
54,Cbfa2t3,4.620395,2.1431618,0.13083170462565546,0.2420912668435051
55,Iqgap2,4.5999546,2.5937893,0.13129228429972267,0.24281332964541422
56,Lsp1,4.597931,3.2064955,0.13398171699257028,0.24725716863174332
57,Ezr,4.595232,2.5858583,0.13171146703965453,0.24345810002884186
58,Arhgap17,4.567353,2.5538025,0.1323188232537063,0.24444981747780542
59,Nfkbia,4.5363655,2.5189528,0.1329922895993053,0.24556254221894203
60,Huwe1,4.480286,2.4564533,0.1344101342552681,0.24791521823352763
61,Plbd1,4.4795575,5.482711,0.1392069566932226,0.25553362103633576
62,Chaf1b,4.4758425,2.4506805,0.13465814385116592,0.2481553889054467
63,Msn,4.4726067,2.447546,0.13468416210370954,0.2481553889054467
64,Eef1e1,4.4621,2.43567,0.13502592401781782,0.24865232859417785
65,Adat3,4.4126854,2.38205,0.13647850919709703,0.251193245460897
66,Coro7,4.39751,2.3654063,0.13701164303656427,0.2519057965472474
67,Tifab,4.3628974,2.3358333,0.13698256954571217,0.2519057965472474
68,Rnaseh2b,4.3554363,2.3221684,0.1381709938545214,0.2539020765665353
69,Fam132a,4.327356,2.293966,0.13894732149975908,0.25519276556448567
70,Ifi30,4.3085504,3.7982054,0.14356253749359796,0.2628298763344332
71,Alad,4.233332,2.2018151,0.14179236717842408,0.26000290070815174
72,Chd1,4.2315226,2.2004056,0.14179086897302579,0.26000290070815174
73,Eif4g3,4.211564,2.1803377,0.14262149977215327,0.26124564528328076
74,Tmsb10,4.169819,2.2477434,0.14660913456537789,0.26798099755567745
75,Nfya,4.139532,2.1160538,0.14445790337606634,0.26432885713192206
76,1500032L24Rik,4.1178102,1.4635603,0.14231002804090725,0.26081354581474825
77,Slk,4.0756397,2.0595715,0.14642018991944863,0.26777746444727996
78,Cnpy3,4.0532675,2.0386333,0.1474525328127833,0.2693799315706274
79,Cd300lg,4.0396795,7.660614,0.15440564022478048,0.27981820872176344
80,Psmd2,3.9652572,1.9641075,0.15039083952883384,0.27445731740560847
81,Ube2c,3.921223,1.9396452,0.14922607960995932,0.2724757675841109
82,Topbp1,3.9206123,1.9267566,0.1520941973819112,0.27741917292017737
83,Uhrf1,3.8962445,1.9093893,0.1524033811888751,0.2778362749512984
84,G3bp2,3.8205504,1.8468691,0.15577703004545138,0.27981820872176344
85,Psme1,3.814161,1.8303803,0.15809869269291277,0.28065771012512447
86,Cdt1,3.7206218,1.7708642,0.15953617114458093,0.2830639211413618
87,Coro1a,3.6812265,1.0498066,0.16173960280247687,0.28682598626482414
88,Pld4,3.6764174,3.8782322,0.1678983416765109,0.29637707269853664
89,NAAA,3.6551363,5.5094194,0.16964881082307195,0.29855076295279004
90,Epsti1,3.6545277,3.7944186,0.16895689082365947,0.29778867734037223
91,Fam107b,3.6520922,1.721068,0.1620700593189624,0.28726439379031293
92,Ppa1,3.5806003,1.6692282,0.16519248920146626,0.2923483488380821
93,Ucp2,3.5784886,1.4715335,0.1686907149968616,0.29747146522951934
94,Anxa2,3.5683088,2.8539867,0.1720470398396686,0.3023087242803953
95,Cct7,3.55881,0.7514443,0.15629293589779494,0.27981820872176344
96,Tpm3,3.5403912,1.2517356,0.16766780096536396,0.29637707269853664
97,Tax1bp1,3.5391576,1.6395844,0.16713255830417426,0.2956301684816532
98,Eftud2,3.527938,1.6310822,0.16783755579170262,0.29637707269853664
99,Cdca3,3.5115075,1.6222341,0.16777570842363276,0.29637707269853664
100,ISG12a,3.498211,1.6103029,0.16923448311940167,0.29797357206380365
101,Sepx1,3.4891336,1.6054628,0.1692026956615476,0.29797357206380365
102,Xbp1,3.4745643,1.5941736,0.17028611574725583,0.29951956444637096
