,names,scores,logfoldchanges,pvals,pvals_adj
0,Gpr56,18.240337,5.1723,1.4981934444723202e-36,7.386093681248538e-34
1,Sox4,15.665317,28.126154,2.3089450730862096e-43,7.96816944722051e-40
2,Impdh1,15.109784,27.993137,4.943828691736265e-41,8.530576407590924e-38
3,1110038B12Rik,14.687385,27.830744,2.8285771788835376e-39,3.2538066147756964e-36
4,Muc13,14.3201275,27.900438,9.29074362532745e-38,8.015589062751257e-35
5,1300001I01Rik,14.1715145,27.891,3.787752035115688e-37,2.614306454636848e-34
6,Adssl1,14.114339,27.883034,6.496221358458454e-37,3.7364099846733543e-34
7,Emilin1,13.821457,27.793135,1.0183735656720435e-35,4.393008968917777e-33
8,Imp4,13.752548,27.737219,1.940444104217996e-35,7.440525115173672e-33
9,BC005764,13.516116,27.78988,1.7575279927779182e-34,6.065229103076595e-32
10,Ydjc,12.883306,27.612194,5.972168437484169e-32,1.8736321161598062e-29
11,Paip2,12.687384,27.55166,3.5497923638170522e-31,1.0208611206277205e-28
12,1500012F01Rik,12.647051,27.493534,5.116324252741865e-31,1.3581873074009365e-28
13,Dnmt3b,12.630484,27.468346,5.944375676326135e-31,1.4652886042143924e-28
14,Igfbp4,12.393486,3.791345,4.838749736616665e-16,2.98187952519002e-14
15,Cdca7,12.127555,4.364954,6.163893215142863e-21,6.647373589205631e-19
16,Tmem180,12.0145645,27.398886,1.4796343976297165e-28,3.404145537480101e-26
17,1190002H23Rik,11.895071,27.652025,4.254491529158469e-28,9.176406416953673e-26
18,Tor3a,11.50933,27.291054,1.2443568771846229e-26,2.5260444606847843e-24
19,Prtn3,11.27477,2.4345336,8.45673238417775e-13,3.072019311347096e-11
20,Slc19a1,11.244172,27.281347,1.2279081554255928e-25,2.28268188764945e-23
21,Pole3,11.241466,27.207819,1.256764875842931e-25,2.28268188764945e-23
22,Hk3,10.917352,27.163067,1.9884112395263548e-24,3.431003593802725e-22
23,Tm7sf3,10.883011,27.178034,2.6577207296626987e-24,4.367521065745702e-22
24,Mett10d,10.857043,27.073687,3.3086744270578106e-24,5.190107021716593e-22
25,Ipo4,10.746722,27.08719,8.366126729589069e-24,1.2552827540787772e-21
26,Capg,10.652597,27.103079,1.8387408379044727e-23,2.643956096503473e-21
27,Cd93,10.622592,27.108007,2.3615865064218895e-23,3.2599340134647763e-21
28,BC048355,10.589564,27.047174,3.1091628874860777e-23,4.1268158171978666e-21
29,Gpr97,10.526159,4.1118765,3.193116721581047e-17,2.3955316969948243e-15
30,Spns2,10.379195,27.077133,1.772735137504041e-22,2.2658181331579428e-20
31,Tspan32,10.327975,26.938248,2.700505309833689e-22,3.328372794370022e-20
32,Ap3s1,10.305435,27.056376,3.248832668592648e-22,3.866110875625251e-20
33,Cd34,10.220163,3.5081983,5.6560177998568944e-14,2.4415429052867025e-12
34,Fkbp11,10.19799,27.053362,7.817735083608824e-22,8.993001257844684e-20
35,Cope,10.181917,3.1880872,8.360853717283123e-14,3.476301949198079e-12
36,Slpi,10.061939,27.155853,2.3589130304957787e-21,2.626002860722881e-19
37,Fam69b,9.936357,26.927065,6.488653119407102e-21,6.785558156083003e-19
38,Ctsg,9.930847,2.2643726,5.683301034508264e-12,1.8502897990649076e-10
39,Lyl1,9.92408,3.4473572,3.439154944321432e-14,1.5413667159549693e-12
40,mKIAA0569,9.918854,27.046516,7.467004480503953e-21,7.579009547711512e-19
41,Ctdspl,9.8984375,26.817783,8.794552222543136e-21,8.671428491427532e-19
42,Nkg7,9.898223,4.0863433,1.28467561328596e-16,9.047786819285405e-15
43,Cd27,9.508444,3.3862243,1.5120919547189952e-13,5.997964753718681e-12
