,names,scores,logfoldchanges,pvals,pvals_adj
0,Cd74,17.02902,6.8162966,8.596756417574783e-16,3.7553678983608324e-14
1,Ifi30,14.557899,4.279042,1.5118598887839863e-14,5.378792243498491e-13
2,Crip1,12.681537,2.482688,9.080361573018177e-14,3.0423619212122066e-12
3,H2-Ab1,12.567558,5.4195695,1.0826641641553127e-12,3.3017214735496457e-11
4,Id2,12.1310005,6.387268,2.6853728054337974e-12,7.534326464676451e-11
5,H2-Aa,11.37812,6.8691463,1.2172423122086795e-11,3.0220886470734913e-10
6,Cd52,10.788929,1.7753515,1.3617849608029658e-12,3.982643982822911e-11
7,H2-Eb1,10.678759,7.0445294,4.884205798080315e-11,1.0215390429803132e-09
8,Lsp1,10.3971615,2.9331133,3.142740567989493e-11,6.69481339514305e-10
9,Cst3,10.28531,1.3765925,1.4174822478078526e-11,3.4693129341736876e-10
10,Itgb7,8.774843,4.0683274,2.225100686358494e-09,3.281548063514173e-08
11,Plbd1,7.935614,6.989533,1.9758453421007773e-08,2.435229384139208e-07
12,Lgals3,7.8534055,6.9294877,2.4242628775610098e-08,2.915028289359946e-07
13,Tmsb10,7.376446,1.4649655,2.376036180168427e-08,2.86702827194449e-07
14,Irf8,7.1679163,1.9781741,6.81476274176815e-08,7.418847388593655e-07
15,Psap,6.8738227,2.3928485,1.8476558609463556e-07,1.801203496080755e-06
16,Wdfy4,6.4508643,1.8343658,4.3582367952784266e-07,3.788482413225655e-06
17,NAAA,6.048391,5.74441,2.1106597512769914e-06,1.5111798343686511e-05
18,Vim,6.0384426,1.006108,9.288460148983402e-07,7.203253027897016e-06
19,5430435G22Rik,5.8961344,4.707669,3.0778253015406008e-06,2.128572167458239e-05
20,Anxa6,5.6527843,2.349158,5.010225830237526e-06,3.1609304095337665e-05
21,Anxa2,5.608939,2.0200794,5.159824246988302e-06,3.2434523636350875e-05
22,Ucp2,5.541897,0.6921523,2.1240786199958865e-06,1.5176387821130028e-05
23,H2-DMb1,5.3701763,3.07934,1.1543327102241463e-05,6.672700474009261e-05
24,Selplg,5.3090024,1.0609508,8.399366852590874e-06,5.032328994494984e-05
25,Actb,5.0510697,0.2655509,1.8423254453185603e-05,0.00010091849383800558
26,Pld4,4.8390465,3.1188014,4.739386620135136e-05,0.000233318448303657
27,Cyba,4.4746757,1.1322763,0.0001001479425990903,0.0004436592425025168
28,Klf4,4.2293386,6.144912,0.0002549831582775648,0.0010056535762467155
29,Hck,4.188633,4.367731,0.00028013487912750335,0.0011010768426754148
30,Gsn,4.161307,4.151729,0.000300132361741209,0.001166392770685712
31,Ctss,4.139316,2.7190833,0.0003051564766355868,0.001184583803002711
32,Grn,4.120574,1.5150033,0.0002986616411257541,0.0011632972048814642
33,Ctsh,3.939224,2.9424913,0.0005258204036495708,0.001892185832111229
34,Ahnak,3.9093635,4.7347646,0.0005847368215766133,0.00205491524568319
35,Aif1,3.8716316,4.91776,0.0006464640813917775,0.002248939057341758
36,Lilrb3,3.7693126,5.9724717,0.0008455019504613329,0.0028775416479704732
37,Cnn2,3.7317238,1.0785642,0.0008112901775249741,0.0027665636389710333
38,Coro1a,3.7123964,0.52540034,0.0007921398063758372,0.0027066083879237765
39,Batf3,3.4623477,6.7548547,0.001861493982791388,0.005679943178260902
40,H2-DMa,3.4270577,1.1142251,0.0018547895237304623,0.005664494377339669
41,Anxa5,3.3204477,1.5456533,0.0024982578489779524,0.007419524816542954
42,Ppm1m,3.3123205,2.2072265,0.002629278510905008,0.0076507290248140234
43,Itgb2,3.284826,2.9763334,0.0028539729750276716,0.008187082906750203
44,Irf5,3.1991463,3.965611,0.003579235812543754,0.010034072127610474
45,Ckb,3.1459994,5.1437387,0.004102232243967533,0.011389222424724019
46,Fcgrt,3.133307,4.7466455,0.004226814622652603,0.011688090755427991
47,Camk1d,3.1202695,3.30079,0.004326657324751837,0.01193548715245291
48,Cd300a,3.1028655,2.1289794,0.0044228240129327665,0.012181297421094157
49,S100a4,3.0557566,4.887785,0.0051178029786566,0.013564929400417761
50,Ap1s3,3.0209906,2.8793926,0.005497765649095371,0.01446096741999095
51,Rgs2,3.014601,1.6663395,0.005456537826619579,0.014374436671499364
52,Ptms,3.0128608,2.554694,0.005602825315331764,0.014692515321588082
53,Alox5ap,2.9232924,1.5404456,0.006829465168221185,0.017536074624651274
54,Cfp,2.920373,1.9494978,0.006946611805959791,0.01782361140696449
55,AK217941,2.9155848,3.6148665,0.007160391955332508,0.018317652066606734
56,Slc46a3,2.9103196,27.46434,0.00730876294375805,0.01865572553173745
57,Lrrc58,2.902246,0.3920329,0.006654752912745321,0.01716408991172205
58,L1cam,2.8979244,5.6894517,0.007512308461328068,0.01911871423307018
59,Cbfa2t3,2.8816078,0.91523165,0.007392460632833823,0.018855418805550275
60,AK081796,2.859152,3.2527747,0.008172987387672788,0.02029135214018618
61,Cytip,2.8423262,3.2556007,0.008513750887041685,0.02103532633372352
62,Ppfia4,2.8256383,3.2038918,0.008863041157693242,0.02169245037957403
63,Laptm5,2.760782,0.3480749,0.009489657006080583,0.02298161847577831
64,Cd24a,2.7362082,1.3071965,0.010632550342259347,0.025410617196078258
65,Fcer1g,2.735984,1.1691769,0.01061692122234844,0.025390849021707875
66,Trp53i11,2.7264912,3.5367346,0.011201561794724542,0.02665971707144441
67,Fr1,2.6868901,1.2164136,0.011876833908783729,0.028111765308101954
68,Calm1,2.6483552,0.34982964,0.012297482961145178,0.029027779547819432
69,Gng10,2.6438355,0.9153438,0.013125718142175401,0.030734027679959065
70,Ccdc102a,2.6021411,5.0648017,0.015064003461858568,0.03425884769075527
71,Plekho1,2.5222523,1.9396043,0.017809394378200102,0.039473487475381215
72,Tep1,2.5011225,1.9991935,0.018727652387320153,0.041138846841910784
73,Nfkbia,2.4631019,1.2068222,0.020103860559902355,0.04393820316163586
74,Slfn2,2.4497085,3.905626,0.02126860754790987,0.046425025077695733
75,Tpm4,2.4404159,2.3067286,0.021575330504635268,0.04697568805772638
76,H2-T10,2.4268773,0.8548176,0.021659148013013725,0.0470987522324577
77,Scpep1,2.4170387,2.0702226,0.02265345605707063,0.049137069046480665
78,Gng2,2.3829713,1.3496597,0.024179774887011035,0.05218536781430587
79,Rassf4,2.3741353,1.7515537,0.024881313471057282,0.05304409859571003
80,Trpv2,2.367457,1.9874097,0.025282251491741313,0.05326559822832678
81,Ece1,2.3632636,1.936333,0.025474226171990456,0.053571940596915946
82,Ifi27l2a,2.356119,1.6590357,0.02577888383830151,0.05408080737141551
83,S100a6,2.341673,3.0780013,0.02696129116021945,0.05608403604214426
84,Ly86,2.3146455,1.0999614,0.02792118473994108,0.057594745091175535
85,Unc119,2.3017366,1.6849095,0.029203235503772216,0.05984582287619829
86,Cd7,2.2811835,5.607374,0.030948188063383432,0.06297299351812277
87,Klf6,2.276196,2.825732,0.031094149227043375,0.06320471996542339
88,Cdc42se1,2.2418547,0.8227831,0.032737136050821916,0.06626149942016799
89,Gatm,2.2257288,0.9720425,0.0339812262916983,0.06853840557139149
90,Arid3b,2.2112544,3.8028054,0.03591705698879038,0.07210573802694334
91,Iqgap1,2.1865582,1.1971684,0.037440994062563765,0.07494714066699974
92,Mpeg1,2.1802585,3.5143456,0.03836940945767972,0.07645082681203967
93,Atrip,2.1294785,0.99817246,0.042039165096105086,0.08313877292072129
94,Unc119b,2.107798,1.6366439,0.04435519297980682,0.08731052929179688
95,Msn,2.0429957,1.1026311,0.05060784890040627,0.09596026733807803
96,Irf9,2.018965,1.5450364,0.05338612684944544,0.10073019341576611
97,Klrk1,2.0143402,4.3505507,0.05434558420094749,0.10203841734356354
98,Zyx,2.01035,0.73907375,0.053874082789650286,0.10153984691812296
99,Zeb1,1.9885136,2.5617151,0.05708810260971227,0.10643492280179204
100,Taldo1,1.9800779,0.32591823,0.05632692842031596,0.10530023292443681
101,Pkib,1.9741565,2.6245954,0.05884238905436195,0.10929229527804256
102,St3gal5,1.9703971,2.5103471,0.059177314746855905,0.10985525185121017
103,Naga,1.964549,2.572761,0.059976864107628036,0.11104085731514182
104,Myadm,1.9620799,4.080396,0.06045109965478417,0.11185884445504568
105,Rara,1.9306037,2.4665143,0.06418941314457345,0.11845864425771283
106,2310014H01Rik,1.920281,1.0275335,0.06496394780526203,0.11950457562684395
107,Mnda,1.8518319,3.0628524,0.07516574311929547,0.13566787630998361
108,Dbnl,1.851801,0.71545583,0.0743554004130006,0.13455715093092033
109,Hps3,1.8490272,1.7762722,0.0753541525048289,0.1359368428092862
110,Tubb2a,1.8289939,2.1736572,0.07852404453336441,0.1407721961998133
111,Itpr1,1.8125194,1.3456835,0.08081852326639631,0.14436062308091804
112,Pnp,1.8098004,0.6038979,0.08044711361846052,0.14379473988707442
113,Ccl6,1.7972665,3.0856752,0.0837365798914442,0.1465837802548102
114,Nfatc2,1.7971122,2.7899318,0.08365346352086607,0.1465421840662481
115,Tnni2,1.7966765,2.9056926,0.08380463588604477,0.1465837802548102
116,Shisa5,1.7905461,1.006649,0.08407635424525639,0.14698454837911842
117,Dpp4,1.7892998,2.8861828,0.08502790407769835,0.1484225073202514
118,calp80,1.7866727,2.0084808,0.08521007011517813,0.14866529422016164
119,Olfm1,1.7843177,3.0169716,0.08584464669945822,0.14947016940455618
120,Asah1,1.7773246,2.0636632,0.08684617990919556,0.15075762920856833
121,Gramd3,1.7766012,2.8281422,0.08712280629191085,0.15116179211331543
122,Net1,1.7730085,1.2547933,0.087173189452441,0.15117320442229845
123,6330416G13Rik,1.760547,5.508156,0.09003639938899256,0.15520260454116552
124,Slc31a2,1.7441771,2.7696147,0.09273231096679437,0.15929278504052133
125,H2-Ob,1.7307811,2.6142728,0.0950848223896428,0.16276128182424607
126,Sema4a,1.7294433,2.5151942,0.09524177019350956,0.1627931396422989
127,1500032L24Rik,1.7232476,0.4698195,0.09514592057918381,0.16276128182424607
128,Sp100,1.7212131,1.6139677,0.0965188849094192,0.1648128014955001
129,Dck,1.7161299,1.0249807,0.09702500830514134,0.1655132494617117
130,Myo1f,1.6945944,0.83747756,0.10113831896289943,0.17142845714192828
131,Anln,1.6940781,1.859733,0.10172391310820666,0.17233638887404085
132,Mrpl52,1.6874518,0.68788064,0.10223107384468985,0.17311061621100327
133,Rnf150,1.6817473,4.0100007,0.10442346326863394,0.1764766756807325
134,Tmem8,1.6809644,2.341947,0.10439209475274694,0.1764766756807325
135,Itgax,1.6763242,3.9212844,0.10554262557561363,0.178106406289214
136,Hexb,1.6709085,2.3151598,0.106323890823946,0.1793371198599402
137,Lbh,1.668015,1.5007912,0.10671169642894246,0.17981546112123067
138,Epn1,1.6548564,0.69326687,0.10854652528860587,0.1823729594795418
139,Cd300lg,1.6474812,3.6370754,0.11130854015634069,0.1863783464723589
140,Malt1,1.6441817,2.2255127,0.11179452896354414,0.18710131884247858
141,Plxdc1,1.6343282,3.5052917,0.11408524521269185,0.1901053506658617
142,AK185715,1.6341797,2.2007523,0.11383238596395007,0.18977563476405393
143,Tmem50b,1.6192814,1.429456,0.11683334063091444,0.1940288058312251
144,Zfp36,1.6164615,3.3648782,0.11787028111068407,0.19528100821554042
145,Dennd1b,1.6130406,2.1369677,0.11836844353018734,0.19591822475907747
146,Nckipsd,1.6094427,1.3720183,0.11887952014000047,0.19666981016449742
147,Afmid,1.6021924,0.4621688,0.11973828128951339,0.19764798017180266
148,Tmem109,1.5960431,1.0837775,0.12178749536868917,0.20080680674502932
149,Cd82,1.5927002,1.4343618,0.12279094660737241,0.2020751343548127
150,B430306N03Rik,1.5924083,3.1824083,0.12318424269968584,0.20262574907369676
151,Pip4k2a,1.5859969,1.1946044,0.12406115702873273,0.20377679814667143
152,Kctd14,1.584206,2.1298769,0.12488351240384969,0.20502997207691975
153,Cbl,1.5712303,2.0944147,0.1278420373081919,0.20928978688357222
154,Trerf1,1.5505635,2.9184184,0.1328617603925537,0.2165828696810122
155,Ctnna1,1.550068,1.1963553,0.13252399487211997,0.21613436025694044
156,Cd244,1.520629,2.884699,0.1402188827679477,0.22721169089808563
157,Gm4902,1.5087929,2.6950703,0.1431394612340356,0.2310450330770144
158,Sntb2,1.5087929,2.6950703,0.1431394612340356,0.2310450330770144
159,Fut7,1.5063373,0.8093417,0.14296853542674492,0.23102204692864223
160,Arl8a,1.4992085,1.4964812,0.1452646281704133,0.23414676871373016
161,Zfp467,1.4845695,2.691098,0.14945131400839412,0.24044591358646533
162,Trp53i13,1.4517661,1.7826347,0.15803135131110052,0.24778109649005356
163,Arhgdia,1.4441178,0.20991035,0.1577711770808406,0.24759815011640784
164,Lefty1,1.4422206,25.245443,0.1611789551838302,0.2521435060468713
165,Gm2a,1.4295269,0.44173035,0.16331616400272403,0.2551575481363733
166,Klhl36,1.4254715,2.330588,0.16557876746807998,0.25785754807416245
167,Cyth4,1.4245814,0.9275929,0.1653069964197029,0.2576668674997266
168,Itm2c,1.4070711,0.6339379,0.17000013536558164,0.26390934194629884
169,Dpysl2,1.3916368,4.9090104,0.17576934607243255,0.2715219397027595
170,Lair1,1.3839192,2.1776285,0.17777993308461984,0.27389220940849246
171,Nfkbie,1.3784425,1.5811025,0.17920412946290987,0.2758400761714995
172,Btg2,1.3766774,2.2287972,0.18004734061261013,0.27689098594212014
173,Ccdc88a,1.3757765,1.621054,0.18016594794402704,0.27694997165026164
174,Il10ra,1.3727239,2.145585,0.18112487208102662,0.278300059461987
175,Wdr1,1.3680097,0.5736694,0.1818902798381718,0.27922747140637494
176,Sdc3,1.3663567,2.1195881,0.183126111813826,0.28087476083089485
177,Mkl1,1.3657467,1.2895716,0.1830529610697567,0.28087476083089485
178,Kbtbd11,1.342438,2.0391684,0.19066007979559138,0.2910074902143237
179,S100a10,1.3417015,0.5170183,0.19015472265478212,0.2903645787086961
180,Evl,1.3411838,3.9080563,0.1913513015563772,0.29167550427166855
181,Sgk1,1.3411838,3.9080563,0.1913513015563772,0.29167550427166855
182,Pmepa1,1.3411838,3.9080563,0.1913513015563772,0.29167550427166855
183,Gapt,1.3381726,2.0313492,0.19196697758480508,0.29248478571530345
184,Kif23,1.3259501,1.0769205,0.1957262196287507,0.2974245636014173
185,Klf2,1.3197483,3.640015,0.1982618788599007,0.3008802743823735
186,Pfkp,1.3059433,1.4762869,0.2024949043368947,0.30650117854934267
187,Tnfrsf18,1.3010273,1.9126807,0.20423613987952846,0.30845466902593116
188,Lgmn,1.3010273,1.9126807,0.20423613987952846,0.30845466902593116
189,Gpr183,1.2908597,3.3221388,0.20795413184685593,0.31338415240327505
190,Tmem173,1.2829908,0.6660777,0.20977813151117863,0.3153067647408874
191,Tyrobp,1.273457,0.36620596,0.21269472090123812,0.3192733718269564
192,F2r,1.2695129,3.137916,0.2152962432458324,0.32261716693068504
193,Ifi203,1.2608664,1.1507795,0.21794360299959162,0.3256173028029807
194,Stat1,1.260754,0.7939662,0.21762053951644073,0.3256173028029807
195,Plod1,1.2596862,1.7962465,0.21852360869233678,0.32617862179812035
196,Lrrk2,1.2563239,3.1795752,0.22003075290806212,0.32800264720765543
197,Spata6,1.2563239,3.1795752,0.22003075290806212,0.32800264720765543
198,Casp6,1.2538389,1.1425039,0.220419070652263,0.3284396428415197
199,9830001H06Rik,1.2422702,1.7513068,0.22474724164693088,0.33402357059584775
200,Rtn4rl1,1.240663,2.9061463,0.2256039211033755,0.33515244585783416
201,Filip1l,1.2194039,2.7657328,0.23338625319638245,0.34552379226971935
202,Plvap,1.2194039,2.7657328,0.23338625319638245,0.34552379226971935
203,Itpripl2,1.2184141,1.688374,0.23353637935319457,0.3455977895145259
204,Cyp27a1,1.215482,2.8566918,0.23493503285600603,0.34751731864731317
205,Ubash3b,1.2139812,1.3135581,0.23510192979300862,0.34751731864731317
206,Evi2b,1.2043182,0.8153779,0.23831151239882908,0.3514585595249398
207,Arhgap25,1.2004462,1.2913973,0.24020982257869955,0.3536536253067799
208,Ptpn1,1.197852,0.55787474,0.240683472409227,0.3540609562526852
209,Ctse,1.1879798,1.243444,0.24489393576914464,0.3596293499316247
210,Mir1903,1.1828293,1.6467516,0.24716146343002865,0.3626505996160837
211,Cenpe,1.1678414,0.9449288,0.2528707050352951,0.37032473659686826
212,Sigmar1,1.1661448,0.5542423,0.25309815495957994,0.37032473659686826
213,Trafd1,1.1592964,0.8756883,0.2560679956832975,0.3741281342519304
214,Fam110a,1.1581141,0.8589483,0.25647928673434384,0.3744120213706517
215,H2afx,1.1501893,0.38155198,0.2592266545679641,0.37789270569382755
216,Myh10,1.1406457,2.319273,0.26413005297580305,0.3836333387287442
217,Plekhg5,1.1406457,2.319273,0.26413005297580305,0.3836333387287442
218,Mfhas1,1.1406457,2.319273,0.26413005297580305,0.3836333387287442
219,Myo1g,1.1400433,0.5555685,0.26371308676269467,0.3835119521357182
220,Twf2,1.1268935,0.4880714,0.2689591416879893,0.38933640854247104
221,Man2b1,1.1220248,0.3565556,0.2707892975837053,0.3913290895985624
222,Apob48r,1.1169204,2.2872944,0.273994166173132,0.3953418074202478
223,Sla,1.1157243,1.1335708,0.27402422583286956,0.3953418074202478
224,Anapc2,1.1145118,0.61828053,0.27441038201869006,0.3957334844740908
225,Sh2d3c,1.1079891,0.9530527,0.27732992105371346,0.3992764111624385
226,Pak1,1.1066945,0.43300307,0.2776122331886888,0.39951618712850917
227,Med30,1.1008725,0.5987048,0.28009412984122845,0.4024166703089423
228,Tspan33,1.0950035,1.4053931,0.2830380072785291,0.40580148031499963
229,Rapgef2,1.0950035,1.4053931,0.2830380072785291,0.40580148031499963
