,names,scores,logfoldchanges,pvals,pvals_adj
0,Vim,10.882383,1.7757754,0.004524852049607642,0.006842797731461864
1,Igfbp4,4.4967346,1.3903805,0.04146644868206867,0.05908369711057761
2,Nme2,3.0317674,0.38204914,0.07674018092207655,0.1075671666783453
3,H2afy,2.5045605,0.5587561,0.12441712447445295,0.16910732436444945
4,Nop14,2.3916514,0.63095665,0.13192847091538307,0.1788237050781567
5,Arhgdib,1.9858916,0.51340485,0.17619587020693148,0.23181545866722095
6,Gnpda2,1.8627825,4.1130385,0.20341777002061537,0.2654044326431545
7,Ndrg1,1.8394401,3.8835976,0.20708565709400809,0.26968022740808373
8,Dntt,1.8381939,3.8739913,0.20723253065378555,0.2697696956945356
9,Csrp2,1.8115326,3.648648,0.2116002492804084,0.2745234813032667
10,Pik3cg,1.8027982,3.582306,0.21303342934568242,0.27584579990654856
11,Satb1,1.6958443,3.3866358,0.23185483616349986,0.2972723088735208
12,Bex6,1.6381862,2.6852891,0.24275045744335033,0.3099266846603781
13,Flt3,1.5894169,2.4968853,0.2525569348680558,0.3211400081907371
14,Galnt6,1.586914,2.4873374,0.2531136681741339,0.3216109237367216
15,BC035044,1.5257499,2.5421948,0.26633285634998666,0.33642831229045544
16,Tbl1x,1.3295316,1.7549242,0.3145653774522514,0.3919007644721009
17,Kdm3b,1.248614,1.5796554,0.3376733253696969,0.41499666875029345
18,Irf8,1.2301414,1.6853379,0.34328515257454223,0.4214432805175187
19,Sp110,1.2269006,1.5356634,0.34421422424779546,0.4220088255520671
20,Fam107b,1.1999413,1.6180755,0.3526566173045022,0.4314136782409915
21,Laptm5,1.1652898,0.4452582,0.361067569324074,0.44029829743370297
22,Fads1,1.1378038,1.4880788,0.37280019588680025,0.4530091212105578
23,Csde1,1.1114862,1.3823684,0.381684039909854,0.4621724988522478
24,3110003A17Rik,1.1016746,1.5307176,0.3851760801155293,0.46520365315535844
25,Ptprcap,1.0576293,1.2872732,0.4007382056389713,0.48152769765323467
26,Ung,1.0478619,1.211637,0.4041261092825535,0.484586241533736
27,Atrip,1.0375637,1.2973138,0.4081113622020036,0.4886857428726976
28,Cd34,1.0105408,1.2496518,0.41818648440283424,0.4990185192510999
29,Zcchc11,0.9950056,1.1264696,0.4240857768197569,0.5057083675898345
30,Rgs18,0.99007195,6.783837,0.4264842196611402,0.5082368974496081
31,Ccdc102a,0.9867627,6.368381,0.42777085319304653,0.5089216574595942
32,Mycbp2,0.9860647,1.1126293,0.4275315515638703,0.5089216574595942
33,Ppp1r3d,0.98210126,5.932779,0.42958933844970304,0.5106830199758613
34,Vcam1,0.9801443,5.782582,0.4303568769667827,0.5112432297460816
35,Pnrc1,0.9783951,1.1006457,0.4305584085515467,0.5113066303893282
36,Aif1,0.9768352,5.559771,0.4316562850234473,0.512257854063245
37,Rab17,0.9735261,5.3667073,0.43295996897333616,0.5132754561755353
38,Uchl1,0.9669081,5.043942,0.4355801995364493,0.5156731624700811
39,Myo15b,0.9669081,5.043942,0.4355801995364493,0.5156731624700811
40,Ninj1,0.9643563,1.1700385,0.4362733273866423,0.5159627322862586
41,Rfc4,0.9643075,1.0790552,0.43612944284275884,0.5159627322862586
42,Slain1,0.9635992,4.9060197,0.4368967634892507,0.5163461406854124
43,Dst,0.9635992,4.9060197,0.4368967634892507,0.5163461406854124
44,Il10ra,0.962852,4.8769608,0.4371913980242733,0.5165174647660963
45,Camk2a,0.9608951,4.8025146,0.4379736977795867,0.5172646239005317
46,Hck,0.9602903,4.78007,0.43821763801226776,0.5173756649949832
47,Nod1,0.95562947,4.6194534,0.4400844685300808,0.5190469927878705
48,Cd52,0.9552694,1.0656427,0.43967382747002187,0.518911899339966
49,Acot7,0.95332205,1.3046399,0.4407911173689057,0.5197028172326934
50,Tnfrsf13b,0.95036393,4.456885,0.4422062098039811,0.5211931796562633
51,Nat8l,0.9470552,4.3633566,0.44354441108068116,0.5225919298871392
52,Gbp2,0.93773437,4.128336,0.4473356490992422,0.5259813713940323
53,Akr1a4,0.93649524,0.30852434,0.4461677276876911,0.525019411230229
54,Actn1,0.93442583,4.0532084,0.44869050680447065,0.5271501059017645
55,Polr1b,0.93303794,1.032022,0.44878789079669196,0.5271501059017645
56,Dpp4,0.9324691,4.0104685,0.44949491909399386,0.5276214169365213
57,Ptger3,0.9311174,3.98176,0.4500497477802471,0.5277341758714348
58,Rassf8,0.9311174,3.98176,0.4500497477802471,0.5277341758714348
59,5430435G22Rik,0.9305124,3.9689438,0.4503008670618877,0.5278492840457114
60,Slc17a9,0.927204,3.9014106,0.45166530441915953,0.5289097270276619
61,Epb4.1l4b,0.9223393,3.807663,0.45367555065462023,0.5307235001047778
62,Mylip,0.9217756,3.797193,0.4539088252144168,0.5308164540206548
63,Btg2,0.91788405,3.7264986,0.4555307013021711,0.5323523366724661
64,Dab2ip,0.9172388,3.7636178,0.455813405527964,0.5325023908182139
65,Afap1,0.9159274,3.6922197,0.4563481437350266,0.5329466815666927
66,Cisd3,0.9145758,3.6690829,0.4569119756487037,0.5330860150255795
67,Ifitm3,0.9083893,1.0471516,0.4592166942014772,0.5353908147598979
68,Arhgap32,0.90600294,3.5299451,0.4605131349566514,0.53653978012674
69,L3mbtl3,0.9046514,3.5092163,0.46108240557396124,0.5370217285304557
70,Cd74,0.90174395,3.4657059,0.46230679146258125,0.538008769649965
71,Eif4g2,0.9009468,0.20120004,0.4569308700219253,0.5330860150255795
72,Cbx8,0.89803535,3.4115658,0.46388493791961144,0.5395574387464035
73,Tnik,0.89533246,3.3735456,0.46503299512429325,0.5407105344251806
74,Cd59a,0.881496,3.1925387,0.4709695429475986,0.5468761415586012
75,Marveld1,0.8721781,3.0821857,0.4750085796406726,0.5510099523831803
76,Paqr7,0.87022173,3.0599847,0.47586259113661283,0.5518151216439687
77,Sra1,0.86111146,1.004811,0.479572251797471,0.555556844898648
78,Dnajb9,0.8563864,2.9119792,0.48194239656153887,0.5577452180634511
79,Acpl2,0.8556406,2.9044902,0.4822694090702226,0.5577452180634511
80,Ggh,0.85483134,2.8963435,0.48262676778369035,0.5579715161211107
81,Tuba1a,0.85172796,2.8653445,0.4840058609757307,0.55919123743798
82,Fxyd5,0.85036784,1.1149617,0.4844125825016528,0.5592866584855148
83,Agap2,0.84686565,2.8182576,0.4861665614047045,0.5611240145176037
84,Mgat5,0.83323544,2.6933444,0.49229156245964373,0.5676238496652959
85,Lat2,0.83228606,2.685165,0.49271519947987935,0.567922562927543
86,Mpnd,0.82918274,2.658243,0.494123552093728,0.5691656803322614
87,Morf4l2,0.8243698,0.8775654,0.49592330560897513,0.5708576810061952
88,Fam105a,0.81972706,2.5794246,0.4984250019108578,0.5733548938647901
89,Epsti1,0.8165602,2.5537822,0.49988090535065716,0.5748380554365604
90,Traf3ip3,0.812648,2.5227852,0.5016814569141667,0.5766978813707131
91,Sorl1,0.8123045,2.5202544,0.5018324363246165,0.5766978813707131
92,Cmtm3,0.8106919,2.5075252,0.5025841564270349,0.5771773457003985
93,Ralgps2,0.8038748,2.4556515,0.5057369115307222,0.5802187771584183
94,H2-DMb1,0.80191875,2.4410596,0.5066468669243835,0.5808146584491916
95,Acot1,0.80077153,2.4325438,0.5071824549915227,0.5811044661938064
96,Rbm27,0.793855,0.8365892,0.5100252833877393,0.5841676909960466
97,Fgd2,0.79010653,2.3559709,0.5121699298354637,0.5860454438009609
98,AK153575,0.78990316,2.354597,0.5122629705514294,0.5860454438009609
99,Plxnb2,0.78058934,2.2908301,0.5166596935238703,0.5897237396554299
100,Ms4a6c,0.77856535,2.277439,0.5176137994061238,0.5903123667384446
101,Foxred2,0.76770645,2.206705,0.5228116436221172,0.5956497134829734
102,Rbpms,0.76675856,2.2007954,0.5232614865853205,0.595965475315492
103,Oxr1,0.76351625,2.180486,0.52481871099041,0.5973447795606547
104,Arid1a,0.7606953,0.7930214,0.5258210867438952,0.5982883515836407
105,Klk8,0.7593375,2.1546495,0.5268358105213994,0.5992453467730221
106,Rogdi,0.75236535,2.1125045,0.5302180043933502,0.6024966523416041
107,Cul7,0.74577457,2.073739,0.5334331285176864,0.6057511439666127
108,Sigirr,0.73909855,2.0354419,0.5367101348190186,0.6088713593887026
109,Zfml,0.7320812,1.9963071,0.540168722767459,0.6120365345342337
110,Ffar2,0.72938025,1.9816173,0.5414984784366338,0.6128931613922018
111,Rgs2,0.7214839,1.9390162,0.5454349354073939,0.6169439403772259
112,AK080025,0.71642524,1.9123385,0.5479709934448282,0.6196094031383035
113,Sp100,0.7145338,1.902513,0.5489199729835408,0.6204791440439565
114,Glud1,0.70916176,0.72725403,0.5513290904977811,0.622590540349425
115,Fyn,0.7086668,1.87236,0.5518786139620284,0.6230072282574289
116,Eif2s2,0.702991,0.7197791,0.5543903037573549,0.6250248083197097
117,1110007C09Rik,0.7027354,1.8424501,0.5548863717163914,0.6251756019566657
118,Il4ra,0.69713223,1.8149649,0.55772403035232,0.6275531883749124
119,Bin1,0.6950883,1.8419821,0.558808458159173,0.6283966949475416
120,Bnip2,0.6943579,0.7088982,0.5588378605604187,0.6283966949475416
121,Pld3,0.6936273,1.797711,0.5595289592160276,0.6288334297653524
122,Zmiz1,0.6682593,1.6797143,0.5726389978195116,0.6422415279412201
123,Arid5a,0.66556025,1.667689,0.5740494001331058,0.6436141909874424
124,Map4k4,0.6636048,1.6590124,0.5750750321520938,0.6445547047602714
125,Rab32,0.6611805,1.6483591,0.5763459370590657,0.6455598275854708
126,Ifih1,0.657111,1.6306329,0.5784856492061131,0.6477462606782273
127,Abr,0.6567515,1.6290331,0.5786786073189485,0.6477521485104416
128,Abcd1,0.65616566,1.6264944,0.5789878349658022,0.647888138283717
129,2310014H01Rik,0.6469946,1.587381,0.58384006310211,0.6527916758504397
130,Slc25a23,0.64638835,1.5847181,0.584171594593131,0.6528420249160929
131,Hk3,0.6385382,1.5521492,0.5883485009447692,0.656871781546554
