,names,scores,logfoldchanges,pvals,pvals_adj
0,Klf1,97.948006,5.383041,0.0,0.0
1,Blvrb,83.72832,4.4694953,0.0,0.0
2,Ermap,79.93837,5.75137,0.0,0.0
3,Mt2,77.86957,5.6071167,0.0,0.0
4,Fam132a,74.16516,3.7938755,6.814513350673236e-284,2.6129872859081485e-281
5,Rhd,69.79933,5.396511,0.0,0.0
6,Car2,65.18988,2.9563098,1.899884644349522e-229,3.8567658280295295e-227
7,Sphk1,62.725433,5.709777,2.9042893111329238e-295,1.2528378015899648e-292
8,Cpox,62.01054,4.0322924,1.772491e-317,1.0194778187e-314
9,Aqp1,59.34308,4.1694045,1.62204470215e-313,7.996680381591e-311
10,Ctse,58.676796,5.4841413,3.06022491907351e-280,1.0560836195722683e-277
11,Car1,52.65017,3.1252592,3.946895637709011e-256,1.047748988133369e-253
12,Stard10,52.520073,3.86136,7.473917548673313e-276,2.3447717691337822e-273
13,Tnfaip2,52.08769,4.003553,4.016213297705335e-275,1.1549960075317594e-272
14,Atp1b2,50.28345,6.357758,1.0370143865326545e-216,1.7893683239620953e-214
15,Mns1,48.152824,3.2746863,1.5484486003939924e-244,3.816925799971191e-242
16,Abcb4,47.276207,5.586762,5.757020586419199e-214,9.030671838060298e-212
17,Gata1,46.797485,5.0988097,1.3881279501062915e-220,2.661349753231562e-218
18,Epor,46.374966,5.610024,1.6074925544436333e-207,2.4119377414717296e-205
19,Zfpm1,45.335293,3.365281,3.932426066826752e-232,9.047201571079415e-230
20,Pla2g12a,44.702927,3.8416076,2.9655282131323696e-231,6.396273664699879e-229
21,Alad,44.313984,3.0026033,7.291355469998133e-215,1.1982127489030264e-212
22,Mt1,43.95557,2.9619303,1.107279573109204e-201,1.592175752833276e-199
23,Hmbs,42.37914,3.5945873,3.1181368133939713e-217,5.663521127906629e-215
24,Isg20,42.248985,4.700077,3.7093621343308343e-199,5.120403490230284e-197
25,Cldn13,41.80827,5.2457366,4.2632766405189114e-187,4.904189228810255e-185
26,Add2,41.67799,5.7636743,3.437811209191996e-181,3.5951171160368417e-179
27,Prdx2,40.844246,2.0088696,9.194784748276611e-157,6.610667117979705e-155
28,Tspan33,40.68268,5.4411387,9.19321855679397e-179,9.33111683514588e-177
29,Mthfd1,40.531216,2.6870115,5.498158967667427e-189,6.776480927650104e-187
30,Lmna,40.25161,5.782905,9.357842634914266e-174,8.970531925858092e-172
31,Mrpl52,39.33605,2.7746155,3.3696503192471776e-188,4.009883879904142e-186
32,Urod,39.275845,3.1172059,5.810844935221748e-196,7.427120693129724e-194
33,Cd24a,39.22492,3.155468,5.468177588924814e-196,7.257954176684436e-194
34,Pklr,38.74468,5.644719,1.7709941059487267e-166,1.651810989088934e-164
35,Glrx5,37.9348,2.2407255,1.5187810220569235e-162,1.2479317397901055e-160
36,Hemgn,37.806805,5.411693,5.541510615875426e-164,4.903526444970793e-162
37,Ank1,37.542797,6.4220324,5.541024443331828e-156,3.902464357946559e-154
38,Gfi1b,37.402946,3.9194546,2.9848236144495664e-181,3.218945716707954e-179
39,Necap2,37.389553,2.8942256,4.5344993489448865e-183,5.047921694583484e-181
40,Ap1b1,37.27088,2.6350236,1.038394375937081e-177,1.0238568546739619e-175
41,Cited4,37.13014,5.0870237,2.80916435813735e-163,2.423606549982999e-161
42,Tmem14c,36.233677,2.0532544,5.988793234777873e-150,3.827282491336748e-148
43,Aplp2,36.09326,4.229532,3.48850043628754e-166,3.168109212007447e-164
44,Slc38a5,35.427307,4.968818,5.741071079580933e-154,3.96248725912676e-152
45,2210023G05Rik,35.07108,5.4369025,4.069710464042259e-148,2.507959073466042e-146
46,St3gal5,34.503983,5.753742,7.065852097664059e-144,4.277939577024328e-142
47,Vamp5,34.30531,2.7276294,3.0215481954992137e-163,2.5432592250409236e-161
48,Ccne1,34.025322,3.7785695,9.08077234095062e-160,7.122214851959225e-158
49,Epn1,33.758804,2.7102242,1.6295085503714167e-159,1.2496520016292797e-157
50,Nudt9,33.663486,3.1806462,6.982425507049446e-162,5.603802424378521e-160
51,Cenp-a,33.619556,2.7983994,2.0224087489802244e-158,1.4849643814320754e-156
52,Gclm,33.223343,3.0336592,4.733015770899851e-159,3.550790744646823e-157
53,Mfsd2b,32.930824,4.901838,3.2710199797707837e-140,1.8813816583648293e-138
54,Hdgf,32.82778,1.8260347,8.725617102173775e-131,4.241141495718549e-129
55,Asns,32.253292,4.9653463,2.7687570049693275e-135,1.447724306689265e-133
56,Ttll12,32.148487,3.1282873,1.9457656329366804e-151,1.2913148460124008e-149
57,Ubac1,32.100273,3.081504,1.6789697467654548e-151,1.1361028619779578e-149
58,Ifrd2,32.04946,2.235763,3.1668334533314903e-143,1.884265904732237e-141
59,Hmgb3,32.04498,3.5751743,2.1875953705644825e-148,1.3726166588760055e-146
60,Cela1,32.03389,4.5963197,1.202369730638345e-137,6.483403031926451e-136
61,Phf10,32.025566,3.0148122,6.505101844145466e-151,4.235680464933208e-149
62,Spire1,31.778233,5.7405953,2.5131839779534307e-129,1.141183935252275e-127
63,Tspo2,31.735493,4.689722,1.439605075956886e-135,7.643195564811099e-134
64,Minpp1,31.715096,3.9293647,2.7692748682749916e-142,1.6197911136299992e-140
65,Hpn,31.607054,6.667831,1.9920757186947293e-125,8.92812117560456e-124
66,Myh10,31.428843,6.5467753,1.2894099685027444e-124,5.562192251628714e-123
67,Eif4ebp1,31.318268,2.2477622,1.7629605486072272e-138,9.953506045928067e-137
68,Rhag,30.960857,6.0342536,1.1785045283743756e-123,5.021011268419717e-122
69,Fth1,30.717875,1.0933443,1.8252857057700163e-118,7.324489500712007e-117
70,Ccdc23,30.07916,2.8185031,1.7882276871849907e-138,9.953506045928067e-137
71,Acss1,30.02901,3.7257907,5.841032798729376e-132,2.9213629258572574e-130
72,Atpif1,30.009865,1.1893764,1.0438216854599935e-111,3.6757435066555485e-110
73,Hk1,29.88727,2.241496,8.942013978791864e-133,4.538072094236871e-131
74,Spnb1,29.579096,6.311682,6.190906779205335e-116,2.4005414938244504e-114
75,Hars,29.50716,2.6685114,1.4857957164409969e-134,7.652956742444598e-133
76,Cox6b2,29.35821,3.2623367,7.174822831996464e-132,3.537187656174257e-130
77,Myo1d,29.264267,6.2582626,1.7449923936808825e-114,6.475235215691103e-113
78,Gnb2l1,29.204567,0.50084335,2.4111102486021366e-113,8.758675229395762e-112
79,Selenbp1,29.131176,3.86066,3.176469962954892e-125,1.4053843387381195e-123
80,Stx2,29.092993,3.9213288,4.001359384355156e-125,1.7479355994189424e-123
81,Ssbp3,29.017664,3.0889719,9.72967080280449e-131,4.663485269510874e-129
82,Kcnn4,28.955421,2.5051644,3.5444253467513356e-130,1.6755906673477888e-128
83,Rgs10,28.836588,3.0745027,1.6267770587001852e-129,7.485343506099119e-128
84,Eef2,28.456299,0.7860326,3.771691720565296e-105,1.1621525113991818e-103
85,Ppp2r4,28.374998,1.7739508,5.667115727216145e-115,2.149144656551969e-113
86,Sod1,28.355204,1.2818199,9.186948143914452e-105,2.781066495144629e-103
87,Fech,28.194363,3.7459655,4.84335547310334e-120,1.989811873533289e-118
88,Crip2,28.121136,6.290579,1.9554889059100316e-108,6.61607079832894e-107
89,Phb2,27.766867,1.3863058,3.3234659451121913e-107,1.0522276125304746e-105
90,Pdlim1,27.764902,2.5986292,3.1081852794170406e-123,1.3080911462522204e-121
91,E2f4,27.323477,2.1696858,2.1955239325692127e-117,8.70891159919121e-116
92,Mbd2,27.201572,2.471281,1.8094663095269876e-119,7.346433216679569e-118
93,Ppm1g,27.18149,1.8543597,5.12816695247132e-112,1.824464345667889e-110
94,Prdx6,27.1697,1.5236803,2.4444686550510188e-108,8.190156629690355e-107
95,Ndufb9,26.915005,1.5727024,5.312831601243131e-105,1.6225293677778803e-103
96,Chchd10,26.858465,2.4651852,3.24193534617411e-117,1.271354418141688e-115
97,Dut,26.795872,1.6009247,2.854838174785143e-106,8.956405946530482e-105
98,Txnl1,26.743765,2.1857724,1.3981894875874684e-113,5.13314034219612e-112
99,Phf5a,26.590725,1.828511,2.7532750139344163e-108,9.049097212464448e-107
100,Trfr2,26.56105,3.5045059,1.2648048448602311e-111,4.364841519612658e-110
101,Psmf1,26.554132,2.7816045,2.9152349851881942e-115,1.1178306593204953e-113
102,Cyth3,26.466558,4.862882,1.483960100456863e-103,4.339954497183588e-102
103,Ahctf1,26.437546,2.572994,1.1871581556539723e-114,4.45313347300202e-113
104,Hba-a2,26.416985,6.9736876,8.528944093646357e-99,2.2468233639063798e-97
105,Pnp,26.393003,2.123092,7.628791416740001e-113,2.742391581163515e-111
106,Mknk2,26.255583,1.9883186,1.4506936128532598e-110,4.95677589896693e-109
107,Ucp2,26.237059,1.4281292,3.303104003774184e-101,9.046834854781514e-100
108,Samd14,26.097658,6.304819,3.9635919916438333e-98,1.036239088118399e-96
109,Atp5b,25.91241,0.8138002,3.3948117480698666e-96,8.678144698214155e-95
110,Cox6a1,25.857487,1.058568,1.7071219502690856e-93,4.1197747205444854e-92
111,Ctbp1,25.802496,1.7137741,4.779936294780822e-104,1.4343965350685753e-102
112,8430419L09Rik,25.746376,4.1416283,8.236999637317563e-103,2.3688238123652427e-101
113,1190007F08Rik,25.711987,6.23132,2.7398918173007856e-96,7.056243777242546e-95
114,Ehd1,25.63144,2.9828496,6.456025463935276e-108,2.0822190538355736e-106
115,Metap2,25.542898,2.2148068,5.281485681527719e-108,1.7194723666935998e-106
116,Cd81,25.496967,2.2138927,8.99264715772875e-108,2.8734838279001773e-106
117,Stom,25.47115,2.7540827,2.54481120063587e-108,8.444368705186911e-107
118,rp9,25.38338,1.8263669,1.4285024606367973e-103,4.2134717877415285e-102
119,Cd82,24.994947,3.4382927,1.2005488612093785e-101,3.3412049355109396e-100
120,Add1,24.973886,2.4176805,3.244928027530642e-105,1.0088510471178599e-103
121,Cyc1,24.914717,1.593992,6.5306684235681395e-96,1.6450610751630403e-94
122,Ddx39,24.903425,2.0270834,1.2279817718813834e-102,3.502285202283185e-101
123,Gtf2f1,24.836378,2.1741364,1.1257817878269502e-103,3.349200818785177e-102
124,Dap3,24.805977,2.1556947,4.990150121256457e-103,1.4471435351643727e-101
125,Rpl13a,24.734865,0.63316184,2.706599261351004e-90,6.065242890209296e-89
126,Lgals9,24.695501,1.796827,2.059410204257543e-101,5.685619691914224e-100
127,Cenpv,24.687357,3.4023435,3.704668807055546e-100,9.988134416522413e-99
128,Smap2,24.627153,2.7792807,2.712560096643974e-102,7.672987617637995e-101
129,Txnrd2,24.525146,3.1586568,3.398950005135889e-100,9.236044462774766e-99
130,Pck2,24.524061,2.277548,4.570487459177119e-102,1.2823375789935152e-100
131,Ddb1,24.451172,1.4888371,2.1444288509643543e-94,5.248527634523395e-93
132,2310003F16Rik,24.39719,1.9110628,9.266485519310282e-100,2.4789644594682003e-98
133,Snrpb,24.382263,1.219888,1.1067028127599513e-89,2.4172350676168304e-88
134,Slc25a38,24.238958,3.6940215,1.4083843579441556e-95,3.5219814632357105e-94
135,Slc25a3,24.211792,1.0791845,1.3345775578376587e-86,2.5167361486873006e-85
136,Prss50,24.211002,5.3843007,9.654049452143234e-90,2.135649016624763e-88
137,Rps3,24.200632,0.3949447,9.022241337040993e-91,2.1037672198735454e-89
138,Atp5d,24.152657,1.118452,1.139351943960311e-89,2.4728953198786372e-88
139,Csda,24.130066,1.0948701,1.9632617340464347e-86,3.662279050915809e-85
140,Uqcr,24.075687,1.5161356,3.445680572725315e-92,8.257669205885461e-91
141,Rexo2,24.034586,2.065215,7.447637712244482e-99,1.977061364996593e-97
142,Eif3f,24.03042,1.1345053,1.3846503529602698e-87,2.730530496037652e-86
143,Bsg,23.969648,1.5647348,1.7152995373736598e-94,4.228213359626071e-93
144,Chchd2,23.880684,0.9640712,1.5087941951346065e-88,3.1366558839816428e-87
145,Tubb5,23.875315,1.0715493,2.523865001200085e-84,4.354929059570747e-83
146,Prpf8,23.868862,1.5851271,1.2175578079473088e-90,2.7643368389645804e-89
147,Rpia,23.866417,2.1820416,1.7191744600136744e-97,4.460805309403903e-96
148,Nme1,23.84938,1.1857859,2.7390909178994323e-87,5.340453535407311e-86
149,Taldo1,23.744856,1.1794913,3.6054160958647975e-86,6.689403734854525e-85
150,Mdh2,23.649813,1.3614676,6.145499467438713e-88,1.2188573943753446e-86
151,Vars,23.621754,1.5313883,1.5920168058266326e-91,3.763047943087472e-90
152,Abcf1,23.614819,1.5745047,2.0329626653404638e-91,4.772621876251661e-90
153,Cct7,23.607542,1.112317,3.024204531385753e-87,5.863219010006873e-86
154,Tcf3,23.551641,2.249384,4.615720913823478e-96,1.1712391818827076e-94
155,Mkrn1,23.54412,2.771761,2.9270407250017785e-95,7.267062979842545e-94
156,Txn2,23.542027,1.4586217,1.114845661646626e-90,2.5479022373129183e-89
157,Psmb4,23.49196,1.3998559,4.4744527598806754e-89,9.488451560659209e-88
158,Eef1g,23.46868,0.84477013,2.7616821210018414e-83,4.495549528102526e-82
159,Atp5a1,23.368166,1.0258849,3.8436445027671284e-84,6.599212526890228e-83
160,Eif3i,23.347622,1.3197222,1.4847458207048707e-87,2.911282856393471e-86
161,Sh3glb1,23.292398,2.6945922,1.0048493265565083e-93,2.4420669196806408e-92
162,Mgll,23.199413,5.1672306,9.751802952174368e-85,1.7347150509254506e-83
163,Hspe1,23.18723,1.6800086,2.837787648403382e-90,6.318196886864563e-89
164,Hspd1,23.160267,1.6432724,4.0748547206786516e-88,8.22358107664446e-87
165,5730508B09Rik,23.119192,4.347224,1.2700896731290371e-86,2.408285418663905e-85
166,Cul4a,23.089872,2.9339197,7.267613400905377e-92,1.7296919894154794e-90
167,Creg1,23.037716,1.560157,2.2207104720140856e-88,4.534717064450065e-87
168,Gm10653,22.98984,0.69597876,8.597130778457455e-84,1.4402280736144017e-82
169,Eif3d,22.987387,1.4275273,4.071806130829798e-86,7.514333132349536e-85
170,AK158095,22.98603,0.66410553,9.573392372062608e-81,1.4058628542973642e-79
171,Rcc2,22.929262,1.2613066,7.834265449491999e-84,1.3188317105461897e-82
172,Sdsl,22.887104,3.351643,5.485139795081848e-89,1.154220575172406e-87
173,Mcm7,22.869192,1.4127212,1.678661301562784e-85,3.0651111913720466e-84
174,Eif3g,22.849207,1.2712336,4.14777592697007e-84,7.086126100977084e-83
175,Atp5g3,22.812395,1.0881184,2.1511785056720754e-81,3.284830541183333e-80
176,Cs,22.781271,1.9740537,2.441815726469545e-90,5.5076510274813066e-89
177,Nsmce4a,22.736835,1.9195409,1.0386510982960919e-89,2.2830477326240848e-88
178,Uqcrfs1,22.725203,1.7006725,4.840348292633285e-88,9.65551558258813e-87
179,Rnaseh2c,22.723553,1.7668109,1.9066880072722988e-88,3.9401079719141933e-87
180,Xpnpep1,22.723145,2.165786,1.1111594466483025e-90,2.5479022373129183e-89
181,C1qbp,22.698717,1.4085783,1.644803701452087e-84,2.8813287176198745e-83
182,Psmc2,22.647795,1.8264732,8.34582433738894e-89,1.7455418053532867e-87
183,Mcm5,22.628908,1.2831118,1.0626145561650612e-82,1.7056199224770353e-81
184,Golm1,22.627428,3.7027757,1.1383977936500277e-85,2.0896865882373645e-84
185,Pml,22.607838,2.571507,1.2384818565939897e-89,2.6712505544411617e-88
186,Fam162a,22.584599,1.9076856,4.481650548790064e-89,9.488451560659209e-88
187,Slc29a1,22.567892,2.1255078,1.5525202487642496e-89,3.3277934027859783e-88
188,Psmd7,22.507227,1.5405736,2.166087687931313e-84,3.756366136206513e-83
189,Ftl1,22.499084,0.87461925,3.1686927757002027e-78,4.3051806176934646e-77
190,Col5a1,22.421574,5.6591415,7.099858387034961e-80,1.0209004705690689e-78
191,Dlst,22.405117,2.0527983,2.1165388959530097e-88,4.347723648770141e-87
192,Nolc1,22.38885,1.3572396,2.2911055049939827e-82,3.6604653230251084e-81
193,Ndufv1,22.355238,1.7916362,1.094855391854063e-86,2.0874839543029677e-85
194,Ldb1,22.281038,2.213481,4.3322903142825005e-88,8.692287136388901e-87
195,Gypa,22.269806,5.7318006,4.841323711899318e-79,6.764132846058521e-78
196,Eif4b,22.269331,1.5242428,6.526546960354972e-85,1.1730788312596357e-83
197,Oat,22.173775,2.6333237,9.903557116952388e-87,1.898731978366816e-85
198,Lsm4,22.134321,1.4181983,4.354296310731265e-82,6.830307531060726e-81
199,Pdap1,22.132353,1.7071427,1.9257860960775638e-84,3.356508998769532e-83
200,Slc14a1,22.10496,4.962783,3.2106209776336055e-79,4.522388977066764e-78
201,Epb4.1,22.073622,2.2599058,8.721146029812945e-87,1.6813784887644958e-85
202,Cox17,22.065575,2.0092163,1.7355472798395215e-86,3.255094381916407e-85
203,Rnf187,22.035217,1.5144067,2.147021203689124e-83,3.511549845465008e-82
204,Bag1,22.012623,1.5962789,9.463467178733587e-84,1.5777017021164064e-82
205,Nfia,21.949635,6.270397,7.192759468652405e-77,9.474127071114294e-76
206,Pgp,21.946033,1.7916943,7.265867763352284e-85,1.299197391260556e-83
207,Ak2,21.932432,1.3884721,5.377487229857157e-81,8.033640013089632e-80
208,Bag2,21.925762,2.6957617,5.042237539426852e-85,9.11034646521574e-84
209,Ankrd13a,21.917624,1.2189022,3.405548503869713e-78,4.608842308570344e-77
210,Lgals3bp,21.860844,1.9180138,1.1326479022785662e-84,2.0044963644940163e-83
211,Snx3,21.856611,1.7478764,1.6840445708278295e-83,2.7806879492472915e-82
