,names,scores,logfoldchanges,pvals,pvals_adj
0,Coro1a,30.183561,2.907837,2.2433782554006587e-129,1.0904082196320665e-127
1,H2afy,30.085901,1.3901489,1.0842730582662772e-136,6.035203748511165e-135
2,Pkm2,29.842806,3.3366268,2.5405057115982087e-121,1.0691811232591973e-119
3,Laptm5,26.112055,2.071695,8.574474979636631e-111,3.114790858392212e-109
4,Igfbp4,24.311382,3.4834087,1.1639304871592723e-88,2.66008219283884e-87
5,Ramp1,23.287714,2.5577562,3.71482173699008e-89,8.603926049901185e-88
6,Lgals1,22.317478,2.227379,5.577205263471249e-84,1.007692951007292e-82
7,Fxyd5,22.21475,3.2290971,7.008479924017628e-79,1.0248417041434252e-77
8,Tmem176b,21.923761,3.6158879,1.40995394031665e-75,1.8292297173055485e-74
9,Sh3bgrl3,21.842026,1.7589124,2.3175867310650907e-84,4.323238815624664e-83
10,Vim,21.71081,2.9000797,4.312073922168918e-77,5.976292010202786e-76
11,Prtn3,21.233171,1.3326784,1.3267222961064535e-79,2.0258932052492794e-78
12,Arhgdib,21.21007,2.0023193,5.83689544636679e-79,8.645118534511499e-78
13,Arpc1b,20.579365,2.8353708,3.135507516825174e-71,3.551687853778484e-70
14,Cd34,19.10184,3.6890666,5.346273133940521e-61,4.2511494436010917e-60
15,Ctsg,18.801662,1.6750073,1.815962523621859e-64,1.636262837863978e-63
16,Psmb8,18.586937,1.6085027,8.439678056187668e-65,7.746098130825437e-64
17,Napsa,18.524137,3.3162537,3.6275805653302835e-59,2.635532743358907e-58
18,Limd2,18.508785,3.5090737,1.2801502261758972e-58,9.165556909819547e-58
19,Emb,18.418097,3.5484898,9.041912544613114e-58,6.303765695244416e-57
20,Lcp1,17.433077,3.4814916,2.189966009690066e-53,1.3691254890290609e-52
21,Cd27,17.027212,4.1397038,1.0806775140979542e-50,6.044437765238315e-50
22,Sfpi1,16.570644,3.7729938,5.998312585653595e-49,3.174873732069104e-48
23,Tyrobp,16.139956,2.7465317,2.938606567196019e-48,1.5090969141954556e-47
24,Gm2a,16.070047,3.1727343,2.747606360918436e-47,1.3702297039782546e-46
25,Plcg2,15.431388,3.6503923,7.286689061860676e-44,3.219764910689013e-43
26,Ptpn18,15.175887,2.2248855,1.4479171246888995e-44,6.583349140054536e-44
27,Cd52,14.98701,2.8785048,1.4766734113850307e-42,6.260442190036537e-42
28,Rin3,14.710862,3.24028,5.992233670834801e-41,2.4242905507679834e-40
29,Coro2a,14.550753,4.4067025,2.0940327808834346e-39,8.074309638914784e-39
30,Mpo,14.398542,0.5946993,1.8111532625249542e-41,7.449689998776659e-41
31,Gpr97,14.391126,3.488558,2.6528063913420733e-39,1.0194693604144204e-38
32,Ckap4,14.285138,3.5245445,9.105381470676814e-39,3.42673777952657e-38
33,Cebpa,13.944741,4.216286,6.633508152135844e-37,2.382126600730572e-36
34,Irf8,13.944392,3.3444448,2.7904265395319435e-37,1.0124527969389157e-36
35,Sell,13.846115,4.5250635,2.428360506178324e-36,8.560032795527472e-36
36,Cnn2,13.63566,2.6921213,1.2165149336167764e-36,4.34146125740589e-36
37,Serpina3f,13.345333,3.5403788,1.3181370941021151e-34,4.429300011437585e-34
38,Ifitm1,13.23503,3.6962962,4.267590746779797e-34,1.4093259011614429e-33
39,Tnfrsf1a,13.218021,3.167195,2.072462875809971e-34,6.916894955918965e-34
40,Zyx,13.200569,2.8857684,1.6140382160990247e-34,5.407811537628868e-34
41,Trf,13.132081,4.8426657,2.7774993394834346e-33,8.958084318277882e-33
42,Fes,12.982375,3.2234678,2.7696249680339263e-33,8.941043746197455e-33
43,Il16,12.840294,4.009078,2.335439652629849e-32,7.32025634988702e-32
44,Tmsb10,12.673379,2.0037441,5.9277832465167695e-33,1.8959017593817769e-32
45,FKBP12-T1,12.390912,2.7485356,3.632125304497037e-31,1.0995144233174803e-30
46,Ptprcap,12.210441,1.8304833,4.481845374657984e-31,1.3543650077009372e-30
47,Lbp,12.142266,3.276348,8.745421281841625e-30,2.538305201315008e-29
48,Rgs19,12.0605545,2.949892,1.1318845030611765e-29,3.274210746072188e-29
49,Tmem176a,11.933124,3.726189,9.333133806363785e-29,2.6400528496525754e-28
50,Wdfy4,11.8288765,3.6681511,2.1104860653009097e-28,5.9330273420616775e-28
51,Ncf2,11.827848,3.8819082,2.7979848556104423e-28,7.850281086757428e-28
52,BC005764,11.621877,3.418372,1.3752197305833529e-27,3.79367169483865e-27
53,Muc13,11.57554,2.968397,1.32599019056344e-27,3.660793718107545e-27
54,Dock2,11.502557,3.1969576,3.0296436882695995e-27,8.291277056477706e-27
55,Slco3a1,11.494017,4.0920177,6.256270838655574e-27,1.6960244041005802e-26
56,Cst7,11.453826,3.3585196,5.759647219247962e-27,1.5638507123229516e-26
57,Nkg7,11.315124,2.5541282,1.0361762938903974e-26,2.787096173200126e-26
58,Adssl1,11.268653,2.8855047,2.0407875087361797e-26,5.438422928686144e-26
59,BC035044,11.150672,3.8678634,1.209005578891342e-25,3.151267562503037e-25
60,Sox4,11.135164,2.3421435,3.8107987438758646e-26,1.0069729299475963e-25
61,Celf2,11.072335,2.4192655,7.52774577237553e-26,1.9725323204607407e-25
62,Rac2,11.06203,0.8938277,1.0947373095215684e-26,2.9423196691268947e-26
63,Eltd1,11.0552435,4.574737,3.7139559505814424e-25,9.564822377206386e-25
64,Ptpre,11.052653,1.7731758,3.868683274968951e-26,1.0214863031306695e-25
65,Ncf4,10.859212,3.1751242,1.0371975566243429e-24,2.63188879993427e-24
66,Hdc,10.716247,3.4026694,4.414038183910252e-24,1.102231966184825e-23
67,Myo1f,10.683408,3.6113496,6.386673123770509e-24,1.5845010028851207e-23
68,Lyz1,10.668746,4.3639927,9.787357162291457e-24,2.419496387325775e-23
69,Myo1g,10.66208,3.306465,6.3784454339271985e-24,1.5835982152865297e-23
70,Rasgrp2,10.583491,2.7171667,8.22533531595033e-24,2.0362720355340452e-23
71,Palm,10.531831,3.1578834,1.6790191466467042e-23,4.1036084101117393e-23
72,Emilin1,10.506128,2.6073751,1.4441628117646147e-23,3.542150578109229e-23
73,Etv6,10.3801565,1.4854684,1.4758893556951932e-23,3.617396425073943e-23
74,Hk3,10.35663,4.873775,1.5457781943449267e-22,3.7148193235963387e-22
75,Elmo1,10.278955,5.092743,3.0455887366070895e-22,7.253503609407223e-22
76,Pou2f2,10.111299,5.50577,1.3052896888455446e-21,3.0684977630830886e-21
77,Cd93,10.107691,5.001057,1.2051166864996458e-21,2.8368742736086482e-21
78,Rab27a,10.097312,2.8261392,5.814353490333857e-22,1.3781135916993228e-21
79,Mapkapk3,10.090338,1.7473807,2.52035791865811e-22,6.0108881667513055e-22
80,Tmem173,10.086289,3.834331,1.0988887017987242e-21,2.590344883816528e-21
81,Gmfg,10.079115,4.6201935,1.4712487639079393e-21,3.4515836058778376e-21
82,Pecam1,9.9438095,4.260073,3.945657757634856e-21,9.15085008171901e-21
83,Fr1,9.913642,4.3317323,5.264315362979011e-21,1.2143818394144764e-20
84,Pstpip1,9.8843355,3.3256876,4.716733382415614e-21,1.0895212116945305e-20
85,Man2b1,9.883271,1.5317407,1.4131559153622462e-21,3.3175517441599396e-21
86,Tmem180,9.868426,3.0402539,4.500415101157357e-21,1.040250000944008e-20
87,Syk,9.865194,2.1145253,2.4162705358371777e-21,5.634155148090608e-21
88,Flt3,9.847614,3.8675542,8.19648038616195e-21,1.8794720141292286e-20
89,Kif17,9.8378,3.2539833,6.733538538856033e-21,1.5460706252556336e-20
90,Fcer1g,9.81266,2.6222093,5.86413804737125e-21,1.3500427219131544e-20
91,H2-DMa,9.803429,1.7165164,3.0500674216632043e-21,7.097628234767173e-21
