,names,scores,logfoldchanges,pvals,pvals_adj
0,Psmc1,6.131516,1.174133,0.0010989819547139704,0.0036785516253326016
1,Pkm2,5.8126945,0.49046627,0.0009314055807290707,0.0031574466199371545
2,Bst2,4.688808,1.1464909,0.004436394807345815,0.014084635216329723
3,Runx1,4.5466857,1.3690943,0.005453914874999045,0.016925773591386424
4,Ndufa12,4.5302505,1.1787586,0.005413173505675992,0.016814457036982762
5,Psmb4,4.3237042,0.84338456,0.006457296689618648,0.01998576760168068
6,Igfbp4,4.165881,0.7513841,0.0075188473923098725,0.02322967086021609
7,Sf3a2,4.155076,0.7207131,0.006538555778631064,0.02021913619359839
8,Taok3,4.12338,1.2426056,0.008167702077986552,0.024746918236287614
9,Pgp,3.9358582,1.1228979,0.010047616454829383,0.03009923991806962
10,Tmem147,3.8619232,0.8422803,0.010186715885289077,0.030489467927261583
11,2900073G15Rik,3.664386,0.98584926,0.013429322074425558,0.040125186561768486
12,Sfrs7,3.593038,0.68121666,0.013935925181261386,0.04160283546758914
13,Ppp2r4,3.5167365,0.733319,0.014939826853938786,0.04414156033642359
14,Psmf1,3.3712049,2.1028872,0.019428495135823846,0.056916584646628264
15,Txn1,3.311386,0.65873975,0.01946413584346059,0.056972631718220944
16,Rpl32,3.175762,0.32061812,0.021177118725968922,0.061829303488425344
17,Ndufa13,2.8453038,0.7092569,0.034031861405810736,0.09706111876979574
18,Tnfaip8,2.8415155,1.6336982,0.03551235488746096,0.10119994774288008
19,Hnrnpc,2.7245412,0.71905667,0.03941681729898926,0.11223385849736958
20,Mrpl37,2.6545475,1.4724476,0.044376805622248126,0.12604473761512616
21,Exosc2,2.6390746,1.4073681,0.04510449348669429,0.1262429400080767
22,Ankrd13a,2.635749,0.70207715,0.04463977801025951,0.1262429400080767
23,Rps8,2.6252255,0.3819241,0.04487527629705049,0.1262429400080767
24,Ldhb,2.550752,2.5923464,0.05090301854398619,0.14019658179991729
25,Kars,2.5310404,0.6601246,0.050226598864408285,0.13844408361108065
26,Myc,2.5042458,0.845353,0.052736327052803775,0.14489893683059382
27,Elane,2.4704914,0.48935214,0.05215819166076608,0.14342463698908667
28,Crip1,2.4602156,1.5242164,0.056578861277295535,0.15533305510576523
29,Parp8,2.4202034,2.301754,0.05971279234970926,0.16367660555905214
30,Qdpr,2.36104,1.2013544,0.0635593408048232,0.17366847594413687
31,Aes,2.3359857,0.38226238,0.060625703522013324,0.16591538687903884
32,Rasgrp2,2.3017511,1.201934,0.0686040426426118,0.18700833424933122
33,Ndufs6,2.2030156,0.6198418,0.07647941741023692,0.20781926730923436
34,2900010J23Rik,2.1779814,0.6737265,0.07928647736497885,0.21527744562277104
35,Was,2.1600275,1.309796,0.08247337232323468,0.2201877753063191
36,Mcm4,2.1428804,1.1724956,0.08395131524687233,0.22183460100838928
37,Fam55c,2.1409183,4.749145,0.08516096880636459,0.22473637549466818
38,Lmnb1,2.1234798,1.2762096,0.08647939505826689,0.22781709339395345
39,Cad,2.087849,1.1516157,0.09031606663199954,0.23665964005089626
40,Rnaset2a,2.085654,1.053783,0.09026041292955794,0.23665964005089626
41,Prtn3,2.0440903,0.20081826,0.09051020010160445,0.23698839192005838
42,Plcg2,2.035513,1.0731146,0.09646961428630223,0.25201865170479104
43,Ddx6,2.0135996,1.8217325,0.09978757140816133,0.2602924481704949
44,Cic,1.9872426,1.601497,0.10294324024201514,0.2681185826982598
45,Slc43a3,1.9782678,1.7073662,0.10425679882490041,0.27133500206993316
46,Cdca3,1.9669132,1.0780979,0.10539862717489949,0.27389357106971246
47,Ppp2r1b,1.94411,3.1140876,0.10931155939065201,0.2834216314478889
48,Cox17,1.9184302,1.0951236,0.1122406752517768,0.2905795726135647
49,Atp1a3,1.9024076,3.198246,0.11535875654277722,0.29798133894395523
50,Arpc4,1.8903917,0.41325498,0.11411727168103553,0.2949952843230364
51,Rnf10,1.889377,0.9289592,0.1162814082971851,0.2994194433578114
52,Arid1a,1.8870455,1.6076101,0.1172863228975961,0.3016058869743697
53,Nme2,1.8760885,0.32805806,0.11593917935929628,0.2990329655971087
54,Edem1,1.8649815,1.7321588,0.12079441028709141,0.31039576314277917
55,Mmgt2,1.8613391,2.7462642,0.12153732749911379,0.31184038453490087
56,Cisd1,1.8498037,1.6532521,0.12309993161868903,0.3151856442220477
57,Gga2,1.8482336,1.427827,0.12311511110151269,0.3151856442220477
58,Gltscr2,1.8236823,0.96441704,0.1268877697575282,0.3241226450282974
59,Hk3,1.8156466,1.541533,0.12865894236310488,0.3279187666876477
60,Spcs2,1.8147254,0.6060116,0.12776819277220017,0.32588915983507966
61,Dmkn,1.8044258,2.7444055,0.13081630299762814,0.33268022228799904
62,Tfdp2,1.7987795,2.5180223,0.1316999531483101,0.3346808087737983
63,Sesn1,1.7788105,2.6452672,0.13519559490969038,0.3428067582904787
64,AK154077,1.7539703,0.8184223,0.13829671415076147,0.3504125995112172
65,Zdhhc9,1.7473149,2.5314653,0.14079046555472488,0.35568660075355457
66,Treml2,1.7463553,1.4011805,0.14053818429113576,0.355389626080486
67,Eif2b4,1.7459366,1.3112392,0.14044941174889092,0.355389626080486
68,Fmr1,1.7217834,2.445199,0.1454914109056356,0.3659554366146855
69,Stk10,1.712594,2.2506878,0.1471510604808706,0.36986038581171476
70,Ctsg,1.7002202,0.18036045,0.14129874792525687,0.3567095677323054
71,Cdk4,1.6850756,0.3389206,0.15088695238322228,0.3786988164905455
72,Chd6,1.6830786,2.3230095,0.15292203916713887,0.38324906112258256
73,2510003E04Rik,1.6751726,2.1479144,0.15440816791946993,0.38393982898014006
74,Zfp106,1.6696659,0.85281473,0.15470743626425199,0.38393982898014006
75,Spna2,1.668026,2.2779925,0.15591354972615307,0.38393982898014006
76,Pccb,1.6647768,2.2682285,0.15657722543505753,0.38393982898014006
77,Polr3d,1.6636308,2.264895,0.15680740635207657,0.38393982898014006
78,Eif3b,1.656863,0.41704702,0.15651766517744606,0.38393982898014006
79,Sec61b,1.6391071,0.3580182,0.16001989485356274,0.3894419302818371
80,Trmt1,1.6379381,1.3574685,0.16184615226861862,0.3936089298654002
81,Tom40,1.6354182,0.83055454,0.16199964689516239,0.39370477565859535
82,Rbmxrt,1.6237283,0.82390356,0.16427957216572373,0.39868410938390475
83,Trip12,1.623673,2.3881364,0.16518776760418963,0.4000442007031989
84,Mapk14,1.6187111,0.7677507,0.16512801823292542,0.4000442007031989
85,Esyt1,1.6121441,0.95612943,0.16710188251706073,0.40439593027095133
86,Vars,1.5899575,0.32384083,0.16743204920414514,0.40491100336615615
87,Slc25a3,1.580849,0.24468146,0.1709712247180934,0.4126025849665317
88,H2-Q7,1.5807358,0.40701348,0.17256553435643657,0.41615909089033026
89,Srp68,1.5794514,0.80825824,0.1741603753502375,0.41971191014921067
90,Ebna1bp2,1.5732367,0.8295234,0.1757651525444206,0.42328369953300454
91,Ostf1,1.5593934,0.80697757,0.17869315171199932,0.4288387110974337
92,Rab1b,1.5520165,1.2565683,0.18080161380074494,0.43359719890644255
93,Wdr61,1.5466325,1.1038674,0.18175922568282388,0.4354809534434233
94,Tk1,1.5454679,0.822158,0.18183948244334192,0.4354809534434233
95,Gspt1,1.5410202,0.7604539,0.18278839641869102,0.4374499001670615
96,Pspc1,1.5409861,1.8261975,0.1835509406066096,0.4389704061215591
97,Stat4,1.540616,5.4176683,0.18401383965344148,0.4397726874266112
98,Pak1,1.5338258,0.85306287,0.1847415067944795,0.4410168223415587
99,Ldb1,1.5338255,1.0913619,0.18479001017267283,0.4410168223415587
100,Racgap1,1.5307714,1.17966,0.18570462986312794,0.4425874845702034
101,Gmip,1.5212497,2.0257783,0.18842447802252252,0.4481411948006377
102,Cdk13,1.5104364,2.1058848,0.19108373900328784,0.4541528810608446
103,Tm7sf3,1.5067638,1.1540829,0.19156090283850866,0.4545219418763018
104,Rps21,1.49562,0.2465518,0.1928689060582886,0.457136397532386
105,Mtus1,1.4941078,1.8340394,0.1950346227304283,0.46078302549144
106,Polr1b,1.4930103,1.7255609,0.1952300081022603,0.46078302549144
107,Otud7b,1.4861604,4.1843753,0.19731683276386347,0.46512321712301424
108,Cox6b1,1.474546,0.23187165,0.19511968525839649,0.46078302549144
109,Slc25a12,1.4661117,1.1797066,0.20206281621190753,0.4740440372177382
110,Epb4.1,1.4660685,1.0270725,0.20159061509523493,0.4735801311733531
111,Eif3f,1.4603517,0.28983647,0.2014824383319675,0.4735801311733531
112,Alad,1.458663,1.0845634,0.20375477462116015,0.4773643769298192
113,Lrpprc,1.4558588,1.6520917,0.2047433945706466,0.4793551252803945
114,Cox6a2,1.4500275,3.7162437,0.20665421662205374,0.48317323954112973
115,Spn,1.4323051,0.7500878,0.2104915705893878,0.49015277334951235
116,Zswim4,1.4317275,3.5261648,0.21154496998553174,0.4922735613082063
117,Snrpd2,1.4262931,0.340078,0.20999049370801623,0.48946665219391605
118,Atp6v0d1,1.4245785,1.1161059,0.2130490285258124,0.49537685615791643
119,Isyna1,1.417565,0.6563652,0.21414027695121415,0.4966385052141398
120,Eif3m,1.4032481,1.5530461,0.2190246389531981,0.5062652572186782
121,Adat3,1.4002345,0.96606976,0.21944445657639888,0.5068961309539174
122,Bptf,1.4000182,1.1211948,0.21988441604636583,0.5075726553685675
