,names,scores,logfoldchanges,pvals,pvals_adj
0,Gpr56,15.594103,2.1302786,3.74970086815849e-47,1.1763834269104502e-44
1,Ptprcap,11.133411,1.6680378,1.2099652192416922e-26,1.0988394662113367e-24
2,Cd27,10.811661,1.8080076,2.9233634384268038e-25,2.193158092611065e-23
3,Nrgn,8.942925,2.467151,6.244893804665702e-18,2.394569835544593e-16
4,Spns2,8.709361,3.219192,4.828317558639583e-17,1.617720766491767e-15
5,Serpina3f,7.572762,1.4087856,1.1582000033786668e-13,2.612384452065215e-12
6,Flt3,7.420216,2.151935,4.103599654703111e-13,8.379599058213276e-12
7,Aff3,7.31887,2.1546857,8.265358800719925e-13,1.5672391879826626e-11
8,Fam65a,6.634376,0.9737726,6.15973636928749e-11,8.303613363441846e-10
9,Muc13,6.4395413,1.2521489,2.176038183487708e-10,2.6629460181617307e-09
10,Dapp1,5.669653,0.8473739,2.0282976562890037e-08,1.7455499281429805e-07
11,Marcksl1,5.601066,1.8774753,3.2007596120597714e-08,2.6680728070575534e-07
12,Nedd4,5.4859343,0.739527,5.5229963467086787e-08,4.3416538479479845e-07
13,Rab37,5.382323,3.3630512,1.1623478192792771e-07,8.552798132905725e-07
14,Ifitm1,5.3685184,0.9613458,1.052334789163502e-07,7.793148835629283e-07
15,Satb1,5.2146955,1.6132005,2.485243031074677e-07,1.7361485223155287e-06
16,Lsp1,5.180976,1.2820886,2.894021047418211e-07,1.981600522746081e-06
17,Slc22a3,4.900074,2.617973,1.2843984827037583e-06,7.70862463271421e-06
18,Gata2,4.8502874,1.5705969,1.5537484694732619e-06,9.165787979747397e-06
19,Ablim1,4.8453407,3.9730718,1.7520717387338603e-06,1.019628932608862e-05
20,Rbpms,4.8042626,1.5589924,1.9361789765656623e-06,1.1117726535986857e-05
21,Itga2b,4.7667227,2.9244177,2.4717339485782756e-06,1.3713752180938309e-05
22,Fut8,4.6675634,1.2998382,3.6706024159415445e-06,1.9761698810318672e-05
23,Cebpe,4.6510563,1.5810784,4.035990171976673e-06,2.162764298678804e-05
24,ISG12a,4.6337624,0.7218336,4.201602553642457e-06,2.244540311551102e-05
25,Tmem176b,4.6184907,0.48595065,4.4920391944947435e-06,2.3853253380832036e-05
26,Myct1,4.61468,3.8651035,5.156381271277486e-06,2.7002536824246744e-05
27,Eltd1,4.4559927,0.97194046,9.63286820746036e-06,4.735474100277166e-05
28,Sipa1l1,4.3086696,1.2249228,1.8807204142464365e-05,8.73535147989832e-05
29,Tspan13,4.3083744,1.5022879,1.898420355018803e-05,8.793890798885757e-05
30,Apoe,4.210679,0.973575,2.8811589734406385e-05,0.0001294645783508287
31,Fam69b,4.1716332,1.0665165,3.401047954385996e-05,0.00015125021250755245
32,Lpcat2,4.1383395,2.840349,4.1079858266708765e-05,0.00017990684121625884
33,Megf12,4.1202397,3.1126935,4.455583641266927e-05,0.0001936551529724454
34,Hip1r,4.10142,1.6172402,4.6634769292483144e-05,0.00020218164425673282
35,Egfl7,4.0381336,0.9450248,5.947190670807426e-05,0.00025028969518239543
36,Gimap6,4.013245,2.782388,6.904131077200473e-05,0.0002867166828810931
37,Gimap1,4.012334,4.3479185,7.08717876875211e-05,0.00029361169184830173
38,Slco3a1,3.921866,0.78071207,9.571355658063513e-05,0.00038542296821443626
39,Paip2,3.9005442,0.763301,0.00010445068633425617,0.0004162347789139931
