,names,scores,logfoldchanges,pvals,pvals_adj
0,Ly6c2,22.083374,2.3331099,2.5979571689039545e-85,8.965550189887546e-82
1,F13a1,20.25752,3.3917763,3.9208364336718983e-70,4.510268844200574e-67
2,Hp,19.669222,1.7899604,2.3237130362804962e-70,4.009566844101996e-67
3,Irf8,18.01512,1.6476114,2.732479867967893e-61,2.3574470060892995e-58
4,Elane,17.602621,1.3848051,8.823219009162375e-57,6.08978576012387e-54
5,Prtn3,17.557816,0.70381874,2.4545951640458415e-53,1.2101154158746e-50
6,Lamp1,16.708681,1.3269593,5.122586975384455e-54,2.9463412753419594e-51
7,Slpi,16.115673,2.2008748,1.83038967656539e-50,7.895843467283951e-48
8,Tyrobp,15.943111,1.2828397,6.20458055544657e-50,2.3791119440940125e-47
9,Lgals1,15.3125515,0.8388308,2.2945843382396468e-45,6.5988421260541844e-43
10,Ftl1,15.2470255,0.64343286,6.38230509469481e-45,1.694256529368599e-42
11,Fcer1g,15.202778,1.7692893,4.432377421398334e-46,1.390557680113241e-43
12,Vim,14.243689,0.9655326,5.874094409417073e-41,1.4479642719213083e-38
13,Mpo,14.1999235,0.46237946,1.0893572726396799e-38,2.5062479652530237e-36
14,Ctsg,14.130948,0.76743126,2.033750228906659e-38,4.38654502497305e-36
15,Tspo,13.606211,0.7661798,2.0172863616660407e-37,4.095091314182063e-35
16,P4hb,13.598058,0.7137698,8.851380757724618e-37,1.697006388605981e-34
17,Unc93b1,12.959543,1.7222662,5.452322995283366e-35,9.903140345643628e-33
18,Csf1r,12.849681,1.7598126,1.821929715941446e-34,3.143739724856965e-32
19,Erp29,12.822812,0.9018578,3.8144207704137074e-34,6.268364799379859e-32
20,Cst3,12.776072,0.6473503,1.3601029642762788e-33,2.040745795529321e-31
21,Ly86,12.77209,1.8040622,4.197570730752327e-34,6.584462087193763e-32
22,Gpx1,12.622585,0.30260357,1.0370955426370373e-32,1.4912569656835065e-30
23,Ctsh,12.291946,2.6434233,2.2918519458456743e-31,3.041992717351316e-29
24,Selplg,12.27344,0.9717549,8.744185191011734e-32,1.2070473237672597e-29
25,Actb,12.02145,0.22280045,1.865835581220529e-30,2.3848142928859427e-28
26,Hsp90b1,11.848635,0.7938153,1.1155500101003405e-29,1.3275045120194052e-27
27,Pgd,11.837688,1.1288857,5.759345879981955e-30,7.098393797077759e-28
28,Coro1a,11.672516,0.6000013,5.779637186017742e-29,6.648509309649076e-27
29,Gnai2,11.597541,0.48115996,1.7101776433948172e-28,1.844319702298598e-26
30,Emb,11.591469,0.98780906,8.612927645322598e-29,9.58813332387364e-27
31,Aldoa,11.517923,0.70247346,2.3858154932356777e-28,2.4949846264110072e-26
32,Tifab,11.441829,1.5730209,3.2943528382040545e-28,3.343768130777115e-26
33,Sepx1,11.214286,1.204788,2.875339059704037e-27,2.7563319708440646e-25
34,C3,11.192998,2.1963916,7.759512860047303e-27,7.237318616222498e-25
35,Gstm1,11.070896,1.2870944,1.1731112541390408e-26,1.0653702468510078e-24
36,Rps6ka1,11.064617,0.9852711,1.245916298540921e-26,1.1024761913499277e-24
37,Napsa,11.050889,0.9419945,1.488243791937317e-26,1.2839823314939204e-24
38,Calm1,10.995839,0.565018,4.6419414609234315e-26,3.9071560930845765e-24
39,Hexa,10.902613,1.0343485,6.116831108303549e-26,5.0259962273227494e-24
40,Rassf4,10.856312,2.1033876,1.8643115188197497e-25,1.398638924227599e-23
41,Alas1,10.846787,1.0241053,1.2122048149873931e-25,9.29626403671443e-24
42,Cyba,10.83767,1.0437226,1.1328044084322704e-25,8.884790939772194e-24
43,Ybx1,10.726653,0.4809857,6.317632236603156e-25,4.5421143434411444e-23
44,Mt1,10.701572,1.2999263,4.074233024495374e-25,2.9915272696879863e-23
45,Psma7,10.679704,0.7015706,9.050411910447369e-25,6.374075816929362e-23
46,Hspa5,10.6019335,0.7535215,1.3745220130224866e-24,9.300932288118827e-23
47,1500032L24Rik,10.584498,0.91820735,1.2972667938369266e-24,8.953735411062468e-23
48,Calr,10.575043,0.3877632,3.1145538304377693e-24,2.0669856286232196e-22
49,Cfl1,10.547467,0.39500841,4.1476841851187055e-24,2.650677430156417e-22
