,names,scores,logfoldchanges,pvals,pvals_adj
0,Cfl1,19.647137,1.2340295,7.765381327789311e-17,4.322311445516276e-15
1,Rpl4,18.736408,0.48070282,2.5052175099879044e-30,1.2224077757722083e-27
2,Hspd1,14.9665785,1.7943404,9.528783642645746e-08,1.3049139821734314e-06
3,Mybbp1a,13.691662,1.7439135,1.0804823336031004e-06,1.2106313419689284e-05
4,hnRNP A2/B1,13.49334,1.1216094,8.868182499745915e-08,1.2340362018799657e-06
5,Eef1g,13.287054,1.0359312,7.36542327309376e-09,1.2968405977268655e-07
6,Rps20,13.206854,0.7258556,1.0833823394373218e-08,1.841749977043447e-07
7,Hsp90ab1,12.97259,0.7276456,3.608895701179874e-07,4.512427197381066e-06
8,Gnb2l1,12.664927,0.4882323,2.8590078310703073e-07,3.614079130045286e-06
9,Blvrb,12.1212845,1.6295083,3.313379589810614e-06,3.304760972380471e-05
10,Tuba1b,11.98609,1.4026053,1.2364241121513207e-06,1.3632267127904816e-05
11,Rpl32,11.734511,0.82065195,4.799872583209344e-08,7.04866395091721e-07
12,Prdx6,11.688121,1.2835251,1.087836320813969e-06,1.2149265835368956e-05
13,Eef2,10.832227,0.64411813,5.312376539540053e-06,5.064367800539426e-05
14,Txnl4a,10.775523,1.0863173,4.3970963501442186e-07,5.438845700483046e-06
15,Ran,10.775127,1.6681732,1.4697366869844779e-05,0.00012648531937115793
16,Rps3,10.579868,0.39372525,6.443124191119423e-07,7.667317787432113e-06
17,Klf1,10.507721,1.4096667,1.0387157590659153e-05,9.408420169387069e-05
18,Cdc37,10.429874,1.6779522,2.4342459254806888e-05,0.00019719677673318912
19,Psmd7,10.397411,2.0942822,5.0874927927421494e-05,0.00038250408775061345
20,AK158095,10.388171,0.7104385,1.5873438979326001e-06,1.6920984677311718e-05
21,Rpl13a,10.383201,0.5347585,6.195686334865413e-07,7.398378388103994e-06
22,Smap2,10.317746,2.0051365,4.251094319007556e-05,0.0003217220722564709
23,Rftn1,10.145737,2.6297588,7.558322498735573e-05,0.000535601046060297
24,Ctbp1,10.117074,1.7285488,4.080717352958077e-05,0.00031150638579731756
25,Cox5a,9.998197,1.8943436,4.9521581236755024e-05,0.00037314187084725234
26,Anp32b,9.915602,1.7074288,5.145308873456651e-05,0.0003851726881192821
27,Cct7,9.860437,1.2621711,1.553349712229707e-05,0.00013301761431525356
28,Ywhae,9.851663,1.4506514,1.8402765837100226e-05,0.00015680974050329106
29,Car1,9.811877,1.0900356,1.2970583988407228e-05,0.00011332021606074264
30,Rhd,9.786122,2.4704688,7.756155120889016e-05,0.0005484936746349999
31,Slc25a3,9.444228,1.1028228,2.888164473870337e-05,0.0002334205058390289
32,Trim28,9.283042,1.3158432,5.1410306796546864e-05,0.0003851726881192821
33,Ucp2,9.23298,0.8863424,2.9208627300167598e-06,2.9473383863414732e-05
34,Atp5b,9.169122,0.99240047,3.817121541965061e-05,0.0002940376437794961
35,Prdx2,9.118914,1.2483805,2.288768598954539e-05,0.00018628633101396496
36,Snrpb,9.101278,1.1790869,2.4260236954744524e-05,0.00019699312407252552
37,Ptpn6,9.040951,2.1455731,0.00011721404874504975,0.0007869760354458496
38,Ppp1r14b,8.952074,2.0965495,0.00011491733092844856,0.0007760855362702073
39,E2f4,8.913076,2.3491518,0.0001597056715278877,0.0010619350143405402
40,Cct5,8.855654,1.3648332,7.873655928137543e-05,0.0005545303389388298
41,Psmd4,8.736074,1.778936,0.00013232992444135608,0.0008833086445785683
42,Gpx1,8.580734,0.6251777,4.089029057264122e-05,0.00031150638579731756
43,Cox6a1,8.559984,1.1463376,5.173325158233113e-05,0.0003864317125771098
44,Atp5d,8.536186,1.2500386,8.719581332495515e-05,0.0006116112841146752
45,Gnas,8.432415,0.7504565,1.5102199273457438e-05,0.00012964599426045178
46,Taldo1,8.408395,1.1943111,9.062445743288964e-05,0.0006343712020302275
47,Calm1,8.375038,1.1469488,7.820756455823967e-05,0.0005519310946635687
48,Rps19,8.192119,1.1550415,0.0001295572740036046,0.0008664770398962004
49,Car2,8.081293,1.066915,0.00011718685237804122,0.0007869760354458496
50,Atpif1,8.00164,0.8131102,8.505170241796037e-05,0.0005977870163836685
51,Srm,7.9824586,1.4969516,0.0002034401806261579,0.0012977302464711106
52,Nop2,7.8547397,1.3721995,9.729486186888852e-05,0.0006728748863918522
53,Vamp5,7.7877045,1.0472331,0.00012716061085772353,0.000852099549650493
54,2900010J23Rik,7.7645664,1.8390344,0.00031028959662472575,0.001855659448627368
55,Eif3b,7.7554955,1.3156627,0.00020789993649957978,0.0013212940715654692
56,Gm10653,7.691878,0.7392972,0.00016945060628936203,0.0011054329722203938
57,H2afy,7.645353,1.3876902,0.0002991748075407515,0.0018371036669450772
58,Nudc,7.637309,1.6408573,0.00025809193548239625,0.0016253198345798348
59,Tagln2,7.622718,1.1835346,0.0002047308387869715,0.0013035537355236874
60,Nasp,7.607889,1.6430974,0.00024061070387915861,0.0015180028136873426
61,Ncl,7.512228,0.77012384,0.00018682702327384567,0.0012028732412650027
62,Bclaf1,7.4719777,2.5557454,0.0005130782068244694,0.002883766924676293
63,Sfpq,7.455237,1.7086838,0.00034592420599552804,0.0020511760049666105
64,Trp53,7.4398866,1.7431432,0.0003647005165577688,0.0021477499703768943
65,Pdap1,7.368681,2.1712925,0.00047755241496823616,0.0027698040068157696
66,Ruvbl2,7.3198004,1.539509,0.00027939339016097835,0.0017562597257660042
67,Ranbp1,7.289609,1.5298693,0.00038952094791685636,0.002278367442815375
68,Hint1,7.2480197,1.3574404,0.00038047218860540546,0.0022330093926483914
69,Hnrnpd,7.1521316,1.8937993,0.0005082048694266875,0.002861035896234092
70,Sod1,7.1461287,0.88655007,0.0001450423442580582,0.0009662956178273336
71,Edf1,7.1266723,1.4868352,0.0003065124615549369,0.001855659448627368
72,Cox4i1,7.0365124,0.87085605,0.0002098130924802793,0.0013310018054217719
73,Sfxn1,7.029595,1.464879,0.0003629432028249699,0.00214105468880166
74,Fam129c,7.0087504,1.3881679,0.00042719390386733994,0.0024860812179531033
75,Gart,6.96401,2.0255368,0.000685990185641329,0.00368172959665354
76,Eif3g,6.9222536,1.4701289,0.0005014723915153095,0.0028277470966002177
77,Snx3,6.836521,1.7679907,0.0006199636415481604,0.003348191748016747
78,Ndufs6,6.758591,1.7420701,0.0006366561937221173,0.003427613922831555
79,Nsun2,6.6913342,1.4995133,0.0005838723289540797,0.003178144175426702
80,Rps27l,6.6753054,1.6314354,0.0006743035723144585,0.0036246442804629226
81,Actb,6.655175,0.4628755,0.0004615508979446159,0.0026815019340182982
82,Rps21,6.6266274,0.7902483,0.00038936985285084277,0.002278367442815375
83,Ftl1,6.6005173,0.7481839,0.00039413460956232307,0.0023004396992105155
84,Rpl13,6.5736504,0.6651369,0.0002300318794233336,0.0014539194430218392
85,Atp5g3,6.5138535,1.2924334,0.000626512805810701,0.003378274520082389
86,Tcf25,6.4927278,1.7240264,0.0008813758618455856,0.004587674357811638
87,Srsf6,6.4005594,1.8698034,0.0009768095857694264,0.005000639364309983
88,Ldha,6.369696,1.1425505,0.0007629440083063415,0.004082046159170829
89,Rexo2,6.3078833,2.052072,0.0011026176070830797,0.005595784355946629
90,Pck2,6.280747,1.7652651,0.0009974590751904184,0.005084536585645693
91,Rps3a,6.203368,0.861558,0.0007281836488935486,0.003902114553309994
92,Abcf1,6.198874,1.7155739,0.0011739272207777509,0.005931512209229895
93,Lmo2,6.197119,1.6500435,0.001054911968530584,0.005361562891603896
94,Thoc4,6.053213,1.8099676,0.0012579125251796668,0.006337308210795665
95,Zfp106,6.042049,2.1230972,0.0014181032643320035,0.007113189484316489
96,Ndufa10,5.8570914,1.7192118,0.0014721519080321734,0.007261964314483124
97,Atp5f1,5.8553348,1.7020845,0.0014951195919828085,0.007261964314483124
98,Cdt1,5.847423,2.043854,0.0015976614876074078,0.007679772821729592
99,Tubb5,5.8443623,1.1693143,0.0013037866618704423,0.006558845145940082
100,Mt2,5.81999,2.272489,0.0017105283020586318,0.008042279523711632
101,Polr2e,5.8168454,1.5028471,0.0014692985083944775,0.007261964314483124
