,names,scores,logfoldchanges,pvals,pvals_adj
0,Polr2f,4.257642,1.0503192,0.004823230467370853,0.011591203581404468
1,Ldha,3.1339593,0.2857287,0.017081300070473045,0.039456202505490284
2,Ydjc,2.9846385,1.300161,0.02382004069862877,0.05465622370410099
3,Tmbim6,2.9712725,0.5183486,0.023368564600760814,0.05369168870654165
4,Ran,2.6592412,0.36484635,0.03408094733560452,0.07667102298251055
5,Vps72,2.6577666,2.0266225,0.037359686853000305,0.0836653337635977
6,Rasa4,2.6519186,1.8676379,0.037547506601628595,0.08403141717394312
7,Phb2,2.5573745,0.43504554,0.04108912203472397,0.09160113704252741
8,Dctpp1,2.5233736,0.5431756,0.043188736622106774,0.09597188028518383
9,Atp5h,2.5024424,0.48107,0.04414319940986779,0.09802971760840008
10,Afmid,2.3380034,0.4469142,0.055472429831290124,0.12093199958798624
11,Timeless,2.2990339,1.5797625,0.06073440774046534,0.13182040321531188
12,Idh3a,2.2852569,0.91170245,0.06125043701692132,0.13277340335766047
13,Med20,2.2553272,2.6900196,0.0648087342785876,0.14022253416639863
14,AK188353,2.213898,0.44635582,0.06702772559003825,0.14448012555354278
15,Nap1l4,2.2101963,0.91115636,0.06817590609607599,0.14640637955044072
16,Tsnax,2.1790016,1.4529859,0.07168244752685367,0.1535543925606282
17,Ccne1,2.0553832,2.040711,0.08529506447404735,0.17828786644454112
18,Adat3,2.0258784,1.3041841,0.08861871073873193,0.18445305835908557
19,Macf1,2.008923,1.2886639,0.09070968300452849,0.18823759233230777
20,Tubb5,1.992427,0.27869296,0.09043475154700911,0.187893032864978
21,Etfb,1.9657085,0.31745094,0.09411592462130089,0.1949544152869804
22,Tpm3,1.9439278,0.35536718,0.09703986549438838,0.2005296861204397
23,2610018G03Rik,1.9384552,1.9441018,0.10037648678136771,0.20680154506076848
24,Ubb,1.9112891,0.23577262,0.10193717483959086,0.20939594664965958
25,Mrpl37,1.8951465,1.2165242,0.1063481586711843,0.21767941611759017
26,Polr1d,1.8379849,0.6989958,0.11439452362640379,0.23235756388153
27,Lonp1,1.8258772,1.1578518,0.11714523208779845,0.23724659385856364
28,Itm2c,1.8218439,1.1544042,0.11779974482406874,0.23843221078466934
29,Cd34,1.8048128,0.6848188,0.11965491316297162,0.24190340089362336
30,Clk2,1.7923518,0.79915184,0.12241797739671557,0.24691083576625683
31,AK189633,1.7731235,0.749059,0.12563617956340772,0.25266343570706296
32,Acsl1,1.7081792,1.4767652,0.1380528757049687,0.27506955777011954
33,Pml,1.6875277,1.5309297,0.14213436726342554,0.2822242240656395
34,Cdc34,1.6624482,0.689704,0.14654184331872627,0.29028199784223296
35,Tm7sf3,1.6347909,0.9969297,0.15261306512397912,0.3007810895161918
36,Atpase6,1.5762228,1.2474197,0.1656628702379094,0.3202741296801098
37,Ass1,1.553329,0.99960864,0.17085066043156485,0.3290209984092245
38,ISG12a,1.4863143,0.8612767,0.18703873954417463,0.3569895005320263
39,Arhgef12,1.4788346,4.570988,0.1896335219085432,0.3609626498104703
40,Kif17,1.4685122,1.2400343,0.19193902732954757,0.36494853075166317
41,Anapc13,1.4402419,0.8482833,0.199273880944278,0.376200308062748
42,Mapkapk2,1.4307469,0.3075447,0.20036172612974903,0.37763425279834184
43,Slpi,1.4209201,0.84892577,0.20454548155873742,0.3846792680431623
44,Strbp,1.4205222,1.1236829,0.20477608916809847,0.3849032046400369
45,Ndufa13,1.4120388,0.55377185,0.20694110009344027,0.38854936693278697
46,Ctbp1,1.4034256,0.5673311,0.20918986259589367,0.39191868394051527
47,Mrpl20,1.3983508,0.5928462,0.2107264886185343,0.3945833490084438
48,Basp1,1.3772401,3.2740657,0.2175333520594443,0.40491240450762794
49,Csrnp1,1.3657295,3.179638,0.2209228428742456,0.41011550874611163
50,Gng12,1.3538871,0.547833,0.22357171788859093,0.41369758629143555
51,Srp9,1.3472618,0.78122467,0.22595635618500687,0.4174386430377188
52,Ddx6,1.3429277,1.0399925,0.2273511592484775,0.41979071726404277
53,Mett10d,1.3422823,1.0391268,0.22757220335075415,0.4199741570927554
54,Tpp1,1.3383634,1.5474421,0.22896589140208176,0.4220947068528762
55,Mir142,1.3250649,2.8878253,0.2332774917593365,0.4298134671977952
56,Aven,1.3202976,1.5130211,0.23456812825582182,0.4319608381061052
57,Glipr1,1.3149487,2.8238862,0.23643512213532653,0.43470304021790723
58,Lgals3bp,1.3098549,0.6958904,0.23733164483558356,0.436119012953993
59,Nucks1,1.3059092,1.0600082,0.23908224376372814,0.43863520639480374
60,Fbp1,1.3044771,2.9417675,0.2397944640969133,0.43900832657742594
61,Rab37,1.2938118,2.6971052,0.24319355456374794,0.4445238118641388
62,Fut4,1.2918704,2.6860812,0.24382055038229564,0.44543394355177457
63,Ier3,1.2871287,2.659384,0.24536074932468788,0.44753696930206016
64,Prdm2,1.2796483,1.5099593,0.2476769895389456,0.45128473648305245
65,Mapre1,1.2762908,1.035664,0.24865061387324006,0.4528196667422435
66,Ssb,1.2740889,1.4994409,0.24950257224792094,0.4538921332775831
67,Aim2,1.2670815,2.5516658,0.25196506452335904,0.45762168511335266
68,Fam69b,1.2506402,1.3870816,0.25731595370154553,0.4656514715385599
69,Gtf2f1,1.2454417,0.6932855,0.25875478071877017,0.4680098261323249
70,Frat1,1.245319,2.4427812,0.2593168539702682,0.46865547887744746
71,Foxp1,1.243999,0.73560625,0.2593833568982685,0.46865547887744746
72,Ssna1,1.2420044,0.7508521,0.26012445682478746,0.4697485612257151
73,Scly,1.2384211,1.3658437,0.26151269009168143,0.4720085217083644
74,Grk6,1.217196,0.99025905,0.26891793372884776,0.48385599024935017
75,Usp2,1.2154942,2.3056736,0.269689282078764,0.4848329004820321
76,Abce1,1.2081949,1.3149488,0.27211178379004325,0.487568933468037
77,AK089379,1.2077869,0.9034158,0.27203840685187325,0.487568933468037
78,Vat1,1.1996398,2.2374485,0.2753544736105847,0.49235662612959985
79,Mobkl2a,1.1984866,0.98933005,0.27556829154439116,0.49248377737943755
80,Fam101b,1.1911561,1.3490247,0.278280262861472,0.49655904195188205
81,Gpn3,1.1866826,1.3407053,0.2799603739982138,0.4987832992606277
82,mKIAA1994,1.1663052,2.2120647,0.2876351466133197,0.5098248027542713
83,Lmo1,1.1613656,1.2977273,0.28934263976170493,0.5115376279803503
84,Slc35b2,1.1578925,0.60111135,0.29014727321149325,0.51247127146651
85,Smyd5,1.1500285,0.8479611,0.29339632225690454,0.517114764100397
