,names,scores,logfoldchanges,pvals,pvals_adj
0,Gpr56,15.142557,1.8357196,2.7518861876016274e-44,7.305199410317858e-42
1,Cd27,10.479539,1.5700349,9.10986632838817e-24,5.716027036230469e-22
2,Flt3,8.74386,2.7197075,3.945779065390961e-17,1.1840768308403657e-15
3,Nrgn,8.642026,2.1658602,7.606539999411308e-17,2.2245906388108833e-15
4,Ifitm1,8.422543,1.5391502,2.7187333103116166e-16,7.387676105421567e-15
5,Fam65a,7.8334274,1.0729696,1.8717848811025717e-14,4.194499756288945e-13
6,Aff3,7.570978,2.1025198,1.732128386370125e-13,3.4753343380019197e-12
7,Serpina3f,7.4839997,1.2561309,2.4943803871328587e-13,4.947187767813503e-12
8,Spns2,7.448931,2.1648128,4.096525005081918e-13,7.767641644251484e-12
9,Muc13,6.9508038,1.2453986,9.129862851775535e-12,1.48618663686214e-10
10,Tmem176b,6.7932916,0.6662307,2.1946364651203e-11,3.236619846636819e-10
11,Lsp1,6.656169,1.6640307,6.77304634679038e-11,9.094857176176498e-10
12,Ptprcap,6.4654365,0.7654929,1.8508160868127957e-10,2.3396213610223287e-09
13,Dapp1,5.8439894,0.7913685,7.875956119946296e-09,7.600665822941815e-08
14,Cd34,5.72251,0.63766664,1.506945745255508e-08,1.375785652612899e-07
15,Rbpms,5.4845257,1.7633522,6.388809366341002e-08,5.274588785464785e-07
16,Satb1,5.3542504,1.5351505,1.2554123838759774e-07,9.80187361257013e-07
17,Egfl7,5.2209444,1.1783483,2.446269553141064e-07,1.8472814503041163e-06
18,Sox4,5.18527,0.7747164,2.85100657860823e-07,2.1158760651133337e-06
19,Coro2a,5.162403,0.771477,3.1857428812467607e-07,2.3310594277540866e-06
20,Marcksl1,5.1153865,1.493022,4.273915763037844e-07,3.034831954371111e-06
21,Slc22a3,5.071648,2.6464114,5.706738750598998e-07,3.876762879589989e-06
22,Gata2,4.9043665,1.4627278,1.2349355358559415e-06,7.958270069684138e-06
23,Myct1,4.6723948,3.9022784,3.993558783232369e-06,2.281750225320349e-05
24,Tspan13,4.50625,1.4656035,8.033480618910151e-06,4.271732144200144e-05
25,Gimap6,4.3679614,3.267387,1.5660556078896704e-05,7.731699431798644e-05
26,Mfge8,4.326622,1.1209457,1.7655392068876943e-05,8.60575678385513e-05
27,Rab37,4.2653265,1.9150162,2.376662785794168e-05,0.00011344209230671748
28,Itga2b,4.1954284,2.1208267,3.21959072351556e-05,0.00015075722641590497
29,Gimap1,4.1642203,5.154219,3.81625201206164e-05,0.0001751314586918181
30,Phf14,3.9994307,0.7076172,7.040686780740066e-05,0.00030562779975262854
31,Dntt,3.9444437,2.3344066,9.271667890820514e-05,0.0003910292527444283
32,Megf12,3.858146,2.502199,0.00013012904697144105,0.0005327109621571092
33,5830405N20Rik,3.8283143,1.8477477,0.00014507132808176426,0.0005889895920119629
34,Trf,3.8172925,0.6154838,0.0001467428620896868,0.0005946932016531524
35,Apoe,3.809778,0.7883549,0.00015295606182260283,0.0006173700226313478
36,Klk8,3.797816,1.066128,0.00016048875297358276,0.0006447574930289105
37,Gpr171,3.6975303,1.2427634,0.00023807697167005154,0.0009108687685513835
38,Eltd1,3.684803,0.69579697,0.00024690945620232073,0.000941529871109623
39,Pla2g16,3.6793842,0.89921075,0.000253332843523979,0.0009607160912101665
40,Ifi27l2a,3.627554,1.3725431,0.00031109144509321336,0.0011519061985157503
41,Angpt1,3.575751,3.991122,0.0003899287040664509,0.0014224566149400868
42,Pnrc1,3.5720448,0.627899,0.0003788734910323365,0.001387996196977275
43,Fut8,3.5380068,0.8390449,0.000431316804258228,0.0015537309932099634
44,Ptms,3.4299097,1.5112302,0.0006472730894161527,0.0022449642528393396
45,Ifi203,3.4270167,1.2807606,0.0006531246598831446,0.0022607153472986277
46,Rtp4,3.3862276,2.029659,0.0007648229056618915,0.0026268191363717787
47,Basp1,3.3500938,1.8401027,0.0008665616953116009,0.0029318670691375827
48,Fyn,3.3213913,1.2102941,0.0009511072450478619,0.003186670973456477
49,Txnip,3.2994998,0.66524285,0.0010191203044269636,0.00339477236542225
50,Rcor2,3.2962086,3.6467159,0.0010613215867813334,0.0035159120173118975
51,Tbxa2r,3.2899194,3.7352648,0.0010856398256318112,0.003572947429008608
52,Ahdc1,3.2115972,1.8552202,0.0014025163726745767,0.004477413507955563
53,Rtn4r,3.1748986,1.0790519,0.0015727162513887501,0.0049747422397273845
54,Padi4,3.132351,1.2572408,0.001821484759603324,0.005669933234583451
55,Auts2,3.020265,2.122808,0.002658131953541749,0.007907942561786702
56,Ddah2,2.9532194,1.5483651,0.0032825521939328405,0.009567641572012021
57,Micall2,2.9374187,1.394778,0.00344423426588513,0.009996679942447084
58,Meis1,2.9292789,1.5271558,0.0035370612678446477,0.010223114267447134
59,AK076954,2.9250925,1.5234835,0.0035876219405936707,0.010343260916448419
60,Fam69b,2.913296,0.63171005,0.003693927995898171,0.010596629687318858
61,Ablim1,2.9003296,1.3459167,0.0038694285033146533,0.011001575338013634
62,Zfpm1,2.892256,0.5606648,0.003944711934214999,0.011185867612962992
63,Vamp5,2.8693473,0.48824033,0.004235567055510216,0.011883692608590046
64,D18Ertd653e,2.8602588,1.7950693,0.004402476212517489,0.012301980088581257
65,Mta3,2.801655,0.6424747,0.0052313759796967455,0.014237759074080024
66,Mdga1,2.7913156,1.3473451,0.005425430618006788,0.014719466244293574
67,Arhgap32,2.7807264,1.2930483,0.005599012673841034,0.01514278427697916
68,Osbpl5,2.7795782,1.6410178,0.005635421411183733,0.015217401635363897
69,Mast4,2.7760859,2.81832,0.005728037872835578,0.015407216445171927
70,Trim47,2.7760859,2.81832,0.005728037872835578,0.015407216445171927
71,Usp22,2.7512627,0.6840186,0.00609826500940079,0.016288786801425797
72,Crip1,2.7494357,0.3737885,0.006114477658827158,0.016306848841277064
73,Epx,2.7273908,2.7685094,0.006650356016514794,0.017519372987017216
74,Tjp2,2.6314182,1.3950075,0.008739573621347058,0.022274939857657827
75,Camk1d,2.6283283,1.7511944,0.00883911657008953,0.02244576253375936
76,Ttyh2,2.6061234,1.0224485,0.009377621358639284,0.023581870451325645
77,2210020M01Rik,2.6001947,1.3457338,0.009555157413912014,0.02391214520334326
78,Lgmn,2.6000845,2.2068434,0.009601964628687275,0.023994482211151184
79,Il1r1,2.5887485,1.7069576,0.009902074874164075,0.024625026034679726
80,mKIAA1994,2.5881119,0.8449849,0.009871997406356433,0.024594228413049344
81,Arhgef3,2.587249,1.1670706,0.00991447175098969,0.024625026034679726
82,Sox12,2.585871,0.711303,0.00991851236980725,0.024625026034679726
83,Sdsl,2.5655854,0.86870533,0.010528732623399387,0.02587938481720177
84,Prg2,2.5385163,1.8925952,0.011476484271431215,0.02791074504630664
85,AK052812,2.531945,1.720733,0.01163484916922146,0.028256062268109262
86,Trfr2,2.5243063,0.8269218,0.01183672361315303,0.02868576768889825
87,Hoxa7,2.5142312,0.70188016,0.012165436991728854,0.029420408590368794
88,Rbp1,2.504332,1.7933863,0.012575694125407374,0.030285220116385795
89,Arhgap6,2.476452,1.7515814,0.01358379058887698,0.03230714081475842
90,Tpm2,2.4585075,1.482188,0.014260386277616312,0.03374618679553882
91,Plek,2.4413574,1.1445416,0.01492216215541765,0.03505539931813908
92,Rufy2,2.434422,2.1332464,0.015272429565690032,0.035732308088946646
93,Mrgpre,2.4300902,1.9433068,0.015440416461544126,0.03607642329640405
94,Pvrl1,2.4192877,3.7483637,0.015968245838758787,0.037058787081073685
95,Lgals9,2.4099383,0.2572868,0.016183404193179225,0.03739133653456636
96,Hnf4a,2.3936841,2.5268908,0.017071573399022124,0.039249833311142804
97,Wdfy4,2.3760605,0.37453112,0.017745555366687944,0.040529392171039104
98,Paip2,2.3726482,0.39279136,0.01792046583125398,0.04087477037915233
99,Zyx,2.3687763,0.30583227,0.018095714375840653,0.04122000680595782
100,M-rdgB beta,2.3687632,0.8869865,0.0181514620890686,0.04131972009853281
101,AK153575,2.3568525,0.7776049,0.01873037551303186,0.042441579708124066
102,Nedd4,2.3483713,0.26244897,0.01909768141123867,0.04324547148962247
103,Capn5,2.2988834,1.0776054,0.021852166846831694,0.04868420128367733
104,Cd302,2.2933803,1.6437042,0.02221347412780347,0.04942533798520295
105,Neurl3,2.2734277,1.1358172,0.023352109800057193,0.05155990461932014
106,Atp10d,2.2662394,1.8697101,0.023856714802003815,0.0524391864851689
107,Cox6a2,2.2634454,1.4531205,0.024001378518576474,0.052656552617677946
108,Hbb-b1,2.2483509,1.6041762,0.024969889722191215,0.05457320419967187
109,Gimap5,2.2474766,22.669474,0.025160801822580185,0.054851501635959705
110,Tal1,2.2449298,0.72021544,0.025106831159113753,0.054803083067742925
111,Sdc3,2.240425,1.9999282,0.02550409386802353,0.055459752954347324
112,AK042223,2.2367394,1.8168143,0.025728089770575398,0.055771129270261115
113,Zbtb10,2.2184591,2.1756594,0.026986029535336287,0.05802416693236481
114,1700001L05Rik,2.2131276,1.9418858,0.027332946559194223,0.058587576755142395
115,Pdgfrb,2.2107878,1.1822351,0.027433229391223918,0.05876603018566961
116,Prg3,2.2071838,1.7734103,0.027792473549075745,0.05938812768907765
117,Etv6,2.2032063,0.23839115,0.027875691795520595,0.05949227729520196
118,Nrxn1,2.2020059,2.4281068,0.028150326381490672,0.05993015196947829
119,Ctla2a,2.1999767,3.5250108,0.02833755811967329,0.06018025419753386
120,AK079675,2.197791,3.6202452,0.028500647305392982,0.06041506993299213
121,Sbk1,2.196228,1.3156949,0.028485468875022783,0.06041506993299213
122,Uchl1,2.194472,2.1113515,0.028665574651451132,0.060690121547336114
123,Cdkn1a,2.194006,0.541023,0.028551773367735227,0.06048629213754098
124,Hip1r,2.1890998,0.6603859,0.028944059411266092,0.061167145761346776
125,Fads3,2.1859667,1.7746625,0.02925770544473684,0.06175433730262191
126,Epb4.1l4b,2.1719794,1.2449999,0.030276626894210915,0.06356717651967975
127,Calcoco1,2.1566522,1.2798928,0.03145118766216512,0.06566125143504647
128,Chd3,2.149539,0.57145125,0.031943674144060685,0.06656861079175931
129,AK153427,2.1192846,0.57134205,0.03442219796111683,0.07104725189223335
130,Dennd3,2.1137917,1.3041884,0.03497054654019458,0.07192095119798063
131,Elk3,2.113519,0.4404341,0.0348937231356034,0.07180574749014151
132,Tgfbr2,2.110229,1.2432309,0.03527963283298015,0.0724040803073131
133,Ndrg1,2.1018639,0.7237865,0.035945918952653894,0.07353252300273182
134,Mtx2,2.0889351,0.44140413,0.03706140251937954,0.07545657822677215
135,Selp,2.0685253,1.4093205,0.039060876970643685,0.07901470482162448
136,Hoxa5,2.0670707,1.7363918,0.03922378031513413,0.07929775387670057
137,Lysmd2,2.0530307,1.1984453,0.040507501687399854,0.08151101359954338
138,Itih5,2.0437655,0.7689526,0.04137762413335539,0.08282725109292892
139,Pcp4l1,2.0406194,0.6183783,0.04167620211592349,0.08332825811242872
140,Dnajb2,2.0318546,1.6783494,0.04266650636151657,0.08501276758290628
141,H2afy,2.0275004,0.055152066,0.04295260398243925,0.08538562001347802
142,Vangl1,2.0076385,22.346584,0.045362317880796386,0.08943169442263668
143,Flnb,2.0040286,0.500823,0.04546105031177956,0.08944474608093003
144,Slc35b4,2.002612,0.5669759,0.04560056566549583,0.0896681208613254
145,F2rl3,1.9938719,0.9009124,0.04660786321824098,0.09133659055431552
146,Map3k5,1.9918838,0.6086523,0.04678692658535515,0.09158348476804347
147,Nfatc2,1.9814714,2.2444603,0.04810993408695468,0.09401324039302413
148,Dia2,1.9737531,0.58054316,0.04880541175563317,0.09504936567081831
149,Cmah,1.9653537,2.6197443,0.049976388596978755,0.09705600284084055
150,Exoc3l2,1.9554886,2.1623988,0.05109247477099799,0.09903017612444763
151,Grb10,1.9252894,1.0792345,0.054670947999285874,0.10493294857927449
152,Galnt12,1.9110738,1.6869429,0.05655560685445177,0.1079512490039764
153,Cul9,1.9102876,1.0473928,0.056556319385450395,0.1079512490039764
154,Epsti1,1.9102141,0.537708,0.056510079736039005,0.1079512490039764
155,Adcy6,1.8855064,1.1646096,0.05985356854639568,0.11299489335536733
156,Bahcc1,1.8736441,0.8902812,0.06143347659490458,0.11546201184904115
157,ISG12a,1.864143,0.24063356,0.06267384214217879,0.11722895893369051
158,Btbd3,1.856468,1.7588432,0.06396639722475682,0.11925879893173193
159,Nme4,1.8468014,0.23937371,0.06515522673024202,0.12101759281273691
160,Gbp2,1.8132633,1.525385,0.07034125290899003,0.1293274713846162
161,Abcg1,1.781714,0.7448409,0.07526051525999286,0.13662495431995547
162,Homer2,1.7801534,2.1236625,0.0756849249197052,0.1371789264169657
163,Dnmt3b,1.7737527,0.2906425,0.07650203675800152,0.13858715425294657
164,Rab17,1.773334,1.6180354,0.07674191070110684,0.138948758567429
165,Ppif,1.7572157,0.2145644,0.07927511654616502,0.1429354374089945
166,Ppap2a,1.7525035,2.5387666,0.08036473165065114,0.14446480737083525
167,Ctsw,1.7482452,2.4792457,0.08109071114096662,0.14519150705180953
168,Naprt1,1.7479203,2.088422,0.08111539426134128,0.14519150705180953
169,slc43a2,1.7381433,0.47723594,0.08261922486456494,0.14765351890606607
