,names,scores,logfoldchanges,pvals,pvals_adj
0,Irf8,27.059519,2.3488533,5.341202524838294e-117,1.843248991321695e-113
1,Lgals1,21.217478,0.95749724,1.3926057735355428e-84,2.402941262235579e-81
2,F13a1,21.167408,3.3885994,1.2124780716105447e-72,1.39475394170933e-69
3,Vim,18.20685,1.0498446,1.2631019973302115e-64,1.0897412481966399e-61
4,Tyrobp,17.508102,1.1948524,7.793151296256372e-60,5.378833024676147e-57
5,Selplg,17.030455,1.176115,2.6634162615742607e-57,1.5319082531154623e-54
6,Fcer1g,17.026115,1.7934611,5.124691484799824e-55,2.210663789255524e-52
7,Ly86,17.018414,2.4302845,9.636903343191169e-54,3.3256953437352725e-51
8,Emb,16.69683,1.2570243,2.71394778938146e-55,1.3379762601650598e-52
9,Lamp1,16.549168,1.0983266,1.673970471463606e-54,6.4187467744676715e-52
10,Csf1r,15.738106,2.0554478,1.0278335528816768e-47,3.224594173631515e-45
11,Ly6c2,14.499397,1.2057651,2.2014510710897537e-43,5.844005881792877e-41
12,Slpi,14.1966915,1.6198716,1.444735369337198e-40,3.116113599739169e-38
13,Cst3,14.088781,0.55155575,1.2178854724011658e-41,2.801948510170949e-39
14,Tspo,13.835248,0.60733706,2.4542125581093753e-40,4.982051492962032e-38
15,Ctsh,12.909725,2.6113603,1.4395310040743777e-33,2.069925622941949e-31
16,Ftl1,12.872902,0.40749857,1.6135396523809143e-35,2.7841626701832674e-33
17,Ms4a6c,12.818396,2.369638,2.555073142465405e-33,3.3913682364031203e-31
18,Tifab,12.72221,1.5646638,1.091199702443398e-33,1.637273988318333e-31
19,Psma7,12.717765,0.6781004,1.0609650654240155e-34,1.7435192575134655e-32
20,Erp29,12.610199,0.7043387,4.572404334219201e-34,7.172439707904756e-32
21,Ly6e,12.464068,0.39849854,2.150243351151114e-33,2.9681959219289976e-31
22,Unc93b1,12.462193,1.4283714,1.4589989184687898e-32,1.7982161670127833e-30
23,Rassf4,11.958703,2.2375865,1.215568767179962e-29,1.31091494235564e-27
24,Anxa2,11.93599,1.507727,5.033831722170194e-30,5.790584424403113e-28
25,Pld4,11.899972,2.817283,4.189969414471748e-29,4.1313098426691436e-27
26,Coro1a,11.813701,0.47385725,2.4746721027362865e-30,2.944859802256181e-28
27,Psap,11.748276,1.4645642,3.355014702922314e-29,3.4053399234661486e-27
28,Hint1,11.658136,0.4402264,9.797399060645802e-30,1.0906717470415697e-27
29,Hp,11.50328,0.7953104,5.408804265393303e-29,5.1849398666311914e-27
30,Prtn3,11.491173,0.32197013,1.0712677013311928e-28,9.728802203405121e-27
31,Actb,11.445932,0.17096375,1.0099747095834104e-28,9.420061412898243e-27
32,Emp3,11.115457,0.74891645,4.3047025156135284e-27,3.7138820953455713e-25
33,Calm1,11.086778,0.45290667,3.684420451700095e-27,3.2602397381582124e-25
34,Cd52,11.016265,0.9692279,1.8224657483093913e-26,1.5339827554672462e-24
35,Ucp2,10.914606,0.6934969,2.933722071783825e-26,2.410541635649043e-24
36,Tuba1b,10.749376,0.45839608,1.0166585586453449e-25,8.159276013686245e-24
37,Cfp,10.716499,2.0714524,1.3500637188013383e-24,1.0588795212689589e-22
38,Txndc5,10.63305,1.6253033,1.4917096436319283e-24,1.14397555114973e-22
39,Sod1,10.469806,0.53638,1.7877244940966255e-24,1.3411820063320554e-22
40,1500032L24Rik,10.448782,0.7648385,2.854029723474658e-24,2.095586505470435e-22
41,Arhgdia,10.399785,0.52344507,3.883546574273071e-24,2.7921081724617435e-22
42,Gpx1,10.254908,0.18664141,1.1387490644004304e-23,8.02004698213446e-22
43,Csda,10.150223,0.42989025,3.277441716547256e-23,2.2620902727609163e-21
44,Laptm5,10.128614,0.3925865,4.106712581378521e-23,2.7788755133994658e-21
45,Dek,10.103819,0.7438476,7.150235868013381e-23,4.745281534714265e-21
46,Esyt1,10.0487175,1.076244,1.919813969013088e-22,1.204596001284394e-20
47,Ass1,10.039702,1.1628002,2.3524220174317953e-22,1.449680068242344e-20
48,Mapkapk2,10.006681,0.6184587,1.4007018738364804e-22,9.12041918228244e-21
