,names,scores,logfoldchanges,pvals,pvals_adj
0,Gstm1,28.4163,1.7083912,2.6292355819069257e-128,9.0734919931608e-125
1,Elane,26.680773,1.1227108,2.2268475854846076e-119,3.8424255087536903e-116
2,Srgn,22.343212,0.67773306,2.0111087257448447e-89,1.7350840531363646e-86
3,Alas1,21.124731,1.1713439,2.069149332202739e-81,1.4281268690863305e-78
4,Pglyrp1,20.775488,3.8753366,9.236505988839239e-64,2.897743833407656e-61
5,Sun2,20.644806,1.9755968,2.2406145055818598e-70,9.665450823453747e-68
6,Ctsg,20.215773,0.62331337,1.2106621136023375e-77,6.963324923402778e-75
7,Mpo,20.17796,0.37803954,6.17628427237707e-77,3.0449081462818955e-74
8,Nkg7,19.995722,1.8717657,2.217822576971634e-67,8.504117459032344e-65
9,1190002H23Rik,19.100683,1.8102064,3.317123251625676e-63,9.539493617800173e-61
10,Cd63,18.514359,2.7677689,3.955141407415922e-56,9.749423569280248e-54
11,Prtn3,18.284822,0.45229712,1.4587667803949167e-65,5.034204159142858e-63
12,Cebpe,18.169125,3.1360085,5.228972774786249e-54,1.127824065361709e-51
13,Ifngr1,16.990746,1.5665145,1.3160370360407001e-52,2.6715551831626214e-50
14,P4hb,16.543728,0.5317229,2.866569712612406e-55,6.595021385483609e-53
15,Hdc,15.099373,1.9191735,1.9409548683603692e-42,3.5253869740587543e-40
16,Calr,14.577304,0.32590684,2.74602026025032e-44,5.264731065624364e-42
17,Impdh1,13.415858,1.4252077,1.8121579083477727e-35,2.719024757264419e-33
18,Fcgr3,13.146154,1.4284836,1.6333106839528536e-34,2.3485646543005408e-32
19,B4galt6,12.855998,2.176519,3.214162502138388e-32,3.961455283885563e-30
20,Prssl1,12.752573,2.448953,1.7006060570917127e-31,1.8931585493624194e-29
21,Tmbim6,12.684932,0.68859047,9.63889366507047e-34,1.279377770698392e-31
22,C3,12.5016775,1.6461194,3.264362468825387e-31,3.3133279058577677e-29
23,Prdx5,12.325005,1.0706632,2.718505368938389e-31,2.8428975843049636e-29
24,Ltb4r1,12.275491,2.9506118,2.2078623370135477e-29,2.0592791689280414e-27
25,Gpi1,12.218222,0.6064633,1.3230640276368664e-31,1.5744461928878712e-29
26,Gfi1,11.242478,2.1666455,1.0915597408391263e-25,8.760401547990291e-24
27,Fam101b,11.051785,2.6034067,7.95880734163383e-25,5.843796624676245e-23
28,Mt1,10.887333,1.0267069,3.1974086908185463e-25,2.5077857709124555e-23
29,Chd7,10.764898,2.5194745,8.145172674787453e-24,5.511566843272844e-22
30,Hp,10.686547,0.76163596,6.908479704778459e-25,5.182861621997926e-23
