,names,scores,logfoldchanges,pvals,pvals_adj
0,Ccnd2,9.656758,1.5049815,0.00033608059460592265,0.0011337381544330783
1,Ass1,9.605143,2.3805838,0.0004997850026684876,0.0016761497028269688
2,Car1,9.418716,0.5718906,6.216663230634358e-05,0.00022582847167283338
3,Nop58,7.25953,0.9942247,0.001127871545976724,0.003587359175267903
4,Acadl,6.7937717,1.312195,0.0015994875181104108,0.00505016598810524
5,Mknk2,6.2435403,0.79557174,0.001803279169472581,0.005647111083348346
6,Brd3,6.2325883,0.8641758,0.0021463813653950373,0.006715468805057365
7,Gnas,5.80648,0.39202958,0.001640076300938425,0.005173586210729895
8,D17Wsu104e,5.513627,1.1824061,0.004138673874718866,0.012528564510223513
9,Car2,5.457993,0.32829365,0.0010616310837254085,0.0033797867803841185
10,Cox6b2,5.176583,0.97870356,0.005150234234950148,0.015178017373879558
11,Eif3c,5.0495663,0.41518584,0.0028757741958623396,0.008720823154587816
12,Sh3glb1,4.688405,0.89979804,0.007451842994167085,0.021886221423719668
13,Coro1b,4.514704,0.9161607,0.008802339535213593,0.025022136520611294
14,Psma7,4.4894543,0.58728725,0.008047114141981988,0.023280724863426625
15,S100a10,4.4547896,1.7480967,0.010700431041397451,0.03031788795062611
16,Tkt,4.294509,0.49954763,0.009574311340982043,0.02714950570068121
17,Cfl1,4.233568,0.35023993,0.008162828190034806,0.023474933403175097
18,Clk2,4.0296874,0.96185213,0.014115177947341394,0.039361189698854236
19,Cox8a,3.9400053,0.491574,0.013113027987412701,0.03697145390895525
20,Blvrb,3.9236295,0.46692118,0.012151378872200953,0.0343724659737422
21,Mdh1,3.8479235,1.1096882,0.01687666522528832,0.0461135167794695
22,Hspa8,3.700547,0.4335149,0.01693931234032112,0.046248075068392555
23,D17Wsu92e,3.3455765,0.87583077,0.026461837290425887,0.06997685861245957
24,Sf3a2,3.2973855,0.74767536,0.02750281369077484,0.07212174015719147
25,Cad,3.2397883,0.6330958,0.028146838205313544,0.07375454718795522
26,Myb,3.2049522,0.7452066,0.030948335494355758,0.08078873357868512
27,Cacybp,3.1726723,0.8973857,0.03192270783252008,0.08320639330062447
28,Nme2,3.119776,0.87411743,0.03383823423233567,0.08786737873272416
29,Canx,3.0791698,0.7017813,0.03353331444811184,0.08727260042265006
30,Ssr4,2.9622827,0.48329625,0.03455644908053713,0.08959752500145277
31,Lgals3bp,2.8985238,0.6539378,0.040644778175844165,0.1049888693748789
32,Eef1b2,2.8932304,0.23429742,0.0344755675879288,0.08945502537288894
33,Epb4.1,2.8636823,0.7285697,0.04275434969737589,0.11010840358630164
34,Gart,2.858835,0.5497082,0.041989415886622465,0.1083810577597114
35,Rpl23,2.8174365,0.4527104,0.04274978982231818,0.11010840358630164
36,Nap1l4,2.7985406,0.5265743,0.04367391565908657,0.11230900368070623
37,Eif3h,2.7415087,0.42277414,0.047600086594410645,0.11809338521733367
38,Stk38,2.7386973,1.8919901,0.051352730304262746,0.12577592070973082
39,Slc25a5,2.7027886,0.24302381,0.042328981793786996,0.10917587157724883
40,Aes,2.6940422,0.4633945,0.0490660855246108,0.12034616996832401
41,hnRNP A2/B1,2.6859233,0.25351414,0.04594681650132864,0.1140737149252411
42,Calr,2.6008904,0.39798918,0.05602033866484913,0.1368196664772784
43,Dock8,2.5974212,1.9383559,0.059717869726329906,0.14564407662584064
44,Metap2,2.5722597,0.45523554,0.05505331751693061,0.1346484753727339
45,Psmb6,2.5322711,0.6439616,0.06216499626199613,0.1511849204370322
46,AK087942,2.5041091,0.47560868,0.06166814362769919,0.15018825946308392
47,Mcph1,2.4920115,1.6146663,0.06649548800091991,0.16148904228794836
48,Ssrp1,2.4506893,0.3122172,0.05978237115462931,0.14569842009507467
49,Nucb1,2.4364984,0.4511759,0.06569275830968653,0.15965190769487903
50,Sdhb,2.419649,0.5924885,0.07028399542586812,0.1703301040833363
51,Ak2,2.3865445,0.6078312,0.0729801014687562,0.17636857854949417
52,Prdx6,2.3629231,0.46899283,0.07438126648994796,0.1792526191737503
53,Rnf187,2.3443787,0.44255945,0.07399312047529852,0.1784418300211427
54,Chchd2,2.339418,0.3197419,0.07386145306707277,0.1783515530656744
55,Pus1,2.289001,1.5719395,0.08335439903399977,0.19189861979074932
56,Rab3d,2.2081301,3.5608687,0.09169121298103321,0.20913838466460383
57,Dazap1,2.201467,0.539803,0.0885546131627466,0.20238541061234339
58,Ifitm3,2.1951244,1.473895,0.0923840115398827,0.21057940807406553
59,Rnf130,2.182597,1.3193951,0.0934778272403674,0.2126512734387
60,Mcm6,2.1712744,0.2528089,0.08448836639884924,0.19425006824945285
61,AK153575,2.1429467,3.2099419,0.09859185394092655,0.22354828380429537
62,Rnaseh2c,2.1273868,0.68830687,0.09854144052784733,0.22354828380429537
63,Ndufa13,2.1255453,0.46163544,0.0964741865743442,0.21932306842428317
64,Atp5o,2.1235049,0.45800766,0.09662456108263162,0.2195203161923382
65,Myc,2.0563161,0.6000763,0.10693460231698425,0.24151263913345067
66,Cct5,2.03895,0.38180944,0.10714758471261544,0.24183539231081486
67,Uqcrc1,2.0001795,0.6524679,0.11410982656116145,0.2562088558637398
68,Ctnna1,1.9936949,1.2803328,0.11611462586599129,0.2602023206906078
69,Tnrc6a,1.9886764,1.1575847,0.1164484064341843,0.26078095431821546
70,Atpif1,1.9728304,0.24941714,0.11514629007418381,0.2583679109531914
71,Kit,1.9594673,1.4891677,0.12110552857083079,0.2705300984673442
72,H2-K1,1.9452853,0.45735592,0.12111532950798226,0.2705300984673442
73,Cyba,1.9066621,1.315195,0.1285716387965956,0.28588964271072903
74,Mt1,1.8707567,0.3893419,0.1307986226425675,0.29046721154408006
75,Ncl,1.8651555,0.21103495,0.13014090806811274,0.2891927068532241
76,Pdhb,1.8591855,1.189201,0.13573779105459144,0.3008549241678838
77,Ppp1r15a,1.8400942,2.1891391,0.13925134054147387,0.3084444006473853
78,Iars,1.8012552,1.0746238,0.14520841159380882,0.3208157672280629
79,Apoe,1.7795432,1.2552061,0.14923700607198612,0.32845466068521945
80,Srsf2,1.7766614,1.1008797,0.1494607235003863,0.32873738483099624
81,Dapp1,1.776541,0.9947537,0.1491399550814345,0.32845053285643294
82,Syk,1.7699493,2.0251315,0.15108033832144693,0.33124412169460826
83,AK158095,1.755089,0.15153046,0.1455799724830632,0.3214308925393801
84,Hyal1,1.7448443,1.0919746,0.15515138513016907,0.3314153320657712
85,M-rdgB beta,1.7434745,2.1279056,0.15591971858846923,0.3314153320657712
86,Sfpq,1.7316985,0.54419184,0.15626155650222212,0.3314153320657712
87,Esco2,1.7309693,1.9410996,0.15809674198966384,0.3322727506737697
88,Crip1,1.7289045,1.1694926,0.15834104713114008,0.33258366016406843
89,Sec31a,1.7285864,1.0539597,0.15798070642333598,0.33223121137533973
90,Cbfa2t3,1.7262642,0.51198065,0.15729201253904712,0.3314153320657712
91,Mt2,1.6931033,0.59284157,0.16372101867114863,0.3422175865742786
92,Hsp90ab1,1.6838647,0.1460697,0.1615806753261068,0.33897562951391763
93,Fam117a,1.6759015,1.0357522,0.1682480185794201,0.3510422685112326
94,Psme1,1.6726438,0.97753733,0.168922251153095,0.35193283494380695
95,Plcl2,1.6698152,0.91880745,0.16898079035117014,0.35193283494380695
96,AK085695,1.6593399,0.992234,0.17165403390713707,0.3566394166246418
97,Psmb8,1.6548762,0.9888233,0.17257267288048042,0.35790161905681367
98,Plxnc1,1.6456656,1.8741895,0.174919301513303,0.3616815515412874
99,Rpl4,1.6383755,0.083182015,0.16600033704126735,0.34656210715633007
100,Actr2,1.6375895,1.0317414,0.1760432096787712,0.36378749497092183
101,Eef1g,1.6262425,0.25307176,0.17490924695666055,0.3616815515412874
102,Aldoa,1.6203527,0.43526304,0.178243464717834,0.36723474432313147
103,Gnb2l1,1.6066302,0.053949144,0.16286855559846325,0.3410554522878014
104,Txnip,1.6033058,0.87278646,0.18279666193215977,0.3759423601477255
105,Ubr7,1.5808437,1.0222237,0.18835158642212443,0.3863558085684003
106,Net1,1.5658356,0.84746563,0.19106205515793165,0.3908447850326154
107,Akap13,1.5487101,1.0508935,0.1957485474370564,0.39838761718481036
108,Dennd3,1.547296,4.403256,0.1966529668643968,0.3996757294752846
109,Idh2,1.5409175,1.1077169,0.19767390530014312,0.4012780277592905
110,Hnrnpm,1.5397105,0.37524092,0.1956856553099782,0.39838761718481036
111,Srgn,1.5352585,0.41681504,0.19819001858448926,0.4020892146590667
112,Vamp5,1.5287846,0.3754525,0.19900817983605276,0.4035118852022433
113,Eif3k,1.5252001,0.19908035,0.1935950879935661,0.3955575184522182
114,Ybx1,1.5232679,0.19056799,0.1949316689497754,0.39758226332486696
115,Lrrc58,1.5194268,0.27993947,0.19986228449741597,0.4050057215505476
116,Gbp2,1.517794,4.544805,0.2036351339068375,0.4116663476508336
117,Prpf8,1.5157278,0.45133486,0.20218859781842222,0.40923920883951614
118,Cdk1,1.512234,0.9890127,0.2043263968972258,0.41235695654522
119,Psmb1,1.5041641,0.34033084,0.20374561628154847,0.4116663476508336
120,Larp7,1.5037715,0.88126224,0.20609521237020131,0.4153811758720417
121,Actb,1.4994786,0.0777283,0.19727976761756977,0.40071364217082595
122,Gfpt1,1.4978573,1.5127763,0.20803347280042583,0.4181266829553113
123,Vps53,1.4947245,0.8955343,0.20841835653596277,0.41865643096950383
124,Fance,1.4900453,1.5000354,0.20998541637461815,0.4208244320027916
125,Ydjc,1.4825916,1.7133074,0.2120146037266742,0.4238162017001517
126,Rps3a,1.4793586,0.2687718,0.2105429657544556,0.42145230557924956
127,Srm,1.4779958,0.24315402,0.20751886165270983,0.41757877059096304
128,Amfr,1.4668584,0.8545746,0.21527349228385845,0.42843646013356135
129,Parm1,1.4634881,3.4115093,0.21707222933066456,0.4317672988012239
130,Cd63,1.451745,3.3135438,0.2201062221041596,0.4362932639181245
131,Smyd2,1.450472,0.84252644,0.21956267997599702,0.4357163936728958
132,2900026A02Rik,1.4343657,3.1796389,0.22467204074955782,0.44305326435812803
133,Snx3,1.4334458,0.4046291,0.22225641975003924,0.4397975370168494
134,Tmem160,1.4273763,0.82582885,0.2257100724817196,0.4445921576109671
135,Slc25a39,1.4239049,0.865747,0.22686189391234474,0.4463514229712096
136,Dnmt3a,1.4178903,1.4840168,0.22881247813717207,0.4499326849295617
137,Mrpl12,1.4165679,0.29935482,0.22465915897340785,0.44305326435812803
138,Camkk2,1.4156163,1.3848695,0.2293315625280194,0.4504400809813289
139,Grb10,1.3990377,1.4535499,0.2339634183198037,0.4579737700633253
140,Trmt61a,1.3980588,1.451863,0.23424834046784923,0.45827155496289546
141,Csgalnact2,1.3920133,2.8966057,0.2361963138935689,0.46077641562843774
142,Cnpy3,1.391214,1.3487488,0.23606183447398235,0.4607745422905617
143,Pdxk,1.3851296,1.4311054,0.23787612126610905,0.46326777341385006
144,Impdh1,1.3779334,1.3296678,0.23977314842938383,0.46564835972414376
145,Rab2a,1.3775707,0.7906631,0.23945291713120945,0.4655504321238331
146,Lgals9,1.3737485,0.35508093,0.2387789307970674,0.46476372824629425
147,Ranbp1,1.3720444,0.36510086,0.23970256958364017,0.46564835972414376
148,Wdfy4,1.3696593,2.7664096,0.24251538879112322,0.4695333632257309
149,Med25,1.369562,0.7853222,0.24166875644815955,0.46873139217161897
150,Snrnp40,1.3670539,0.7924042,0.2425899700467917,0.4695333632257309
151,Nefh,1.3661295,1.5824991,0.2433292225830778,0.47043649699395035
152,Cyfip1,1.3650103,2.9559016,0.24388122920831945,0.47087764481849426
153,Elovl5,1.3623886,2.7264767,0.24460375029041997,0.47157963254315044
154,C230096C10Rik,1.3538928,0.80275124,0.24661005666559715,0.4749170231880445
155,Itgb7,1.3400378,2.609769,0.25114444059421465,0.48247924368368056
