,names,scores,logfoldchanges,pvals,pvals_adj
0,Car1,4.989752,0.31711328,1.6388633609222365e-06,1.541067427395814e-05
1,Ass1,4.7949204,1.2001312,5.468690256207048e-06,4.203218279325284e-05
2,Psmb8,3.7963648,0.64691997,0.00024174784175599615,0.0010376514949004263
3,Crip1,3.7618554,0.63905483,0.00027151188913211526,0.0011510903309520021
4,Mt1,3.2625458,0.2800224,0.0013846160919694648,0.0044615407407904975
5,Arpc1b,2.8039236,0.8022482,0.006005296619999239,0.01523079045261472
6,1110002B05Rik,2.7100544,0.58244723,0.007817287369890277,0.01916012692719556
7,Ptp4a3,2.349187,0.591884,0.020632293119631027,0.04328391705522594
8,Fkbp11,2.1858928,1.8442434,0.031216499470275525,0.061070373963673937
9,Ptprcap,2.022451,0.43452883,0.045563047040621155,0.08390505620980983
10,Nme2,2.0131054,0.25878048,0.04635807278508179,0.08523266338908751
11,Cmtm7,1.9271834,0.5224766,0.056598421998754915,0.10031903149342744
12,AK142847,1.8930695,1.804836,0.061302659861434024,0.1073885681125933
13,Foxred2,1.8716674,1.163527,0.06413615901845619,0.11172836182367105
14,Tagln2,1.8410057,0.20142359,0.06816219159581129,0.11755508405654409
15,Rgs19,1.7660524,0.8166253,0.08032285799929673,0.1350460163818241
16,Atn1,1.7276453,0.35387206,0.08687108940746098,0.14114507040732008
17,Galnt11,1.7244749,2.9003272,0.08789986851354396,0.14234746421409677
18,Itgb2,1.7178954,1.0294713,0.08883788838473479,0.14366427029790055
19,Tmem205,1.7047424,0.7460598,0.09121368269255692,0.1469553776713417
20,Arhgdib,1.69103,0.31784755,0.09366588495935811,0.15041459701942525
21,Anapc13,1.6400577,0.31995624,0.10376927990868347,0.1647229921641521
22,Cables1,1.6296035,1.6037185,0.10641152533546656,0.16814385253328532
23,Alas1,1.6072937,0.43098223,0.11087625343002037,0.17440015979352794
24,Sigmar1,1.586324,0.4290521,0.11555806608520018,0.18044836473304335
25,Tmsb10,1.5696485,0.46803448,0.11943988918549353,0.1858372667173752
26,Cyba,1.5658283,0.3537919,0.12029458130947922,0.18708274001758124
27,Ramp1,1.5283749,0.37951744,0.12930825508744562,0.1996612028218232
28,Atpif1,1.5206043,0.08525474,0.13055627163715977,0.20131800420904306
29,Stx3,1.513015,1.65809,0.1335042712612758,0.20485693202430535
30,Ccbl2,1.505059,1.225917,0.1354558630935667,0.2073904984631316
31,Emp3,1.479665,0.23203857,0.14182926829731046,0.21580811503263597
32,P2rx7,1.4647518,2.7884402,0.14631336977746331,0.22145940311492363
33,Nfatc1,1.4420027,1.1342537,0.1523933979851123,0.22975518411822743
34,Hif3a,1.4118036,0.575274,0.1609468795897088,0.23605086335065237
35,Rnf13,1.4055142,1.7561918,0.16304193778337858,0.2385153570540227
36,Ung,1.3958962,0.43914074,0.16563653411893398,0.24159411633323802
37,Cul7,1.3720577,0.7302785,0.1730147573093711,0.2505555717476457
38,H2afy,1.3594931,0.16848113,0.17674129918789458,0.2551686533991476
39,S100a10,1.3545815,0.29087675,0.1784054040440968,0.2573900708010778
40,Dab2ip,1.3493812,1.1613699,0.18022450326922937,0.2593639536205632
41,Pex11a,1.3326164,1.0245392,0.18566085319765607,0.2661290667820242
42,Slc17a9,1.3027432,1.5329859,0.19569697393956556,0.27918572015933885
43,Haao,1.2809494,1.4914075,0.20320201293630197,0.28865869446394143
44,Gm5057,1.2741773,3.3370266,0.20574686788439897,0.2918341311422363
45,Apob48r,1.2741773,3.3370266,0.20574686788439897,0.2918341311422363
46,Hck,1.2741773,3.3370266,0.20574686788439897,0.2918341311422363
47,Sfxn3,1.2622185,0.7419038,0.20972730583345717,0.2967482297791147
48,Fkbp5,1.2459518,0.35324818,0.215485424893484,0.30389873367691594
49,Mt2,1.2314065,0.15959014,0.22054736965172397,0.31027679277134096
50,E130012A19Rik,1.21543,0.8937756,0.22698161978138023,0.31842015035184684
51,Chchd2,1.2063946,0.08182639,0.22957030519650595,0.3213984272751083
52,Itm2a,1.2008533,2.7516582,0.23280079781795876,0.32526135759909947
53,Aif1,1.2008533,2.7516582,0.23280079781795876,0.32526135759909947
54,Sorl1,1.2008533,2.7516582,0.23280079781795876,0.32526135759909947
55,Acot7,1.1952692,0.35097256,0.2345537066374662,0.3266524784527425
56,Myo10,1.1853161,1.7285914,0.238784023629172,0.3317406060967281
57,Egr1,1.1840812,1.3713431,0.2392296459994613,0.33195878904066783
58,Cmtm4,1.169416,2.5676591,0.2451408212895157,0.33961500372144465
59,Tuba1b,1.1664712,0.100678384,0.2454747308954671,0.33994113014456534
60,Sgcb,1.1636585,1.6729907,0.24739909638830923,0.34219410085613433
61,Ccnd2,1.1623855,0.20944092,0.24756620678029126,0.34228805272387225
62,Plekhf1,1.1622297,2.6055353,0.24806980857926014,0.3427097315480491
63,Nefh,1.1599373,0.34897548,0.24857938523049655,0.34327629388973335
64,Nrgn,1.1510088,0.35895306,0.25231116986168683,0.34801192933360564
65,Galk1,1.1433959,0.4393261,0.2554473661016353,0.3513546673641863
66,Hnf4a,1.1279014,2.3362145,0.26218131898632263,0.3596135659069155
67,Tcn2,1.121833,0.7415531,0.2645290495597485,0.36254557189463543
68,Gcat,1.1130999,0.88691866,0.2682469282507995,0.366636037402975
69,Adamts10,1.0987312,1.1687884,0.27451104376170876,0.37311445924444936
70,H2-Oa,1.0926594,1.462994,0.27719890275894465,0.3763231366723517
71,Def6,1.085724,0.2974162,0.2799904370341883,0.37921781719190883
72,Acyp1,1.0840819,0.2118957,0.2807259555236474,0.3799157931420028
73,5730528L13Rik,1.0677233,1.4103245,0.2882294464239816,0.38901525135004356
74,Ccdc88b,1.062953,0.63606757,0.29022148418651245,0.39123216481549
75,Capg,1.0584978,0.25037026,0.29215331541930334,0.393168321527337
76,Treml1,1.0553162,2.01388,0.2939121053219445,0.3951268700685744
77,Pdia5,1.0525279,0.93517137,0.29502226186587394,0.39646488539685787
78,Mllt6,1.0356557,0.72619504,0.30275273667117963,0.405589943420901
79,Casz1,1.0339948,1.3370564,0.30364553594956706,0.4064704206989743
80,Clec2d,1.0175611,0.79523295,0.311287073680197,0.4154406357307395
81,Ltbr,1.0147808,0.56133205,0.3125109214278032,0.4154406357307395
82,Apoe,1.0024769,0.1791145,0.31824851833882467,0.41617113936615535
83,Elovl5,1.0008711,0.5898245,0.31917935951880416,0.4169525556185455
84,Tcf7,1.0,22.43703,0.31993345907792187,0.4169525556185455
85,Gimap7,1.0,22.43703,0.31993345907792187,0.4169525556185455
