,names,scores,logfoldchanges,pvals,pvals_adj
0,Tyrobp,4.9513288,0.8995854,0.0006167152776246229,0.0027857125956578187
1,Lgals1,4.6308384,0.51968473,0.0008132328499151809,0.0036637944713541633
2,Ucp2,4.1958933,0.6781286,0.0018600654184424898,0.007828153364689063
3,Selplg,3.9999237,0.7567474,0.0025832247146473936,0.010831966573813068
4,Nup210,3.6167183,0.5061261,0.004321970483001277,0.017609350810906026
5,Sod1,3.6031234,0.41435713,0.004507977841554964,0.018344760691654773
6,Snrnp200,3.558858,1.0766178,0.005599770593886913,0.022010032254560066
7,Ptpn18,3.5345466,0.7313463,0.00566072999645733,0.02218045734655742
8,Mrpl34,3.5043576,0.5121199,0.0049429665018338115,0.019605013104955583
9,Ndufa13,3.409567,0.6315954,0.006898849888517535,0.02696254922454588
10,Gusb,3.2221844,1.2152644,0.010003068114010211,0.03801826879014234
11,Ly6c2,3.0586388,0.5552514,0.012266304252611415,0.046466537843866076
12,Vim,2.9925907,0.54343104,0.013892713541112156,0.051886358343830596
13,Slc25a1,2.9486845,1.2661587,0.015635312607545294,0.05667800820235169
14,Akr1a4,2.8278744,0.5217235,0.018403015222335735,0.06629311642200483
15,Hspa8,2.826641,0.34131444,0.017989319897615468,0.06487057781261335
16,Psap,2.826147,1.2278957,0.019303324379074862,0.0693192220938474
17,Ppp1r14b,2.7248752,0.7440831,0.022012192802234834,0.07888273869212088
18,Uba2,2.6759005,1.1656109,0.024882936121948813,0.08713511973319663
19,F13a1,2.5972219,1.3522515,0.02835703915559706,0.09650901590331899
20,Pcbp1,2.4801872,0.32047036,0.0330403391403415,0.1117864807581554
21,Mbd2,2.476378,1.0558082,0.03438774158577623,0.1161175109711485
22,Atic,2.3238575,0.9433895,0.04426563345122279,0.14759488023204814
23,Ctsc,2.3005848,1.7535771,0.04651992598775547,0.1524598903929194
24,Aggf1,2.2905881,1.239444,0.04700052943183829,0.15388883023650277
25,Lamp1,2.2768128,0.5587138,0.04761258678226606,0.15559757290303047
26,Gng12,2.2690632,0.6979859,0.048230531672202294,0.15672652052803213
27,Eif1ax,2.2580132,0.9103202,0.04951013731047074,0.16055482641645968
28,BC005764,2.2423244,0.90208876,0.05065015108917142,0.1638178738601036
29,Usp10,2.2093234,0.91223973,0.05346973436486253,0.17245238625527157
30,Napsa,2.1665342,0.33482513,0.05574808124749229,0.17913093890604834
31,Samhd1,2.1400337,1.5594972,0.06059947701784177,0.19256795137069238
32,Snrpf,2.1282852,0.67449766,0.06099554302327919,0.19347023802696367
33,Phactr4,2.1187654,1.9169772,0.06277732699321815,0.19839245004908046
