,names,scores,logfoldchanges,pvals,pvals_adj
0,Irf8,31.885159,3.6052713,2.563013191053838e-141,8.844958522326794e-138
1,Ly86,19.302515,3.4819663,2.311281750825446e-65,3.9881166610493065e-62
2,F13a1,18.38759,2.9995577,1.2957340465573126e-61,1.1178945486673213e-58
3,Lgals1,17.922716,1.0656757,2.8219683799522003e-56,1.2173266099018804e-53
4,Emb,16.693647,1.5718439,7.432099013465113e-53,2.3316521541334643e-50
5,Selplg,16.426702,1.4116027,2.4881843116801227e-51,6.6051723535446945e-49
6,Csf1r,15.681705,2.3775997,6.29784940868526e-48,1.5524198792409167e-45
7,Vim,15.388201,1.1094167,1.407702536704397e-45,3.036238408854296e-43
8,Ms4a6c,14.374981,3.3027396,2.513340933889818e-40,4.818633090474312e-38
9,Fcer1g,14.138997,1.6925844,1.8953004815200085e-40,3.8474599774856173e-38
10,Tmsb10,12.993385,1.7072862,5.42591891086229e-35,8.916593410183697e-33
11,Tyrobp,12.686668,1.0382845,3.370928666546313e-33,5.287761285568785e-31
12,Pld4,12.226366,3.3593545,1.033968158934994e-30,1.427289646593866e-28
13,Txndc5,12.0769825,2.2688982,1.1490616865942107e-30,1.5251584155525465e-28
14,Serpinf1,11.816531,3.1586058,5.415591942814726e-29,6.444554411949524e-27
15,H2afy,11.786101,0.35490724,7.120267520962159e-29,8.19068107161347e-27
16,Ctsh,11.473542,2.4078739,5.60176720914579e-28,5.858090496594582e-26
17,Ifitm3,11.437702,1.8019509,5.305589804328669e-28,5.721747004605699e-26
18,Ly6e,11.075305,0.42345062,3.237507357603353e-26,3.192182254596906e-24
19,Tifab,11.05832,1.532542,1.8589996848275386e-26,1.8868846800999517e-24
20,Ctss,11.047603,4.1857595,1.5772661166095206e-25,1.4711203698430963e-23
21,S100a10,10.982887,1.7677374,4.122671324633188e-26,3.952038539252537e-24
22,Rassf4,10.802577,2.2059784,2.817090286209389e-25,2.5583627836075264e-23
23,Anxa2,10.636598,1.5371875,1.016614314407716e-24,8.770839997552569e-23
24,Slc25a4,10.60681,1.2193414,1.460988333855048e-24,1.2297245707643344e-22
25,Lamp1,10.273945,0.8010135,4.6319133160371686e-23,3.4010069901370785e-21
26,Cfp,10.114651,2.1852636,1.588815342690792e-22,1.1422920307554006e-20
27,Rasa4,10.038353,2.4797955,3.682384062831098e-22,2.5934504899653305e-20
28,Cd34,9.935188,1.5068603,6.065117300360959e-22,4.186143960709134e-20
29,Tuba1b,9.90162,0.53253573,1.8339108291208735e-21,1.2170819752492565e-19
30,Sell,9.895333,1.5039912,8.549475589289205e-22,5.785145148752362e-20
31,Prdx4,9.828227,3.1226687,3.5981607260897244e-21,2.2633386605842474e-19
32,Sod1,9.808709,0.62762725,3.095820160175013e-21,2.0157878061818812e-19
33,Psap,9.731715,1.3605833,3.607175494990832e-21,2.2633386605842474e-19
34,Psma7,9.677804,0.63695574,1.1812309413441175e-20,7.151628032593946e-19
35,Cst3,9.539049,0.42648068,3.2629778908895575e-20,1.9414718450792867e-18
36,Emp3,9.420652,0.77682894,6.872939831540894e-20,3.922554629517851e-18
37,Cd52,9.395589,0.9671435,6.933521657507648e-20,3.922554629517851e-18
38,Il6st,9.313787,4.301833,4.2189416140380356e-19,2.2399334630838864e-17
39,Esyt1,9.300647,1.1741699,1.4809062277947113e-19,8.242915148579916e-18
40,Lyz1,9.26747,1.5903356,1.9989314593354783e-19,1.0949702327248787e-17
41,Ucp2,9.243252,0.731345,3.2287416732018844e-19,1.7409980490968285e-17
42,Klf4,9.241388,4.435198,7.060741584569675e-19,3.636808837067157e-17
43,Fgd2,9.19476,2.75061,5.809733600303236e-19,3.037786462825222e-17
44,Tmem109,9.134964,2.4366195,8.731025863365718e-19,4.430995625658102e-17
45,Slpi,9.010604,1.0843657,1.6626810714215751e-18,8.31581503982008e-17
46,Tpm4,8.920913,5.500007,1.0637658649312113e-17,5.170501408278324e-16
47,Ifi30,8.912927,2.3610153,4.833823859601688e-18,2.383075162783632e-16
48,Psmb8,8.788015,0.52002186,1.602703513886703e-17,7.576616200579468e-16
49,Unc93b1,8.740757,1.1030731,1.508096756499587e-17,7.228391537055659e-16
50,Ass1,8.640421,1.1588256,3.314192441413818e-17,1.5249704153758782e-15
51,Dek,8.5276,0.7454611,9.206989339170817e-17,4.1264052220101935e-15
52,Pou2f2,8.36116,1.980094,3.410716532360828e-16,1.509023429894515e-14
53,Hint1,8.315574,0.40531236,7.10063451346264e-16,3.0252209513530334e-14
54,Plxnb2,8.250585,3.6665356,1.2596758267590134e-15,5.301391802616287e-14
55,FKBP12-T1,8.155628,1.038307,1.4546508838098827e-15,6.048193012081813e-14
56,Sdhb,8.105364,0.7702961,2.2377189456624832e-15,9.085138919389682e-14
57,Tspo,8.10118,0.40990135,3.057193772213853e-15,1.2267878730127914e-13
58,Gng2,8.056722,2.068883,3.5158913815011453e-15,1.378788767904597e-13
59,Allergin-1,7.75284,2.6671188,3.929070311980019e-14,1.4900243567739612e-12
60,Sh3glb1,7.7296147,2.1816337,4.0747376567906963e-14,1.5284695275635535e-12
61,Lat2,7.6370096,2.5115888,8.449779075057033e-14,3.102147615747002e-12
62,Slc25a5,7.6308794,0.42991355,9.15243750143215e-14,3.290110605983578e-12
63,Coro2a,7.6304746,1.575254,7.344371561122956e-14,2.725314651337131e-12
64,Fth1,7.610158,0.3871269,1.0785936750286657e-13,3.75982502275144e-12
65,Ctsc,7.6042347,1.9092779,9.395157205393943e-14,3.342545104723144e-12
66,Fam117a,7.5070815,1.0270103,1.711034975426217e-13,5.8463185150454206e-12
67,Zfp706,7.4992757,0.6685177,1.8990426209573346e-13,6.36271464555705e-12
68,Cnbp,7.4961247,0.65877086,2.0456838743783146e-13,6.788129856230349e-12
69,Rgs10,7.2785077,1.4043204,8.513674013768031e-13,2.7204341686586552e-11
70,Cct5,7.2706914,0.57885087,9.907853308749259e-13,3.1083637971357906e-11
71,Gng10,7.2587256,0.94357735,9.802302490305937e-13,3.1034629260592465e-11
72,Eif4e3,7.2569346,1.8072714,1.0283417989144612e-12,3.1971239171655905e-11
73,Erp29,7.2549276,0.4541849,1.1237800297654888e-12,3.462647216714912e-11
74,Coro1a,7.0709076,0.3056661,3.716053812767538e-12,1.1055260092983425e-10
75,Cct3,7.0333686,0.536579,4.955262299507787e-12,1.4615906150086645e-10
76,Ugt1a1,6.9689307,1.9193019,7.348799932257748e-12,2.131151980354747e-10
77,Anxa6,6.9298096,1.1089399,9.0141296562293e-12,2.5923134536372764e-10
78,Apba1,6.928134,3.0138226,1.1683762957878499e-11,3.225653277411096e-10
79,BC035044,6.925219,1.2224451,9.322030253061777e-12,2.65870466143109e-10
80,Hspa8,6.8985715,0.39160684,1.2956729553594292e-11,3.5487042610677703e-10
81,Itm2c,6.8936796,0.9887482,1.1505772533797537e-11,3.202130726946395e-10
82,Abcb1b,6.8637524,4.236877,1.9946829232173033e-11,5.282669988018838e-10
83,H2-DMa,6.8411384,1.0044447,1.6320272143361878e-11,4.400098372401706e-10
84,Laptm5,6.8366213,0.32734808,2.005302139757948e-11,5.282669988018838e-10
85,Arhgap17,6.8242774,1.3026053,1.8236477164608986e-11,4.878611061632993e-10
86,Tmpo,6.7624044,0.9703697,2.7243513464732596e-11,7.122527648999408e-10
87,Tubb5,6.7328715,0.39993283,3.697030356017951e-11,9.521232655685036e-10
88,Limd1,6.717075,1.3007506,3.641215497854344e-11,9.447996002327324e-10
89,1300001I01Rik,6.6960316,0.94781864,4.187716925036678e-11,1.0705045265408573e-09
90,1500032L24Rik,6.6750536,0.57106674,5.1097855285754776e-11,1.2966080778760275e-09
91,Calm1,6.6276584,0.31613243,7.402672597920998e-11,1.8512045750308232e-09
92,Tk1,6.6120048,0.83627695,7.250102295472609e-11,1.8262848920931368e-09
93,G6pdx,6.6062083,0.7773397,7.534586016681648e-11,1.870637147019307e-09
94,Irf5,6.570046,2.8034463,1.0847358855067733e-10,2.64544670899943e-09
95,C1galt1c1,6.5653358,2.5070908,1.0885350121064014e-10,2.64544670899943e-09
96,C1qbp,6.524864,0.55807805,1.3164933266655194e-10,3.1550128266129914e-09
97,Tmem173,6.481625,1.2106707,1.6355760051378332e-10,3.892670892228042e-09
98,Pecam1,6.4679685,1.5855317,1.8327769705225486e-10,4.332132414570764e-09
99,Dctpp1,6.460371,0.5925379,1.9562164890613489e-10,4.588827495855332e-09
100,Emilin2,6.4562397,1.632085,1.9679700648698612e-10,4.588827495855332e-09
101,Fr1,6.4176316,1.4583179,2.4588911950193555e-10,5.657089009341197e-09
102,Itpripl1,6.3620286,2.3034194,3.7628110864148933e-10,8.377716812398578e-09
103,Arhgdia,6.3584948,0.36763465,3.7311168108505743e-10,8.361093580678788e-09
104,Cisd1,6.3412805,1.4250238,3.953871129111769e-10,8.746672606772252e-09
105,Slc2a6,6.341113,5.120123,5.469276535029078e-10,1.1723275355518851e-08
106,Cyp4f18,6.336761,3.300485,4.849563086807783e-10,1.059230519783143e-08
107,Smap2,6.318995,1.4194243,4.512143573870714e-10,9.91809393211964e-09
108,Hn1,6.302608,0.64675605,5.056007433516321e-10,1.0973762045952718e-08
109,Atp5g3,6.2949443,0.3363973,5.599019089513125e-10,1.192729313451222e-08
110,Akr1a4,6.267918,0.49031177,6.523553383814641e-10,1.3727306541185565e-08
111,Eif3f,6.2636056,0.39955205,6.829662662040818e-10,1.4284342937395675e-08
112,Atp5o,6.2433715,0.5723061,7.516150193925531e-10,1.5625442360986147e-08
113,Pycard,6.207049,0.63754493,9.078376192136677e-10,1.867760323321197e-08
114,Rnaseh1,6.206079,0.6478017,9.092545184525097e-10,1.867760323321197e-08
115,Mir1903,6.176614,3.1594634,1.2811195825356744e-09,2.6160613487163387e-08
116,Lcp1,6.1163435,0.71624947,1.542748894427212e-09,3.095364206202505e-08
117,Csda,6.0714445,0.3001915,2.2125660991043883e-09,4.363180347433854e-08
118,Mtch2,6.0610657,1.0663078,2.1307302385489713e-09,4.250375753313584e-08
119,Il6ra,6.0469484,1.2171583,2.3199701303110627e-09,4.5232863953126985e-08
120,9030617O03Rik,6.037102,4.1050143,3.0940769121956515e-09,5.965172862562678e-08
121,Slc25a3,6.001435,0.35913095,3.3219765588174524e-09,6.333779615734269e-08
122,Gnb2l1,5.992914,0.13680561,3.6149468515636067e-09,6.815760181134663e-08
123,Actb,5.982331,0.103475854,3.6340187578347667e-09,6.815760181134663e-08
124,Ldha,5.9540043,0.31753334,4.286986289234937e-09,7.91143833376993e-08
125,Atp5a1,5.9493155,0.347224,4.3545977543583286e-09,7.951172936661689e-08
126,Sfrs3,5.949276,0.5619245,4.205505501346092e-09,7.802795422121163e-08
127,Ppa1,5.94248,0.7925411,4.3415255431639174e-09,7.951172936661689e-08
128,Sfrs7,5.914056,0.45207092,5.2440969966093776e-09,9.475067400680085e-08
129,Hspe1,5.898403,0.6611629,5.659878713562047e-09,1.0120332352592034e-07
130,Tyms,5.8834085,1.1233478,6.029823292531421e-09,1.0671241119244069e-07
131,Gria3,5.873914,1.6823767,6.5228185057514935e-09,1.1484819726198165e-07
132,Cct6a,5.8732185,0.46204653,6.739691812269235e-09,1.1806434743218848e-07
133,Ifitm1,5.8683167,1.7091526,6.828667970967014e-09,1.1901885438286447e-07
134,Atp5f1,5.8636565,0.5634078,6.959162479863117e-09,1.2068376742717396e-07
135,Mthfd2,5.836582,0.93858397,7.898286463289304e-09,1.3560689843189745e-07
136,Trim28,5.7938333,0.39976558,1.0439669331508671e-08,1.7835296466849715e-07
137,Itgb7,5.760987,2.8269613,1.3652725470786757e-08,2.309586058808093e-07
138,Dbnl,5.73131,0.73541135,1.4591123899221824e-08,2.4562911500592444e-07
139,Mapkapk2,5.72543,0.41228855,1.5820166387811344e-08,2.6502618545794637e-07
140,Cox4i1,5.692413,0.23904027,1.9707860882305922e-08,3.2541544452075475e-07
141,Dnajc10,5.677168,0.8813206,1.9527765060980538e-08,3.239919097377107e-07
142,Lgals3,5.5611324,2.8913326,4.190229140537089e-08,6.796883664550597e-07
143,Ppfia4,5.5404844,3.1174111,4.671178377860483e-08,7.49778445674257e-07
144,C184,5.5267596,0.69454664,4.549747140050419e-08,7.336998775847662e-07
145,Gars,5.5125136,0.59661216,4.945649450500094e-08,7.901590858183252e-07
146,Usp25,5.5041175,1.1522508,5.088851489475133e-08,8.092915433262067e-07
147,Ran,5.492463,0.4190563,5.6504895677716234e-08,8.944880503843979e-07
148,Lrrc58,5.488929,0.28492624,5.886850609356735e-08,9.234327933131862e-07
149,Slc29a1,5.4821715,0.9435875,5.725874397745022e-08,9.022827646857567e-07
150,Fh1,5.4703436,0.81808394,6.108662242079158e-08,9.538911039554378e-07
151,Ipo5,5.46861,0.65112203,6.234130549640466e-08,9.690984021085247e-07
152,Rara,5.4541306,4.7525215,7.995097416262892e-08,1.2208443001558958e-06
153,Cdk4,5.442602,0.29744545,7.36979912452997e-08,1.1354096776228985e-06
154,Ifnar2,5.4366264,0.75706893,7.354640297163519e-08,1.1354096776228985e-06
155,Nfya,5.429966,0.9010139,7.613662271979995e-08,1.1677666000267985e-06
156,Atp5b,5.4114256,0.19994764,8.683162014613814e-08,1.3142803558084329e-06
157,Usp10,5.3875093,0.7559549,9.595923924770623e-08,1.4398058027992792e-06
158,Cacybp,5.3583307,0.5742777,1.1292556561980083e-07,1.6797677885945375e-06
159,Il4ra,5.3493958,1.2891562,1.1741456125778051e-07,1.739045712019745e-06
160,Psmb4,5.3450103,0.4611021,1.2251269513675345e-07,1.806800474004001e-06
161,Ranbp1,5.333822,0.36842033,1.3235195233486815e-07,1.943602500032468e-06
162,Psmb1,5.3212676,0.4418858,1.407806226054492e-07,2.0413190277790136e-06
163,Ifngr2,5.3153505,0.8771131,1.4016265778590952e-07,2.0409338903762606e-06
164,Dhrs3,5.302886,1.8751962,1.538850523904954e-07,2.2127388158316655e-06
165,Srm,5.292824,0.31637833,1.6333110769863377e-07,2.3291555895371284e-06
166,Clta,5.272896,0.39218327,1.7917295272449822e-07,2.523779019805075e-06
167,Hspa4,5.2727633,0.43428174,1.7858918670002082e-07,2.523779019805075e-06
168,Scpep1,5.253153,1.9562103,1.9990623340101217e-07,2.804375656369484e-06
169,Rps3,5.2329826,0.09663865,2.2395562018560575e-07,3.103898976949901e-06
170,Ms4a6b,5.2329535,3.355083,2.408946262307698e-07,3.3003833680963974e-06
171,Phf5a,5.231206,0.5758357,2.2100977136615983e-07,3.075422262034748e-06
172,Plekho1,5.208523,1.8492099,2.5192451004923866e-07,3.422801118818593e-06
173,Ptpn6,5.1920214,0.54587317,2.706579827591102e-07,3.6485964785222236e-06
174,Parp1,5.1699142,0.47960842,3.0608798420682215e-07,4.094223385650167e-06
175,Snx1,5.15501,0.76420605,3.2479883050410667e-07,4.327724957797962e-06
176,Ywhae,5.144243,0.46922034,3.4871768639576417e-07,4.628556675968393e-06
177,Pa2g4,5.1261425,0.32650447,3.891002438857748e-07,5.144769891378578e-06
178,Ccdc50,5.1175838,1.137747,3.9288661697142733e-07,5.175006546444258e-06
179,Anp32e,5.11518,0.5382472,4.0370718597666034e-07,5.29731368367093e-06
180,Ncl,5.102153,0.16243008,4.332380213457775e-07,5.663274286607114e-06
181,Anapc11,5.0991263,0.5768891,4.3641434020395055e-07,5.683267502052201e-06
182,Tgfbi,5.0828266,2.2577813,4.856712134627388e-07,6.27734590883862e-06
183,Pdlim1,5.0815163,0.99959135,4.7198893107548066e-07,6.123435342637157e-06
184,Ppif,5.0720034,0.75315315,4.965531720491082e-07,6.394048495304002e-06
185,Strap,5.0647054,0.7613501,5.15593554506709e-07,6.614547794061906e-06
186,Srrt,5.0609827,0.6233096,5.277696401862562e-07,6.745677882528779e-06
187,Eef1b2,5.0436916,0.23786615,5.882316763929294e-07,7.490728838494463e-06
188,Banf1,5.031627,0.34153017,6.27185776066377e-07,7.899336179580537e-06
189,Wdr18,5.0308166,0.5720528,6.15957932563476e-07,7.786340019328043e-06
190,Mef2c,5.0086913,1.5851872,6.892349762882255e-07,8.617934431777776e-06
191,Cd68,5.0043406,1.5333282,7.013888409418577e-07,8.73824148047058e-06
192,Rogdi,5.0003557,1.1303178,7.12177462716081e-07,8.84073533752948e-06
193,Tubb6,4.9992776,2.033705,7.382582589414417e-07,9.09903304145327e-06
