,names,scores,logfoldchanges,pvals,pvals_adj
0,Pglyrp1,20.474949,4.0128326,4.799680712729471e-64,4.140924534907351e-61
1,Cebpe,19.601732,4.0855947,5.447100456811904e-60,3.13299061274298e-57
2,Cd63,19.415247,3.3206422,5.106647266385769e-61,3.524607943259458e-58
3,Gstm1,17.88899,1.1669134,8.562632771586791e-60,4.221377956392288e-57
4,Nkg7,17.872244,1.8525687,1.0182924182369295e-58,3.9045857059284935e-56
5,Srgn,17.18272,0.60357654,5.927910776229378e-56,2.0457220088767582e-53
6,Sun2,17.100948,1.741049,1.120061956579825e-54,2.973333701659212e-52
7,Hdc,16.159992,2.3514683,4.803426603058035e-48,1.0360390754470799e-45
8,1190002H23Rik,15.107586,1.5178148,9.145076289945598e-45,1.8564504868589565e-42
9,Elane,15.093024,0.51153874,8.738827589921834e-44,1.5872470533063288e-41
10,Ctsg,12.89794,0.27198896,1.5358049648161176e-34,2.304375188513227e-32
11,Alas1,12.810572,0.72629476,3.7974517579142316e-34,5.460419173567505e-32
12,Mpo,12.701167,0.16004477,1.5555357054622223e-33,2.147261487820052e-31
13,Ifngr1,12.672286,1.2247921,3.156032289135303e-33,4.033876825854048e-31
14,Impdh1,12.039657,1.3987783,3.13350173210648e-30,3.7288670612067116e-28
15,Prssl1,11.220676,2.1171331,3.783897617400351e-26,3.2645576694121527e-24
16,Ptprcap,11.08206,1.7493023,6.246708107153185e-26,5.132711828044201e-24
17,Gfi1,10.782347,2.1895182,2.2752899847234196e-24,1.7069621168001131e-22
18,Ltb4r1,10.7655735,2.437809,2.8666039083712953e-24,2.104819167614753e-22
19,B4galt6,10.597836,1.781331,5.15179362909415e-24,3.6283346559191657e-22
20,1100001G20Rik,10.499369,5.6213174,1.7606620043551807e-22,1.1464235050999488e-20
21,Serpine2,9.827236,2.3971422,8.188374212764596e-21,4.485409429881051e-19
22,Fam101b,9.625885,2.1633728,4.0412098348559214e-20,2.0815246477742962e-18
23,Chd7,9.007311,1.9944519,4.69464999526059e-18,2.2501718241172634e-16
24,Slc28a2,8.90579,2.4140496,1.4019445723155296e-17,6.537987458190396e-16
25,Cldn15,8.532748,1.6481816,1.5218192030680932e-16,6.564747587234987e-15
26,Slco3a1,8.424629,1.569706,3.2393547219097185e-16,1.3801250796679554e-14
27,Fcnb,8.413439,3.4338527,8.881655124118381e-16,3.6059519803920624e-14
28,Prtn3,8.242875,0.12291358,7.934943528216939e-16,3.259939299509126e-14
29,Ncam1,8.123398,2.5707788,4.9177988969556246e-15,1.8857026659326512e-13
30,Tmbim6,7.8368883,0.4644091,1.5673761117709778e-14,5.816145120130801e-13
31,Cpne2,7.762602,1.2775979,3.936455342306391e-14,1.4004852975566344e-12
32,P4hb,7.7206335,0.20657589,3.6615154594281024e-14,1.3162385260923314e-12
33,Tcn2,7.6480846,1.1664901,8.232056733509457e-14,2.8127552264694192e-12
34,Cited2,7.576315,0.8991715,1.2128217335856434e-13,4.071343799471795e-12
35,Nedd4,7.359653,1.0174574,5.767331985882862e-13,1.8259690535120876e-11
36,G0s2,7.3482428,4.011284,1.3785905973155849e-12,4.031793348589901e-11
37,Prdx5,7.3335423,0.66466385,6.123210359594613e-13,1.921018086451001e-11
38,Fcgr3,7.3138227,0.7943769,7.141441136375052e-13,2.1809834833301156e-11
39,Emilin1,7.265545,0.80884767,1.014404348188482e-12,3.044095135303001e-11
40,C3,7.254018,0.909391,1.1796095286446115e-12,3.479344002865431e-11
41,Atp2a3,7.206663,1.2791538,1.85648426407366e-12,5.294815863899339e-11
42,Vegfa,7.157308,2.5339758,3.654921937850247e-12,9.931602840567877e-11
43,Ptgr1,7.0099807,1.084979,6.384952154109878e-12,1.7214429596744678e-10
44,Sipa1l1,6.9984765,1.8901753,8.721610570660507e-12,2.2975784793396495e-10
45,Myb,6.9590263,0.67728704,8.019655279019682e-12,2.1289100282997633e-10
46,Xpc,6.9444375,1.1750122,1.0164357993506198e-11,2.6573635936052944e-10
47,Calr,6.7866426,0.14431986,2.3784039977928162e-11,5.821185954881567e-10
48,Gpr97,6.707632,0.78900045,4.1693397044938807e-11,9.991938416811378e-10
49,Mogat2,6.668003,6.0026183,1.0928682243639217e-10,2.488506886296539e-09
50,Hsd11b1,6.5526605,3.1158082,1.8151948103738488e-10,4.0155367247436875e-09
51,Nucb2,6.423331,1.2725697,2.8444731406180815e-10,6.252405610364967e-09
52,Plcb2,6.3371425,1.2430483,4.831174454916825e-10,1.0166087221901198e-08
53,Ogfrl1,6.3199024,0.67278445,4.704142109810621e-10,9.959505779727885e-09
54,Arsb,6.28522,1.4189504,6.812894086895216e-10,1.3512239939008846e-08
55,Gatm,6.270329,0.8511375,6.768000999146419e-10,1.3500792744540053e-08
56,Gpi1,6.2601256,0.31558758,6.536421881664832e-10,1.3191340300365693e-08
57,Pip5k1b,6.2495966,2.4288993,1.0000010771619821e-09,1.949719614285876e-08
58,ISG12a,6.2314215,1.0063592,8.645389688499385e-10,1.695184080398374e-08
59,Actn1,6.1224465,3.257304,2.3090703114863965e-09,4.2841944327632016e-08
60,Pygl,6.0838766,1.2830102,2.2215207520455124e-09,4.14403681908598e-08
