,names,scores,logfoldchanges,pvals,pvals_adj
0,Paics,9.107563,1.6832168,4.9367076913840385e-05,0.00020852604948551185
1,Acin1,6.5446324,1.4204311,0.0007024705250045598,0.0024487129108997333
2,Supt16h,5.7472177,1.9770321,0.0017787512270454435,0.005785551823311806
3,Slc25a4,5.5397935,1.0555826,0.0012173388169285718,0.0040826397057536455
4,Car2,5.415683,1.2283556,0.0020281381542867705,0.006584294233719327
5,Eif3f,4.892973,0.5171851,0.0014832804909036882,0.004949020465453401
6,Prdx2,4.821935,0.9558478,0.0032010827925527973,0.009997227798280274
7,Smarca4,4.695037,1.3503342,0.004294674633755613,0.013388366902520887
8,mKIAA1027,4.329899,0.7461865,0.005329815025493983,0.01593864094712282
9,Psmc3,4.3279867,0.7864613,0.004476958120178807,0.013878661775854687
10,Gpr56,3.5591478,1.0009425,0.014448044298541901,0.04063586053322584
11,Kit,3.5526927,2.0557482,0.015455422264884344,0.042806309980831354
12,Ankrd13a,3.4359148,1.0244606,0.017079279227644913,0.04711478226586938
13,Mlec,3.3622828,0.88937557,0.017941349781687262,0.049453353112302506
14,Akr1a4,2.998061,0.5580208,0.0246450019871987,0.06682291372875762
15,Trf,2.6951284,1.4601614,0.041502813567605976,0.1086693547965161
16,Bclaf1,2.6926224,1.7334989,0.04217081361188657,0.1102511195262277
17,Ypel3,2.5997748,2.7251487,0.04776449343372675,0.12120240208808161
18,Anapc5,2.5098612,0.42218283,0.04295965828661893,0.11214355578450978
19,Msi2,2.4959807,2.9826524,0.054449112292236784,0.13675683152875484
20,Prdm2,2.4209638,2.8284023,0.05966664859142292,0.14964360776816898
21,Rreb1,2.3431518,2.351398,0.06553299260041673,0.16387996917683922
22,Fam117a,2.291685,1.3115323,0.06934416862008477,0.1727846396447022
23,Pdcd6ip,2.2738545,1.1890544,0.07017978271237221,0.17461458553741638
24,Imp3,2.2461321,1.1686946,0.07279877821754113,0.1808701106038405
25,Cnbp,2.2370853,0.67787486,0.07215231820045137,0.1793931196756179
26,Gnai2,2.1733458,0.34281147,0.07647862734809657,0.18960326363382274
27,Kdm2a,2.156188,1.8473458,0.0825446640153695,0.19899131019790495
28,Phf3,2.1439202,2.1957588,0.08436985738856974,0.2013557246528037
29,Gata2,2.121826,2.0029614,0.08658434632798291,0.20641229537546643
30,Glg1,2.1140625,2.0263438,0.087605646961622,0.2074164515171175
31,Phf10,2.0941327,1.7537795,0.0894233183020023,0.21122510024655025
32,Srgn,2.0887344,0.24512656,0.08308784440625218,0.19899131019790495
33,Eef1g,2.087231,0.2852774,0.08354768221859259,0.19953152341616817
34,Tspan32,2.064078,1.7109842,0.09291819074629726,0.21933014792439934
35,Nfe2,2.0569024,1.1966119,0.09342115724326013,0.22021612953995268
36,Ddx6,2.0309794,1.666234,0.09684540559945658,0.22782105979804
37,Son,2.0223665,1.1482412,0.09758806303436983,0.2294117203893803
38,Rad21,2.0040376,1.9650223,0.10080876239105271,0.23666057075613803
39,Rps3a,1.9766232,0.2938742,0.09938705723940643,0.23348177980475943
40,Eltd1,1.9765949,1.8297235,0.10431759735047302,0.24423339786735576
41,Rfc2,1.975748,0.99805963,0.1034634591611691,0.24239809746449054
42,Myst3,1.9698354,2.0753002,0.10538671525100361,0.24656918937709388
43,Lman2,1.9564867,0.32267106,0.09447976865503271,0.2225595096440395
44,Fr1,1.9446826,1.5522234,0.10819447445185285,0.2529668911472521
45,Aff3,1.9395882,1.9139532,0.10947216650546907,0.25560787997995515
46,Hmgn2,1.9388125,3.0932,0.10992228457314644,0.256485330670675
47,Anapc1,1.9211847,1.6311953,0.1117913403604374,0.26049420363529335
48,6330503K22Rik,1.8902072,1.6976976,0.11653339535990268,0.2704483842548918
49,Uqcrfs1,1.8862683,0.9318726,0.11581461318997636,0.2691422425041134
50,Atrx,1.8644316,1.6603917,0.12044447744459995,0.2791496921835557
51,Ppp2r4,1.8539091,0.94261676,0.12128825325378109,0.28035215135887376
52,Snx3,1.8503348,0.8796419,0.12093905152078399,0.2799199643180587
53,1110013L07Rik,1.8432006,2.6821697,0.12420876614187128,0.2865270400772712
54,H2afy,1.8373939,0.19649567,0.11597766205659568,0.2693397791099002
55,Map1lc3b,1.8364905,1.7561442,0.12507849594009243,0.2881481238246055
56,Rab1b,1.8219644,1.4993868,0.12703687796541924,0.2920747940430791
57,Asxl1,1.8204888,2.814847,0.12799823048354236,0.2938934753151728
58,Polr1c,1.808685,1.5810492,0.12949853996777166,0.2969431637400532
59,Cux1,1.7841733,0.999868,0.13288560170258523,0.30390206194540864
60,Zfp608,1.7822536,2.6479852,0.1344538262700106,0.30687840903294084
61,Pcp4l1,1.7783864,2.4555762,0.13499295988963178,0.30770191848026374
62,Epb4.1,1.7632917,1.4260004,0.13704357448001636,0.31196396802805837
63,Iqgap1,1.7616007,1.4243901,0.13729486435953805,0.31232997818376124
64,AK172428,1.749695,0.8491806,0.138405256929996,0.3144414362510969
65,Nfatc1,1.736678,2.3261566,0.14241776155872882,0.32270761335467707
66,Ubr5,1.7336737,2.4895058,0.1430949980801735,0.32381694319651066
67,2900010J23Rik,1.7218136,0.9622242,0.14428025282922577,0.326285158921139
68,Klhl22,1.7184216,2.2722244,0.14582311550323515,0.32934265157176995
69,Pdxk,1.7080183,1.3594835,0.1472205438305451,0.33228129284448077
70,Sun2,1.6951872,1.3458822,0.14951921503924784,0.3368086234337104
71,Slc22a3,1.6894016,2.3461678,0.15151095735049996,0.34107261175249537
72,Pra1,1.6770085,0.7791505,0.15182675773739104,0.3415607176999586
73,Fyn,1.6766385,2.1563485,0.15388305096757465,0.34470232493267383
74,Pnrc1,1.6600384,1.4460925,0.1569669849893354,0.34470232493267383
75,Sirpa,1.6536548,2.2398121,0.15864850521501667,0.3465164503145712
76,Smpd4,1.6484214,2.2251728,0.15970482418114965,0.3486030033201439
77,Ppfia1,1.6436296,2.382766,0.1607817575059531,0.3505103254283286
78,Mcm2,1.6357613,0.78162026,0.16052054378388966,0.35016207117459114
79,2610024G14Rik,1.6326402,2.043325,0.16283953763836923,0.35432487035940236
80,Ythdc1,1.632416,1.2733197,0.16227524771079307,0.3533197980125848
81,Nudc,1.6288689,0.77875024,0.1620606157380828,0.35307524300007814
82,hnRNP A2/B1,1.6266727,0.24868596,0.1582883371085769,0.3459487342379347
83,Dnajc2,1.6129739,1.2728814,0.16659450980136914,0.3613561617376021
84,mKIAA1575,1.6120063,2.2010796,0.16745276386212773,0.3629896281961073
85,Hnrnpk,1.6006796,0.7615514,0.16803212572679363,0.3640168649611832
86,Adipor2,1.5989217,1.1606327,0.16921378133869486,0.3661170905328125
87,Atf7ip,1.595826,2.0820994,0.17089795207264563,0.3692979540405135
88,Ankrd17,1.5878359,2.0616045,0.1726574348289064,0.37240050474659747
89,Psmb9,1.5851787,0.8507554,0.17212014854898036,0.3717062782493938
90,Trim25,1.5771935,2.1809437,0.17520376045607872,0.37742083479021704
91,Caprin1,1.5691273,1.2368541,0.1765412466084076,0.379827831699261
92,AK028012,1.5668963,6.937787,0.1778977238209896,0.382361414241181
93,Irf2,1.559229,2.130287,0.17926794155001768,0.38497427896024333
94,Stxbp5,1.5548337,1.8614378,0.17997987540103877,0.3862627798563338
95,AI504432,1.5408034,5.4290433,0.18395022893787982,0.39355997524155195
96,Gabpb2,1.535164,1.8184109,0.18460236834973115,0.3947105162174239
97,Ell2,1.5206437,4.842477,0.18875986621959934,0.4031004321310874
98,Osbpl8,1.5191356,1.894621,0.18860865617933845,0.4030269179411127
99,Zzef1,1.517404,1.8899322,0.18907589347051926,0.40352560814270994
100,Ifih1,1.5004891,4.425834,0.19369169754432303,0.41312116701202645
101,Cenpf,1.4969013,2.0279553,0.19425147890279193,0.41380361339107097
102,Mat2b,1.4845796,1.7126846,0.19704208030591397,0.41948933938044974
103,Cdk4,1.4815882,0.30077896,0.19395405496881185,0.413425227731544
104,Nudt3,1.4753995,1.1469176,0.19919892973479836,0.42355853759383183
105,Ap2a2,1.4750144,1.6933625,0.1994915951756541,0.42391963974826496
106,Cdk12,1.4679046,1.6792037,0.20132718951431333,0.42676912224440744
107,Cmpk2,1.4678936,3.9348497,0.20191613827366503,0.4274923884554712
108,Dock2,1.4515178,1.155463,0.20530228135625728,0.4335974130724871
109,Tceb3,1.4459735,1.0945768,0.20664067931949262,0.4361571769612043
110,Bcl9l,1.4400566,3.6136615,0.20924477161559543,0.44059361759302346
111,Isg20l2,1.4381146,1.7172319,0.2093245430666088,0.44059361759302346
112,Dtnbp1,1.4364839,1.1317892,0.20938091360549363,0.44059361759302346
113,Stat3,1.4311793,1.1011872,0.21083368600669172,0.44257119854567706
114,Atic,1.4279215,0.9958037,0.21103747590281452,0.4427296834897343
115,Dennd3,1.4258437,3.474306,0.2130680926179917,0.446446865588761
116,AK052812,1.4258437,3.474306,0.2130680926179917,0.446446865588761
117,Prkaca,1.4198939,1.5872185,0.21411418524596984,0.44809463510239045
118,Rbm27,1.4171358,1.5826242,0.21482740023971722,0.4493147625619783
119,1810031K17Rik,1.4128249,1.771063,0.2163069308649131,0.4518615123576363
120,4632415L05Rik,1.4116342,3.3470435,0.21695785874068596,0.45241709172151473
121,Arhgef2,1.4093293,1.0572835,0.2166636051952727,0.45233278979363944
122,Atg4b,1.4090219,1.5672407,0.217104346336102,0.4524318231919614
123,AK031561,1.4087317,1.0974798,0.21696617988962819,0.45241709172151473
124,Mosc2,1.4074205,1.0550442,0.21724752968225286,0.4524569854758326
125,Tfam,1.3975953,1.6372586,0.22054966880336824,0.45795241097498424
126,Osbpl3,1.3956506,3.2152364,0.2214282639163577,0.4586272965758721
127,Sfrs18,1.3945745,1.7319621,0.22137307197467435,0.4586272965758721
128,Luc7l2,1.3918694,0.96244663,0.22113116400295288,0.4586079609219894
129,Srrm2,1.3915616,0.7081978,0.2210075230157984,0.4586079609219894
130,Lgals3bp,1.3890772,1.0373278,0.22234514085725524,0.4599810766105526
131,Shisa5,1.3885903,1.5300915,0.22285527252802467,0.46047257640062583
132,Ap1m1,1.3873065,1.0798438,0.22304348342950273,0.46047257640062583
133,Shmt1,1.3833017,1.6081855,0.22449861450109307,0.46281046513935015
134,Il16,1.3802092,1.0105519,0.2247932822518359,0.46314126391109595
135,Tbc1d4,1.3796692,3.0942647,0.22598545362768468,0.46531969001738654
136,Tgfbr2,1.3773061,3.0780826,0.22664703439835512,0.4658480736800021
137,Wipf1,1.375528,3.0648236,0.22717284283311184,0.46637327817791135
138,Plcb2,1.3730493,1.5884573,0.2274610030460772,0.46668723038764115
139,Lrrc8c,1.3654685,2.995003,0.23009737471529185,0.471255810173574
140,Agap2,1.3529226,2.9125152,0.23378922756845,0.4773811382237032
141,Gsto1,1.3501048,0.6321052,0.2333108840670508,0.4769880692626732
142,Isoc1,1.3471129,1.5398831,0.23509520637411954,0.47865106619297143
143,Ncapd2,1.3461258,1.0162013,0.23506273563753233,0.47865106619297143
144,Sox4,1.342713,1.1366162,0.23631393631982814,0.48049262620360184
145,Dazap2,1.3422863,1.0337481,0.2362502661930607,0.48049262620360184
146,Gimap1,1.3412148,2.8393009,0.23728925213879365,0.4816971818417511
147,Itgb1,1.3390435,0.97193485,0.23683046028245128,0.4810488042582339
148,Def8,1.3360804,1.4386244,0.23827901899780363,0.48324604696348555
149,Pole,1.3357046,1.4386332,0.2383323013421769,0.48324604696348555
150,Ier3,1.3352973,2.8033822,0.23908352034798977,0.48391626317942094
151,Golga4,1.3352175,1.5690954,0.23882622211147345,0.4836791622691871
152,Clec2d,1.3311597,2.7791548,0.2403351216304144,0.48616442247746783
153,Akap8l,1.3233945,2.9248476,0.2427852308375886,0.49054556886447204
154,Rsl1d1,1.3145889,0.9652176,0.24456370561780366,0.4938498233394034
155,H3f3a,1.3120226,0.27464092,0.23848288707824192,0.48326743588198057
156,Eif2s2,1.3081666,1.3926468,0.24682008020706497,0.4978235516040802
157,Cyb5b,1.307657,0.8877884,0.24631848251120977,0.4971023878047865
158,Usp48,1.3066059,1.552863,0.24765673901729687,0.49892784959059633
159,Csnk1a1,1.3052428,0.9504612,0.24755779896514069,0.49892784959059633
160,Meis1,1.3051368,2.6337216,0.24839468557007727,0.5001225553689246
161,Cep55,1.3044325,2.6305532,0.2485985912675162,0.5002412469179
162,Erbb2ip,1.297169,1.3740197,0.25034899985083114,0.5024929905686946
163,Ctcf,1.2966766,0.94276434,0.25022533980625933,0.5024929905686946
164,Serpina3f,1.2958952,1.0663048,0.25073092369830846,0.5027730492056145
165,H2afv,1.285988,0.6987043,0.2537979457395247,0.5080375352361367
166,Irgm1,1.2826834,2.5194151,0.2555263910077698,0.5106089029344607
167,Fyb,1.2824699,1.3498282,0.2550987176703045,0.5100496377058059
168,Dab2ip,1.2809019,2.5103056,0.2561137762427943,0.511190654606063
169,Atp2b4,1.2809019,2.5103056,0.2561137762427943,0.511190654606063
170,Cdc14a,1.2777362,2.6529841,0.257222633853834,0.5128106929113698
171,Egfl7,1.2770816,1.4149845,0.25697410183847563,0.5126113441876182
172,Ywhaz,1.2757934,1.4127061,0.25740006226690326,0.5128681379232581
173,Pbx1,1.2749867,2.4814491,0.25803871046907756,0.5135476296590464
174,Gria3,1.2742853,2.4785883,0.25824993598758367,0.5136717746934589
175,Mpp6,1.2693044,1.3296946,0.2592957050984425,0.5149467366210845
176,Ndufa7,1.2664733,0.6139905,0.25920211930305,0.5149467366210845
177,Ube2e3,1.2645599,1.3932998,0.2611096903673525,0.5178675525619157
178,Brd3,1.2615434,0.93050724,0.26190783533275064,0.5188541559892781
179,Arhgap30,1.2607592,1.3870809,0.2623469896583073,0.5194259674760864
180,Herc1,1.2584573,2.4047658,0.26344768499751303,0.5210074274649957
181,Rtp4,1.256675,2.3963277,0.26405160212076406,0.5217969676909748
182,Deptor,1.2561568,2.5403957,0.26430052144996347,0.5217969676909748
183,Ahctf1,1.2553272,1.3816266,0.26422555478751264,0.5217969676909748
184,Bat2d,1.2549422,0.6995319,0.26339298483325563,0.5210074274649957
185,AK152437,1.2535629,0.9537269,0.26445877958769126,0.5218108909989265
186,Ralgps2,1.2532375,2.5252497,0.2652895932711215,0.5231510779306516
187,Arhgap25,1.2518976,2.5185814,0.26573692644827873,0.5235072582396796
188,Car1,1.2496498,0.9236725,0.2657736066171888,0.5235072582396796
189,Srcap,1.2407163,2.3254585,0.2694130033953159,0.5300708521763028
190,1110007A13Rik,1.2375574,0.89336544,0.26970663878081885,0.5303462167707156
191,Zfp800,1.2365861,2.3078399,0.2708092581428886,0.5316056597560345
192,Cdk2ap2,1.2348661,0.87517166,0.2705164238521983,0.5313330556140788
193,Dusp11,1.2346414,1.4200817,0.27123436700739795,0.5321374647768791
194,Sec63,1.2279538,1.2649065,0.27324156156500073,0.5354665695404983
195,Zwint,1.2267354,1.3345426,0.27392680678407383,0.5363236899644175
196,2010002N04Rik,1.2247597,2.2577913,0.2748724781738866,0.5368335722569795
197,Birc6,1.2242795,1.3269174,0.27467050068232535,0.5367428640173866
198,Sp100,1.2224141,2.2485502,0.2756650558687901,0.5380769840515807
199,Zfp217,1.2165016,2.224287,0.277722442740388,0.5411745623360129
200,Sfrs3,1.2161802,0.61880374,0.276769031653196,0.5396214283814573
201,Ifitm1,1.2098057,1.0126892,0.27958195004647995,0.5435703152734661
202,Spc24,1.2096597,0.8683772,0.2793085182939048,0.5433448120813221
203,Utp20,1.2054858,1.231259,0.28104291145719257,0.5461030897740831
204,Rftn1,1.1992223,1.221292,0.28333228380746645,0.5499300766325652
205,Ddx23,1.1990771,2.2768822,0.2839224299219678,0.5502102868321647
206,Gadd45b,1.1990181,2.2763681,0.28395378755377726,0.5502102868321647
207,Mthfd1,1.1967282,0.7941307,0.28349046836549796,0.5499300766325652
208,Dnajc11,1.1936426,1.3205473,0.2855915740142152,0.5527630521161283
209,Ifi203,1.189946,2.2379236,0.2872112594994657,0.5555333764789258
210,Mettl13,1.1879355,2.2297163,0.28793021747350694,0.5560420707896321
211,Minpp1,1.1861699,2.222947,0.28854643926687135,0.5569204484955106
212,Mrpl17,1.18599,0.7853151,0.28734484990289266,0.5555333764789258
213,Rcc2,1.1796912,0.5621967,0.28996689360415456,0.5593492173437324
214,Ccnb2,1.1794189,1.2600565,0.290617779184023,0.5602915955106499
215,Anapc2,1.1765548,1.2505978,0.29166586644373244,0.5613713915768659
216,Ywhae,1.1730928,0.58159,0.2919692250239337,0.5616420265092503
217,Foxred2,1.1704348,2.0483768,0.29418943227666605,0.5652827008835047
218,Syf2,1.166161,1.2391576,0.2955213915266787,0.5668951207107106
219,Tomm70a,1.1644554,1.232381,0.2960561096527123,0.567290191233487
220,Gdi2,1.1632566,2.023944,0.29677431739820764,0.5683508153946807
221,Incenp,1.154136,1.2170535,0.29984165721382483,0.5735884473641405
222,H1fx,1.1468316,2.2674572,0.30312263864214634,0.57890217263644
223,Med13l,1.1441686,1.2014347,0.30364464553753573,0.5795783582688252
224,Cul7,1.1439039,1.9561365,0.3040377857133085,0.5796467520968289
225,Rnaseh2c,1.1417758,0.8636494,0.3043827991766204,0.5797047681890272
226,Tap1,1.1413862,0.79329693,0.30418437207979054,0.5796467520968289
227,Clic4,1.1391088,2.0412934,0.3059665965849594,0.5801608656721122
228,Ezr,1.1360633,1.1302398,0.30657082943815755,0.5801608656721122
229,Atf4,1.1348085,0.5362605,0.30621222635098355,0.5801608656721122
230,Vim,1.1331227,0.5449593,0.30742209328410225,0.5801608656721122
231,Spns2,1.1302608,1.296408,0.3091187958390867,0.5801608656721122
232,Gxylt1,1.12975,1.9089959,0.3094169776581695,0.5801608656721122
233,Setd1a,1.1274147,1.2915634,0.31021705540677796,0.5801608656721122
234,Asap1,1.1261759,1.1795343,0.3105317491494437,0.5801608656721122
235,Chd4,1.1259242,0.6435723,0.3104060815747352,0.5801608656721122
236,Arid4b,1.1257228,1.993706,0.31107023482167445,0.5801608656721122
237,Rbmxrt,1.1211684,0.78974736,0.3121194940785419,0.5801608656721122
238,Zmynd8,1.1198963,1.2280504,0.31304928015132155,0.5801608656721122
239,Itga2b,1.1169614,1.9633995,0.3144481533545322,0.5801608656721122
240,Prkcsh,1.1121088,0.7994315,0.3157313867699158,0.5801608656721122
241,Hmgb2,1.1108341,0.7815762,0.316005661296902,0.5801608656721122
242,Mki67,1.1089969,1.1546799,0.31716868197413617,0.5801608656721122
243,Heatr5a,1.107903,1.8386211,0.31790327353983316,0.5801608656721122
244,Ada,1.106115,1.8328209,0.31861654689099483,0.5811552343133315
245,Tmem180,1.101414,1.1381464,0.3201827801556513,0.5837035257882476
246,Naa50,1.0967363,1.0764822,0.3218104759587709,0.5863611153821111
247,Klhdc2,1.0912814,1.7874979,0.3244761024791897,0.5899720914940377
248,Dusp23,1.0883958,1.9599953,0.3258015018148125,0.5915547120594099
249,Use1,1.0883512,0.7479344,0.32497432021572514,0.590566813620046
250,Rabgap1l,1.0878471,1.7769314,0.32586076720514007,0.5915547120594099
251,Pum1,1.086347,1.2116683,0.3264447769018096,0.5923033254932413
252,Fam168b,1.0833021,0.7026396,0.3266930920805044,0.5924423861113088
253,Cyb5,1.0827923,1.0570085,0.32747370226994826,0.5932345126160585
254,Ndufv1,1.0809414,0.78889406,0.32807302532317834,0.5940083999949047
255,Nat15,1.0791713,1.1107138,0.32918371802816243,0.5947712099032401
256,Smarcc1,1.078611,0.75038373,0.32898865792240034,0.5947301511211124
257,Mybbp1a,1.0781931,0.5567528,0.32889933257968845,0.5947301511211124
258,Rbm5,1.0769159,1.1616427,0.33008535427476166,0.5957916541071056
259,Bin1,1.0768214,1.1612511,0.3301514061264461,0.5957916541071056
260,Coro2a,1.0742273,0.6960577,0.3302664254728754,0.5957916541071056
261,Specc1l,1.0730193,1.7332181,0.33183372452490456,0.5979938294179872
262,Adk,1.0719134,1.729543,0.3323100104432599,0.5985395856157046
263,Snx20,1.0713742,1.728416,0.33250384657409376,0.5985763038743858
264,Srpk2,1.0695059,1.7228441,0.33327424600755745,0.5990992636293834
265,Sesn1,1.0694407,1.7224108,0.3333151510195352,0.5990992636293834
