,names,scores,logfoldchanges,pvals,pvals_adj
0,Apoe,13.296336,2.7254543,1.655157804350474e-23,1.903983194271162e-20
1,Gata2,6.154136,2.1415951,2.2265715168545628e-08,5.527984391845392e-07
2,Vamp5,4.82893,1.2128737,4.974350262196966e-06,4.652163348195591e-05
3,Lmo4,4.759559,1.5519546,7.534388616179135e-06,6.570945493029635e-05
4,Gata1,4.3085256,2.5113068,4.4362220194068504e-05,0.00028039198148302274
5,Galnt6,3.8094203,1.1739392,0.0002425038674849939,0.001168827998171388
6,Mfsd2b,3.7085822,2.437341,0.0003746491658857934,0.001679109443469965
7,Gpr56,3.46716,0.49926642,0.0007349543083995721,0.0029595417949672383
8,Sdsl,3.4668546,1.676845,0.0008141044882448643,0.0032292811367046286
9,Klf1,3.4449432,1.778495,0.0008799667967598905,0.0034547956946739274
10,Hmgb3,3.3336384,1.4517393,0.00124185651640053,0.004584434694139904
11,Fam129a,3.284215,2.5697482,0.001498655391483315,0.005387353912509292
12,Zfpm1,3.2804577,1.0569608,0.0014517894740991063,0.005251703852322868
13,Slc45a3,3.2592642,4.033339,0.0016494472862410888,0.005844191565521558
14,Icam4,3.2334466,2.2735798,0.0017449016122911122,0.006150822741590018
15,Mdga1,3.0538344,1.7223011,0.002975967521131444,0.009865575327016918
16,Lgals9,3.0339928,0.55468684,0.003031647158311488,0.01000211696303341
17,Slc22a3,3.0116954,1.4500434,0.00336371368605351,0.01095110936846289
18,Spns2,2.918275,0.9121481,0.004346441759007297,0.013735870430708957
19,Parvb,2.8681505,2.3624866,0.005234981392117214,0.01590309928186312
20,Scin,2.8318458,5.5200167,0.005891609119113605,0.017633948889905507
21,Rab37,2.82926,1.4810421,0.005764152655079878,0.017297470271896227
22,Ypel3,2.80959,1.4490058,0.006090232548237381,0.01818368331506062
23,Txnip,2.7971334,0.8633469,0.006192032658363636,0.018437191289053415
24,Runx1,2.7916799,0.6339048,0.006260341432421267,0.018608108945841677
25,Def8,2.7740755,1.0120264,0.006618694665107924,0.019455805186786582
26,Prkd2,2.7288687,1.7563394,0.007687391053076311,0.02201674549994541
27,Il1rl1,2.6938138,3.6327667,0.008600492148208029,0.023897180679119088
28,2210020M01Rik,2.6559553,1.6816984,0.009381314422644072,0.02567400164357232
29,Krt18,2.6501346,1.6453362,0.009519846476274775,0.02595022921771268
30,Ptprcap,2.606854,0.46325487,0.010384648567644459,0.027976129747807204
31,Dach1,2.598643,1.5183895,0.010928668889291995,0.029213660989114387
32,Itga2b,2.590904,1.4600542,0.011191509533231085,0.02986999180137701
33,Arap3,2.5592487,2.063441,0.012280966085147392,0.03240184553504866
34,Ndrg1,2.5364525,1.3037525,0.012887223343599716,0.0337610118019891
35,Alox5,2.4219067,3.2034466,0.017683783333700152,0.04393573526609015
36,Drctnnb1a,2.3986883,1.2008754,0.018457451481419446,0.045562707483818674
37,Dok2,2.398671,2.1902015,0.018645434229110757,0.045862718121640215
38,Lpcat2,2.3931813,1.5334951,0.018820384217428657,0.046260075451813605
39,Csf2rb,2.371438,0.85662335,0.019732934419007805,0.04826247815733234
40,Soat2,2.3535793,3.9780393,0.02107759861365295,0.05115245626984271
41,Igf1r,2.3392553,0.9932585,0.021447850907936307,0.051915639478902174
42,Samd14,2.3055768,3.04468,0.023713324593519144,0.0563988167968536
43,HDAC7,2.2963417,1.4362383,0.02402170169907347,0.05705360809601001
44,Gimap6,2.2874,1.3922464,0.024480649434988476,0.057984022786647375
45,Erbb2ip,2.2803342,0.856052,0.024753410453680843,0.058517261331028296
46,Gp9,2.265405,2.7002635,0.026133862348676703,0.060528831520324365
47,Abcg1,2.254387,1.3594595,0.026562359143175365,0.061356560510775225
48,Angpt1,2.2065084,1.6794535,0.02991629928796311,0.06765475022461381
49,Tgm2,2.1804855,4.8261323,0.032235149020944674,0.07218916240835825
50,Slc14a1,2.1690886,2.0789785,0.03290339446690724,0.07321058304661307
51,Atp1b2,2.1690886,2.0789785,0.03290339446690724,0.07321058304661307
52,Fut7,2.1659322,0.759915,0.03275212408200556,0.07315700984271922
53,P2rx1,2.1560104,1.5307134,0.033832569590948894,0.0749397931054972
54,Ssbp3,2.1239355,0.8054163,0.03617923226483808,0.07942400161956503
55,Tle6,2.0967715,2.1996622,0.03901454111371342,0.08516077253853575
56,Fyb,2.05794,0.76583827,0.042259777740091604,0.09143479183765274
57,Plcb2,2.0496538,0.79818636,0.04309835095599092,0.09284047295714788
58,Zyx,2.0479064,0.4495731,0.04300201549622965,0.09269203964864993
59,Optn,2.047655,2.1425374,0.04368633457584054,0.09381551998831718
60,Dlg3,2.042313,1.8084679,0.04416491889989665,0.09466654355499585
61,Ddah2,2.033579,1.3649074,0.044939817732902294,0.09557461056326896
62,Cdcrel-1,2.0021987,2.3892944,0.04852016362178898,0.10080860003539661
63,F2r,1.9734913,3.2224033,0.051885521828045685,0.10677217401823831
64,Cuedc1,1.9621879,2.9399784,0.05313654119731504,0.1087628728777783
65,Por,1.9433919,0.7244619,0.05484725963091448,0.11140546967997993
66,Fyn,1.9367524,0.9333495,0.055703588857286414,0.11286611340937656
67,Rnf180,1.9317397,4.384227,0.05699968635195886,0.11496546908276448
68,Slc18a2,1.9317397,4.384227,0.05699968635195886,0.11496546908276448
69,Osbpl1a,1.9315829,1.1875563,0.056554863246490325,0.11432864776808968
70,2210016F16Rik,1.925196,0.9306356,0.057167812854389245,0.11516859508237087
71,Nrgn,1.9194627,0.59000844,0.057770307530114806,0.11618026298742785
72,Slc7a8,1.917556,1.7227495,0.05855212502715021,0.11734226682270346
73,Fgf3,1.9101589,2.708214,0.05961226933387594,0.11891510069838442
74,Cd9,1.9067645,0.9754764,0.059644211135381174,0.11891510069838442
75,Dmwd,1.9017618,1.817804,0.060516115985595885,0.12030018218104344
76,Trfr2,1.8967351,0.9653725,0.06092326373785064,0.12092821564049029
77,Pnrc1,1.8954619,0.5448674,0.060851801886700724,0.1208978516470951
78,Pbx1,1.8943372,1.3159399,0.061397673327617634,0.12163224492170405
79,Pbx4,1.8790418,1.4258822,0.0635074088644426,0.12537990159679144
80,Nfe2,1.8329471,0.40359434,0.06957736847286618,0.13554982874248928
81,Abhd15,1.8221074,1.9971101,0.07195633662877247,0.13942802790898023
82,Spire1,1.788128,1.633454,0.07717055115567645,0.14811767076654025
83,AK142847,1.7549928,24.286297,0.08323816708197168,0.1548181670219042
84,Tuba8,1.7511121,1.4262403,0.08337224142049737,0.15493678252134432
85,Ets1,1.7449661,1.8014925,0.0845493845402161,0.15695531255959427
86,H2-Oa,1.7439312,1.5781581,0.08469647963407298,0.15703757441865013
87,Eif2c3,1.7418278,1.1730818,0.08490304119406017,0.15727342735410715
88,E2f8,1.7351077,0.6742375,0.08583336781568685,0.15882624789916103
89,Ppox,1.7216005,1.0548075,0.08842820145213873,0.16153039709487318
90,Muc13,1.7075293,0.44129565,0.09068503854226884,0.1648862318279082
91,Sertad1,1.7009878,1.494487,0.09245055790513475,0.16764440242479572
92,Tnfrsf18,1.7009878,1.494487,0.09245055790513475,0.16764440242479572
93,Car2,1.6912307,0.31922123,0.09379767995035537,0.1694680186407233
94,Myct1,1.6793667,1.1268828,0.09651688903562797,0.1729386210082825
95,Plekhg5,1.6616505,2.0131037,0.10030340460987996,0.17796763460601323
96,Fbxo4,1.6616505,2.0131037,0.10030340460987996,0.17796763460601323
97,Ormdl3,1.6603678,0.9023138,0.10007823590010857,0.17775479343823558
98,Naprt1,1.654298,1.9719931,0.101688856087168,0.17968987656051344
99,Lat,1.6333518,2.5234103,0.10623563491956158,0.1865746443294692
100,Aqp9,1.6310127,3.9643004,0.10686851945257066,0.1874000308083442
101,Trip6,1.6289148,1.1392925,0.10672919282899611,0.18725086144019604
102,Timp2,1.6218156,1.6069341,0.10847237175200282,0.18944238609117497
103,Jmjd1c,1.6104627,1.2328655,0.11072088576008733,0.19307618835677684
104,Lxn,1.5883842,0.9499082,0.11557379465539977,0.200424706208937
105,Hmox1,1.5876614,1.5540441,0.1159646268552111,0.2008980795921749
106,Rab4a,1.5762916,1.5100919,0.11853096600815148,0.20432086098607932
107,Ikzf2,1.5451238,1.323699,0.12589052742758403,0.2155606371298296
