,names,scores,logfoldchanges,pvals,pvals_adj
0,Trf,2.4855933,1.4575136,0.02334339780919559,0.08804160201041966
1,Gsto1,2.4332108,0.5563866,0.025419678907521392,0.0931245349361532
2,E130012A19Rik,2.2412412,1.7721646,0.03831426026581951,0.1340999109303683
3,Ptp4a3,2.1925027,0.98655427,0.04194088821139246,0.1454653318768999
4,Rasa4,2.1847038,1.7430573,0.04286497693748884,0.14822348237602603
5,Lgals1,2.1234462,0.417881,0.047516582622150735,0.15721929686389471
6,Trim8,2.1234136,1.3537133,0.04821003453228454,0.15862845326248454
7,2510002D24Rik,2.1050324,1.6326146,0.05010586383485786,0.1639007925062507
8,Fcer1g,2.0729964,1.0828836,0.05317992781295506,0.17257310934375908
9,1500012F01Rik,2.0595498,0.9901071,0.05440741072254823,0.17564076183677638
10,Ifi203,2.0286307,2.5076842,0.058299650170195616,0.18698149882652887
11,Ppp1r13b,1.9967294,2.2920265,0.06189602980359869,0.1972328705930001
12,Afap1l1,1.9025431,2.1362655,0.07394642945094837,0.23010741932842455
13,Tmem9,1.890367,2.035799,0.0756005585891358,0.234198857891479
14,Adsl,1.832536,0.7255316,0.08369580302407122,0.2509419776160467
15,S100a10,1.8239281,0.9154534,0.08513443884985561,0.25432830248710686
16,Cnbp,1.8040338,0.45550457,0.08779744260914685,0.260523623769704
17,Gng2,1.7789134,1.4527402,0.09269469079224901,0.2720147771463022
18,Arl8a,1.7564204,1.7650589,0.09666189760673886,0.28083959142632164
19,Pdha1,1.7500991,1.7539579,0.0977600699585226,0.2831124960944931
20,Ndufs7,1.74417,0.505375,0.0981784623970346,0.2840015706053365
21,Tspan31,1.719966,0.9064848,0.10292455393145541,0.29525572370528064
22,Alox5,1.7036294,3.7939749,0.10658346336358951,0.30373206611704984
23,Tbl1x,1.6747134,1.6706104,0.11192555773645747,0.317269397367446
24,Csrp2,1.6693171,1.3139824,0.11287707188653513,0.31903257582345024
25,Trfr2,1.6644949,1.7139112,0.11403622850455102,0.3215188109225535
26,Wdr61,1.6485815,0.85893536,0.11685938565649076,0.32760498773399643
27,Lrrk2,1.6349417,3.2165787,0.12032288960910957,0.3345965286390307
28,Ccdc50,1.5959038,1.2798828,0.1285107885391862,0.35309771596236594
29,Irf5,1.5921414,3.116251,0.12966830195152934,0.3554291580895375
30,Csnk1a1,1.5901178,0.589833,0.12920774979214397,0.35462700299427796
31,Aff3,1.5763302,1.2566713,0.13293981062789129,0.36209572729033374
32,Ube2r2,1.5755671,0.5601019,0.13241862967129242,0.3612463960439764
33,Noc4l,1.5244197,0.9074997,0.14521465938461428,0.3872764988688593
34,AK087942,1.5108473,0.44175828,0.1482155493449015,0.39345527753019616
35,Eif1ax,1.5061913,0.5460801,0.14941234893058566,0.39602305388590714
36,Sfpq,1.4979268,0.3670723,0.1509878038113257,0.3983630817682607
37,Anxa5,1.4765588,0.81881696,0.1573175825855075,0.40158008052132677
38,Ier5,1.4732388,2.382235,0.15875643805031184,0.4040327932976594
39,Pcnt,1.47296,0.95843756,0.15841632050082516,0.40346473951907574
40,Rps8,1.4691371,0.11936632,0.15686045971356397,0.40158008052132677
41,Sp100,1.4597869,1.6898597,0.16228276808058473,0.4105849212947932
42,Vim,1.4574198,0.36527595,0.16206372203878275,0.41033155154500317
43,Peo1,1.4545058,1.3225465,0.1636165713053925,0.4121465602736566
44,Rnpepl1,1.4540701,0.9420222,0.16351792208294572,0.4121465602736566
45,Spns2,1.4512688,1.1103603,0.16440956951808938,0.413628436206106
46,Ccdc69,1.4512261,1.6205999,0.1645644285456342,0.413628436206106
47,Atg2b,1.448967,1.3152136,0.1651203985535485,0.41427966886552503
48,Gata1,1.4474307,1.6642535,0.1656638490392421,0.41427966886552503
49,Ccnf,1.4357612,1.3109169,0.1687943749599561,0.41846938792155786
50,Epn1,1.4324318,0.75260913,0.16952412393022281,0.4196755750955516
51,Prg3,1.4278924,2.3136482,0.17115712179544657,0.4228083230609063
52,Basp1,1.4267398,2.2094781,0.17153737126092525,0.4234445409309392
53,Gpr56,1.4184092,0.5610075,0.17337533925828788,0.42699286298973804
54,Tbrg4,1.416641,0.6445973,0.17384869121715568,0.42762069379216266
55,Relb,1.4022986,4.7757864,0.17878760328581025,0.4369660190788464
56,Ifitm1,1.4006788,0.85450697,0.1786602295365691,0.4369641758545003
57,Slc7a8,1.3964512,2.1906238,0.18036110843349126,0.4404997772144221
58,1110049F12Rik,1.3946128,1.2805939,0.1807134301942328,0.4405367958598431
59,Arf4,1.3939776,0.7891886,0.1806063517261331,0.4405367958598431
60,2310003F16Rik,1.3790036,0.6383566,0.1852376437794026,0.44797134455691545
61,Tnfsf9,1.3744975,4.6365685,0.18710558651270406,0.4509087842565236
