,names,scores,logfoldchanges,pvals,pvals_adj
0,Gpr56,10.667616,1.3751423,8.525289591686031e-25,6.004239669573162e-23
1,Cd34,10.631259,1.5724559,1.2606845119857312e-24,8.701244501725517e-23
2,Irf8,10.554088,2.1552615,4.158171719621292e-24,2.8136961969437414e-22
3,Ifitm1,10.504709,2.4196436,8.277519344533156e-24,5.389758350563004e-22
4,Flt3,9.356972,3.5684917,2.8686862599755717e-19,1.3199781710900931e-17
5,Coro2a,9.028308,1.7952099,1.857750943458417e-18,8.11531456439873e-17
6,Tmsb10,8.171415,1.2183045,1.3479455930240876e-15,4.948681108006517e-14
7,Ifitm3,7.766164,1.3464341,2.807852349359825e-14,9.055979866953979e-13
8,Cd27,7.696089,1.2414132,4.552831826219957e-14,1.4283475120259157e-12
9,Lsp1,7.602512,2.3164494,1.1545162559908703e-13,3.4645526951517334e-12
10,H2afy,7.594263,0.26608717,9.945237291591685e-14,3.037257866662204e-12
11,Tmem176b,7.227408,0.87288517,1.2455357229538418e-12,3.384522661349377e-11
12,Fam65a,7.1165195,1.134664,2.6435156555296284e-12,6.963948494070799e-11
13,S100a10,6.94113,1.2317444,8.680406726382421e-12,2.1865754461858203e-10
14,Nrgn,6.8614426,1.6911268,1.5969826141841542e-11,3.853976924160501e-10
15,Mfge8,6.7273135,2.4683506,4.185928858476723e-11,9.503710849081034e-10
16,Allergin-1,6.330852,2.2786183,4.883256031541565e-10,9.85503892681283e-09
17,Sox4,6.2527146,1.1383165,6.900074459702216e-10,1.3529634636609289e-08
18,Ly86,6.218057,1.8727026,9.257254959732357e-10,1.755317959672328e-08
19,Plxnb2,6.069366,2.6760194,2.3993736499596515e-09,4.381078553444845e-08
20,Aff3,5.71109,1.5608318,1.6777620579028253e-08,2.744055384750071e-07
21,Muc13,5.704531,1.1330922,1.6994644324542384e-08,2.7534515288260926e-07
22,Rbpms,5.5424075,2.0579023,4.3985175200382134e-08,6.628508280197324e-07
23,Sh3glb1,5.5066643,1.6971258,5.2124092419384555e-08,7.787023503865632e-07
24,Serpina3f,5.3885264,0.96884507,9.604542650585461e-08,1.3737864475715621e-06
25,Tmem109,5.2454457,1.8046887,2.1317159763098297e-07,2.87365306025204e-06
26,Ctss,5.2328434,3.2060518,2.486727703725899e-07,3.3133966430726167e-06
27,Gpr171,5.062343,2.262462,5.5672576763752e-07,6.911009439270077e-06
28,Trf,5.0466614,1.0162334,5.679392023195132e-07,7.024939739084732e-06
29,Egfl7,5.0066657,1.2795352,7.021151924432012e-07,8.592196911778324e-06
30,Serpinf1,4.9981174,1.6748799,7.437396629940476e-07,9.037484426029782e-06
31,Ifi27l2a,4.996244,2.5849366,7.850235799201513e-07,9.472434875190356e-06
32,Tpm4,4.8638325,3.6125212,1.5621215834821249e-06,1.7764357863431788e-05
33,Satb1,4.829114,1.5120194,1.6986916213967089e-06,1.9033067485194942e-05
34,Fam117a,4.828513,0.7237498,1.6741294852847203e-06,1.8818960435562117e-05
35,Pecam1,4.8165045,1.2343525,1.788353715839049e-06,1.9844400878972855e-05
36,Fgd2,4.710514,1.7342707,3.0182594024333606e-06,3.175613779816319e-05
37,Slc22a3,4.6945615,2.4952266,3.372528853276156e-06,3.505601527908438e-05
38,Il6st,4.6676507,3.6943905,3.9980633306944235e-06,4.010847835530947e-05
39,Pou2f2,4.6623654,1.229486,3.7388353698648295e-06,3.794917900412802e-05
40,H2-DMa,4.6287766,0.74451315,4.3481993964789625e-06,4.2996092026501145e-05
41,Emb,4.543911,0.58528006,6.45414888688793e-06,6.1698802794045e-05
42,Ppif,4.5224514,0.70398813,7.1246197137452655e-06,6.681267019601878e-05
43,Selplg,4.4413323,0.5276204,1.0315815142159298e-05,9.3772419539247e-05
44,Slc25a4,4.406649,0.6049213,1.2068283893537714e-05,0.00010678884029897089
45,Klk8,4.39959,1.5031058,1.2591220381175877e-05,0.0001108477079985662
46,Dapp1,4.3920283,0.67289644,1.2880058971833088e-05,0.00011281493277105581
47,Spns2,4.3873525,1.1483096,1.3214256744892984e-05,0.00011515757582481233
48,Sell,4.3804607,0.79797685,1.3565759208321681e-05,0.00011792301014588947
49,Fr1,4.305744,1.0858068,1.896076746250233e-05,0.00016077053688721263
50,Txndc5,4.214611,1.0779365,2.8233371604048103e-05,0.00023421482068646633
51,Itgb7,4.0162945,2.363192,6.70562560520108e-05,0.0005097161665979941
52,Phf14,3.9976835,0.8294975,7.045476742609862e-05,0.000530150939421688
53,Gimap6,3.9963255,2.8529975,7.364486714159666e-05,0.0005489167095154429
54,Fyn,3.9706602,1.7610383,7.995212543748448e-05,0.0005920918130574227
55,Myct1,3.9600255,2.74967,8.487101587764954e-05,0.0006192174963927454
56,Ifi203,3.9598002,1.831893,8.331473742628695e-05,0.0006104440740087394
57,Eif4e3,3.9565315,1.0917945,8.359515994859743e-05,0.0006112010529292579
58,Fabp5,3.9386165,1.8130808,9.119853298447568e-05,0.000651606909584732
59,Tspan13,3.9280813,1.384922,9.432736088866942e-05,0.0006725696744355334
60,Cdkn1a,3.923428,1.2536458,9.584283567817066e-05,0.0006819662390213751
61,Ms4a6c,3.9163046,1.3455786,9.898464244699919e-05,0.0007014291603379758
62,Vdr,3.9071233,3.970382,0.00010755363994290358,0.0007513514401679358
63,Cct5,3.8821766,0.32851067,0.00011336098150289816,0.0007871403363511097
64,Dntt,3.83563,2.41136,0.0001406994019748304,0.0009373622320755593
65,Gata2,3.8221886,1.1780502,0.00014426972685626955,0.0009592963918708791
66,Lat2,3.8218536,1.5513567,0.00014510632568288717,0.000963003711407007
67,Rasa4,3.8171804,1.1778355,0.00014690386376841778,0.0009711977660245398
68,Itpripl1,3.8105931,1.7489045,0.00015199573406523905,0.0010029393465757935
69,9030617O03Rik,3.805785,3.1816337,0.00015911611793751688,0.0010439348346052675
70,Cisd1,3.6909213,0.9547054,0.00024028042353496494,0.001510396614971155
71,Cd302,3.6615994,24.055674,0.0002847461366045942,0.0017547480668258116
72,Rcor2,3.6615994,24.055674,0.0002847461366045942,0.0017547480668258116
73,5830405N20Rik,3.6442802,1.8997891,0.0002913080501657249,0.001785620037516726
74,Ttyh2,3.6347756,1.843243,0.00030115228077175394,0.0018426888669207853
75,Usp22,3.6052327,1.0999182,0.0003337616965318393,0.0020207221311076794
76,AK153427,3.5719204,1.2348733,0.00037884732543547585,0.002269795347357339
77,Ccnd1,3.555644,3.0959592,0.00041339254532868434,0.0024596856447056717
78,Pla2g16,3.5379782,0.9973319,0.0004290533369950906,0.0025440946150688277
79,Meis1,3.528096,2.3254936,0.0004521136879503309,0.002667084336951439
80,Gimap1,3.521727,3.0019727,0.0004673974627930372,0.0027478511824510585
81,Tubb2a,3.521727,3.0019727,0.0004673974627930372,0.0027478511824510585
82,Tyms,3.4938662,0.7499455,0.0005046163821712026,0.0029366460959069484
83,Ptms,3.4826908,1.7526476,0.0005297569414242671,0.0030622968255530083
84,Angpt1,3.474939,3.84049,0.0005601186289942833,0.003226993971050537
85,Paics,3.435144,0.63594335,0.0006255437060883328,0.0035505778449191386
86,Abcb1b,3.42549,2.275635,0.0006568029687719372,0.0036975971374093885
87,Basp1,3.4067736,2.113802,0.0007021900744059426,0.003933860303206019
88,Trim47,3.3594217,23.812742,0.0008570377088940114,0.004687222081447279
89,Rara,3.3197753,3.710213,0.0009725465650021725,0.005252360243853673
90,Gng2,3.2901275,0.97925264,0.0010503506072961002,0.005593765348424139
91,2210020M01Rik,3.288816,2.1991553,0.0010655634743703868,0.005657322384695699
92,Hmgn1,3.2646239,0.5522894,0.0011469434123716816,0.00606141151009904
93,Map4k4,3.2533765,1.0567986,0.0011943752598510243,0.0062736514790652734
94,Megf12,3.250649,2.0281923,0.0012157702026894658,0.006357004499214162
95,Iqgap2,3.2503817,0.7745617,0.0012051600594603395,0.006311088566309001
96,BC035044,3.23825,0.6593704,0.0012568686441249797,0.0065260387830597
97,Mtx2,3.2352865,0.8510727,0.0012700441988619156,0.00656126127286298
98,Marcksl1,3.2257125,0.9483212,0.0013129037291723768,0.006762433984140108
99,Epb4.1l4b,3.2061884,2.738567,0.0014239525434292853,0.007215947470447083
100,Rtp4,3.1637194,2.0165908,0.0016372183610618286,0.008141268824242608
101,Ahdc1,3.1637194,2.0165908,0.0016372183610618286,0.008141268824242608
102,Nek6,3.159291,1.383359,0.001650669161204093,0.008184567924303629
103,BC064078,3.143681,2.889141,0.0017671329704853854,0.008601376419104464
104,Txnip,3.1344676,0.7331744,0.0017904462609142824,0.008702577530162237
105,Plek,3.1334567,1.849652,0.0018093810745299416,0.008757607416834262
106,Foxj1,3.1320806,2.1504743,0.001822310337885003,0.008795514651805798
107,Plekho1,3.101105,1.3018929,0.002007424446349488,0.009568538348552601
108,Mef2c,3.0973244,1.0478566,0.0020294374807308868,0.009655898059760342
109,Nrip1,3.081871,1.340967,0.002139786191621894,0.01009427464216638
110,H2-T10,3.070789,0.5041859,0.002213706126787612,0.010365671429503457
111,Elk3,3.067711,0.78707355,0.002236548530022596,0.01044428819635721
112,Dctpp1,3.0471485,0.31293544,0.0023941039886190623,0.011119855807166063
113,Mrgpre,3.0044515,3.3796449,0.002798520420750973,0.012842678154270756
114,Arhgap30,2.994676,0.6817752,0.0028397071871647354,0.012997121356638597
115,Tal1,2.991386,1.1747321,0.0028760336305093536,0.013111218043444887
116,Il10ra,2.98741,23.706322,0.0029890379916846614,0.01353696864738027
117,Ugt1a1,2.9769752,1.083986,0.0030104598000726163,0.013604295089555298
118,Runx1,2.972625,0.46013126,0.0030493099794421004,0.013737818197199332
119,Prdx4,2.9068727,1.3639638,0.0037696772452785153,0.016551089279206305
120,Slc2a6,2.8987298,2.6028473,0.0038983420408400422,0.01700781085074461
121,Epx,2.8825743,3.426628,0.004141232952884401,0.017877127980283146
122,Micall2,2.858815,1.5236421,0.0043864037509255575,0.018757719138096776
123,Sdhb,2.8465207,0.30758864,0.004544547397942379,0.019362016136171792
124,Bex6,2.8415878,0.6692946,0.004613380321658179,0.019582749680248923
125,Bcl2,2.8415031,1.2241075,0.0046237897846652855,0.019602823767665725
126,Atp10d,2.8384507,3.3060482,0.004723856942395912,0.019929132406122606
127,Fth1,2.8356612,0.16665623,0.0047026725632996706,0.019864042859176454
128,AK042223,2.8319297,3.2531524,0.0048166269403767835,0.020228782223023725
129,Fam26f,2.8109472,1.9670386,0.005098228932361702,0.02109590892755424
130,Il4ra,2.810748,0.7835948,0.005076201620942098,0.021029978143902978
131,Lgals1,2.7947896,0.22784449,0.005330145256035088,0.021924113562070427
132,Ywhaq,2.7923722,0.52763134,0.00536826913000322,0.022002252693160466
133,Mtch2,2.7874107,0.55160385,0.005450294792216601,0.022311942263273418
134,Vprbp,2.7769883,0.8558049,0.005629276746793351,0.02296292441274687
135,Lcp1,2.7741694,0.35200763,0.005675020968560105,0.023073991831333622
136,Tbxa2r,2.770587,2.583519,0.005790611220599112,0.023442947097309815
137,Selp,2.770587,2.583519,0.005790611220599112,0.023442947097309815
138,Ddah2,2.768318,1.59072,0.005796874492933012,0.023442947097309815
139,Itga2b,2.742987,1.2809659,0.006244316360195132,0.024970029848242644
140,Dhrs3,2.731924,1.2638032,0.006460065424781916,0.02562492618496827
141,Alad,2.73186,0.5320983,0.006449076387745871,0.025610774009333714
142,H2-Oa,2.7302425,2.49497,0.00653081591458553,0.025846153350039754
143,Tjp2,2.720377,1.6608707,0.00669857587988498,0.026449411168744927
144,Zyx,2.7135687,0.41976884,0.006812830853074056,0.02681696241236413
145,Sod1,2.711841,0.21163394,0.006849126438909003,0.02681696241236413
146,Csf1r,2.7101104,0.6322533,0.00688334423626353,0.02684115362637903
147,Arhgap17,2.696759,0.5967762,0.007162541881471616,0.02767965513209244
148,Wdfy4,2.6865866,0.5084254,0.007382126419731073,0.028401023717382307
149,Osbpl5,2.680743,1.753983,0.007538191555981203,0.028904776732990148
150,Gng10,2.6688771,0.40305495,0.007778706190450757,0.029700769696035176
151,Pld4,2.6572733,1.2393913,0.00806102367541779,0.03070484845901412
152,Ms4a6b,2.6547654,1.8836135,0.008140439932911714,0.030939050890394636
153,Ccdc109b,2.6504638,3.1146874,0.008292669424581196,0.03144835404860407
154,Tmem229b,2.6361797,0.45262292,0.008561621384971596,0.032361615990730536
155,Tmem173,2.6267588,0.57934856,0.008799962005047792,0.03304534154452658
156,Ipo4,2.609868,0.6079029,0.009242127547149854,0.03440623750292788
157,Camk1d,2.6002254,1.9231637,0.009547954756724897,0.03527836388164628
158,Smyd5,2.5982113,0.49456438,0.0095588008712438,0.035280665033863484
159,Il1r1,2.5964742,2.0051582,0.009638814220901801,0.035500051095338436
160,Crip1,2.5854363,0.41381583,0.009917514824148412,0.03644871529087984
161,Lyz1,2.577912,0.5616008,0.010133531965525928,0.037086646713930055
162,Cnbp,2.5678456,0.25713235,0.010433300414556033,0.0380605916814301
163,Afap1l1,2.5601635,1.0118903,0.010666772037430978,0.03883020073963534
164,Slc12a9,2.5432673,1.5379633,0.011205675891412619,0.04049297120551303
165,Map3k5,2.5258718,0.9263574,0.011756694787044261,0.0419569324819956
166,Mir1903,2.5256479,1.831881,0.011797029056602187,0.04201718865875331
167,Il16,2.512837,0.44713002,0.012189924984845484,0.04332382195952808
168,D18Ertd653e,2.4947755,1.6439953,0.012851856942147811,0.04525689623199194
169,Cct4,2.491566,0.45942414,0.012937707116982262,0.045512769888588975
170,Epsti1,2.485682,0.8571044,0.013153359052960906,0.04613032732903261
171,AK076954,2.4852908,1.3720773,0.013186866868357558,0.04620089092660094
172,mKIAA1994,2.4834425,0.93148106,0.013239481920743024,0.04629123820515114
