,names,scores,logfoldchanges,pvals,pvals_adj
0,Gstm1,32.064056,2.4897046,2.1215556920699918e-141,7.321488693333541e-138
1,Elane,29.233326,1.9084053,2.781111962798049e-107,4.798808691808033e-104
2,Alas1,23.198502,1.7549379,1.2315308701708084e-88,1.4166710109864866e-85
3,Prtn3,21.33815,0.8339727,5.958476775479966e-72,5.140675838045341e-69
4,Ctsg,20.418362,1.0462517,3.425154532006045e-67,1.4775260362441075e-64
5,Mpo,20.296844,0.6256573,5.226832336589164e-66,1.8037798393569205e-63
6,Sun2,19.988222,2.2059727,1.5296684220093255e-69,1.0557771448708364e-66
7,Pglyrp1,19.862064,3.7157068,4.870653397758529e-62,1.5280568068786077e-59
8,1190002H23Rik,19.658072,2.2303483,5.110853000904004e-68,2.5707600243497836e-65
9,Hp,19.435188,1.8977036,5.21452337596305e-68,2.5707600243497836e-65
10,Srgn,19.30783,0.7596141,1.853972046769573e-66,7.108952814890886e-64
11,P4hb,18.806292,0.9205074,2.3300114111026915e-61,6.700724483096157e-59
12,Ifngr1,18.364248,2.0394385,5.651498642796704e-61,1.5002555243301095e-58
13,Nkg7,18.069063,1.9026963,1.0451865815795051e-59,2.57638492359348e-57
14,Fcgr3,17.6823,2.4685245,6.174951425995865e-56,1.4206504914074488e-53
15,C3,17.334707,3.1161432,7.046131740373786e-52,1.4303647432958786e-49
16,Ly6c2,17.013714,2.116288,5.547168768450302e-54,1.1964549637451245e-51
17,Calr,16.107475,0.5334899,5.1100748361944197e-48,9.797149033170524e-46
18,Cd63,15.312597,2.2448316,2.6844281558789735e-44,4.4114102694944466e-42
19,Mt1,15.182656,1.8074785,1.18601241737144e-44,2.0464644261744197e-42
20,Prdx5,15.125354,1.6025269,1.0973497305277393e-44,1.993133642132225e-42
21,Cebpe,14.82143,2.4189384,6.511263354572466e-42,9.769726015925905e-40
22,Gpi1,14.525263,0.9431777,3.9237414915526337e-42,6.1549235851582455e-40
23,Tmbim6,14.025405,0.9686886,9.834147464415457e-40,1.4140684541540726e-37
24,B4galt6,13.94845,2.7804558,3.6552830669498624e-37,4.851685332324606e-35
25,Adssl1,13.670572,1.5701126,1.0917393488397725e-37,1.507036997138422e-35
26,Gpc1,13.564448,2.4866076,6.80222723671086e-36,8.383745069246135e-34
27,Pgd,13.511568,1.3369948,4.4978684043170785e-37,5.74894217159194e-35
28,Prssl1,13.220239,2.910227,6.896005532700084e-34,8.206246583913101e-32
29,Ltb4r1,13.033875,3.747708,1.7936299716903018e-32,1.9343178225947597e-30
30,Gsr,12.90384,1.7904346,1.20553987779255e-33,1.3867727060873634e-31
31,Tkt,12.505672,0.6601913,1.5187320132550466e-32,1.690691670239731e-30
32,Ssr2,12.272796,0.8661487,1.3157480568028563e-31,1.375953498189896e-29
33,Serp1,12.139717,1.0307566,5.360571428699163e-31,5.44098000012965e-29
34,Fam101b,12.098591,3.4864624,7.885458021827669e-29,6.977619393160843e-27
35,Impdh1,12.046141,1.4165927,2.87213161560969e-30,2.8319217729911546e-28
36,Trem3,11.947432,2.3438382,4.617922862303246e-29,4.193803104686447e-27
37,Chd7,11.896327,3.3862748,4.9298782517703655e-28,3.780668854857673e-26
38,Napsa,11.801083,1.0272061,1.7027700372349678e-29,1.6322942773605205e-27
39,Arhgdib,11.748,0.6751649,2.747446278946452e-29,2.5625505699038395e-27
40,Kdelr2,11.695472,1.4394696,8.602431069108496e-29,7.421747404873355e-27
41,Hdc,11.541161,1.5195343,4.0123145433519393e-28,3.146931247524442e-26
42,Ptgr1,11.535617,2.1775315,1.7250213255230988e-27,1.2941409987783074e-25
