,paul15_clusters,n_counts_all,louvain,louvain_anno,cell_type,dpt_pseudotime
0,7MEP,353.0,8,8,Ery4,0.22554739
1,15Mo,2556.0,1,1,Monocyte Progenitor,0.2735242
2,3Ery,4649.0,17,17,Ery0,0.71017945
3,15Mo,4486.0,2,2,Neutrophils,0.26790375
4,3Ery,5205.0,17,17,Ery0,0.7819391
5,15Mo,1515.0,4,4,HPC,0.23829997
6,4Ery,2974.0,15,15,Ery1,0.61476773
7,2Ery,344.0,13,13,Ery3,0.54682714
8,3Ery,2545.0,18,18,Ery2,0.5296708
9,2Ery,3103.0,10,10/Ery,Ery0,0.83371377
10,2Ery,3107.0,5,5,Ery0,0.7444901
11,17Neu,979.0,22,22/Baso,Basophil,0.1539955
12,14Mo,1965.0,4,4,HPC,0.15421528
13,13Baso,1026.0,0,0,HPC,0.17627594
14,3Ery,2663.0,3,3,Ery0,0.65073
15,7MEP,285.0,12,12,Ery4,0.2687622
16,3Ery,4386.0,3,3,Ery0,0.7017112
17,3Ery,2855.0,17,17,Ery0,0.86036116
18,2Ery,3092.0,10,10/Ery,Ery0,0.7092228
19,8Mk,2339.0,20,20/Mk,Mep,0.33310473
20,3Ery,2153.0,18,18,Ery2,0.5627963
21,9GMP,1540.0,0,0,HPC,0.053832132
22,8Mk,1329.0,20,20/Mk,Mep,0.17999622
23,10GMP,489.0,0,0,HPC,0.11575196
24,15Mo,811.0,1,1,Monocyte Progenitor,0.29049954
25,16Neu,1874.0,14,14,Neutrophils,0.400893
26,4Ery,2392.0,6,6,Ery1,0.648696
27,13Baso,1317.0,0,0,HPC,0.034683492
28,17Neu,532.0,22,22/Baso,Basophil,0.122946724
29,3Ery,4575.0,3,3,Ery0,0.7326339
30,2Ery,3741.0,3,3,Ery0,0.7217247
31,3Ery,2759.0,15,15,Ery1,0.72129035
32,5Ery,1655.0,6,6,Ery1,0.5557566
33,3Ery,2669.0,15,15,Ery1,0.5595129
34,13Baso,1377.0,0,0,HPC,0.17155781
35,1Ery,2516.0,10,10/Ery,Ery0,1.0
36,3Ery,2914.0,17,17,Ery0,0.8073101
37,6Ery,3016.0,18,18,Ery2,0.5147354
38,15Mo,1409.0,2,2,Neutrophils,0.3699454
39,3Ery,1898.0,6,6,Ery1,0.56275105
40,3Ery,2347.0,3,3,Ery0,0.73237985
41,14Mo,2746.0,11,11,Monocyte Progenitor,0.27396324
42,19Lymph,413.0,21,21,DC,inf
43,12Baso,960.0,16,16/Stem,Early Progenitor,0.0
44,3Ery,4458.0,17,17,Ery0,0.861972
45,14Mo,2079.0,1,1,Monocyte Progenitor,0.21505632
46,6Ery,2799.0,15,15,Ery1,0.62565905
47,4Ery,3595.0,3,3,Ery0,0.6168892
48,7MEP,545.0,0,0,HPC,0.32698387
49,2Ery,2705.0,3,3,Ery0,0.7534947
50,13Baso,840.0,0,0,HPC,0.0753152
51,14Mo,2636.0,2,2,Neutrophils,0.26733226
52,6Ery,2088.0,18,18,Ery2,0.56585884
53,18Eos,513.0,4,4,HPC,0.51557237
54,4Ery,2284.0,3,3,Ery0,0.71622527
55,3Ery,2857.0,6,6,Ery1,0.67730546
56,3Ery,2507.0,15,15,Ery1,0.7118801
57,14Mo,2324.0,9,9,Monocyte Progenitor,0.27758312
58,2Ery,3814.0,10,10/Ery,Ery0,0.7794432
59,13Baso,1809.0,11,11,Monocyte Progenitor,0.23192666
60,2Ery,3125.0,10,10/Ery,Ery0,0.8274215
61,13Baso,4422.0,24,24/Mo,Monocyte Progenitor,0.31956863
62,13Baso,1605.0,9,9,Monocyte Progenitor,0.27746972
63,14Mo,3766.0,9,9,Monocyte Progenitor,0.29533172
64,7MEP,365.0,8,8,Ery4,0.23771475
65,7MEP,2714.0,18,18,Ery2,0.46590245
66,7MEP,424.0,8,8,Ery4,0.2042852
67,10GMP,927.0,0,0,HPC,0.14760725
