,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
0,-1.571137,8.23255,-1.2634231,2.152002,-1.9510543,0.64269835,-1.5098639,0.5271902,-2.9323828,4.3538523,-0.27866724,-1.3264817,1.2438667,-0.8394898,-0.78393614,-1.4244045,-1.9924854,-1.0234929,4.556264,-1.1892843,-3.3058689,1.1534352,-2.4649017,-0.60727936,1.7018569,-1.6241089,3.9346619,-0.86830515,2.5973732,1.3613237,2.8361418,0.7704802,-0.5883947,0.4813426,-1.244081,-2.8946052,0.78934914,3.0705914,2.6615493,0.43969032,0.6624684,1.8712162,-3.5760798,3.5498393,0.33696383,-4.366043,-0.8841683,-3.7136376,1.949225,0.5479613
1,-7.8959064,-5.212904,-0.3321576,1.160746,-0.13079081,-0.013215812,-1.428698,0.1697534,1.2107769,1.3098925,-1.8823838,-0.26432478,-0.345064,0.54113,-0.26682767,0.37247938,-1.0331718,-0.599956,0.12890401,-0.39409587,-0.05018077,-0.21934721,0.5786016,0.6176857,0.057490505,-0.37947112,0.65033275,0.97236294,-0.10417043,0.5931679,0.3669134,0.46065834,0.18822779,-0.009418161,-0.83174163,-0.5848525,-1.8834288,0.6411177,-0.9943151,-1.076667,-0.800761,1.0216157,0.13548325,-0.29612035,0.13667057,-0.32400337,-0.27457842,0.3855158,-0.7745185,0.61344254
2,14.634976,-2.1749,0.30501422,-1.3846427,4.4328504,2.8023312,-0.28956744,1.21064,-1.8726535,1.4316776,0.3436144,0.2818896,1.0767642,0.061864242,0.4042217,-1.0476876,0.48479804,1.2697226,-0.28132188,0.6761496,-0.6702355,-0.7227055,0.188869,-0.63988954,-0.81630856,-0.73558426,-0.79657394,-0.47973984,0.81357944,-1.0120304,0.44668543,-0.6257369,0.28552425,-1.0662165,0.43132833,-0.13584529,2.1278532,-0.66614443,-0.11987135,-0.59514374,1.1038713,-0.07174571,-0.51962894,-0.5436254,0.92560506,0.33825982,0.64592355,0.72869813,0.4616529,-0.43825763
3,-6.819839,-4.0028725,-3.9624877,1.2171028,3.890067,3.1975636,-3.2827415,0.010820646,0.08773954,-0.3807668,2.1580443,-1.0806988,0.20578237,-0.044878926,2.0216308,1.5330621,-1.6554762,0.6415585,0.20428456,1.0313314,-0.8077944,-0.67689145,0.92922175,-0.94857436,1.9575547,-0.6872208,-0.70321983,0.051139172,0.81049293,1.6324339,1.4991348,-0.012650496,-0.7134942,0.28383306,0.45215282,-0.13775504,-0.6690432,0.13867252,1.2257481,0.35368553,0.04558707,-0.1991134,0.09038597,0.16292088,0.40900508,0.6563067,0.5814355,0.1653711,-0.24817465,0.06873962
4,15.3997755,-2.6229777,1.1260947,-0.2678932,3.3143387,3.016919,0.4832975,0.24245828,-0.96689093,1.6127888,-0.9263086,-0.10136101,0.94538784,-0.5943704,2.265756,-0.5600831,0.6115527,1.3720452,0.16924164,0.8734151,-0.7163145,-0.14673528,0.63461524,-0.014508919,-0.9679355,-0.11419222,1.1976961,0.2553829,1.2626225,1.1244588,0.5471244,-0.14761443,0.09396507,1.8803587,0.15695727,1.0212488,0.17839748,-0.5415888,0.3660695,-1.6587058,-0.30565408,-0.16646174,0.046103563,0.6446151,2.7381423,0.6876965,-1.350641,-1.0553166,-0.15115993,-0.030400813
5,-7.513462,1.0426898,-2.941874,-0.66494906,2.051735,1.9399557,0.85310507,1.7186128,-2.764811,0.78711784,0.7333925,-0.5349245,-1.2436079,-0.37918633,-0.81216985,1.5867869,-1.2085427,-0.16359709,-1.3412958,1.1622251,0.22007857,-2.428622,0.95332754,-0.3345482,1.1851983,-1.3532937,-1.1165768,-0.8062686,2.2900023,0.5235933,1.2058531,-0.6527176,-1.5662957,-1.8035253,2.3941033,2.5510774,0.76231176,-3.1599157,0.2445889,0.7179381,0.9796969,0.43504786,-0.7957734,-2.6500366,0.8313435,-0.8398231,-2.300211,-3.444364,1.1111801,-0.37657872
6,7.4708867,1.2008748,-0.21416534,-1.365926,2.9689567,0.3903801,-4.5463257,0.60734016,-0.84113777,0.41340816,-0.4221601,0.8246462,-0.12159112,1.2767494,-1.8846925,-1.2630092,-1.7351041,1.2532189,0.1123228,-0.23603533,0.42519578,0.032317072,-0.061845344,-0.051658724,0.8955707,-0.6374007,0.27412724,0.44339448,0.88780016,2.0148711,0.45765626,-0.78112227,-0.26409236,-0.96803313,0.7894647,0.30163425,-1.1647472,0.79507005,0.29471934,-1.4720478,-0.2557211,0.36834586,-0.71482486,-1.0584297,-0.029774534,-1.3238025,0.13298994,0.5925718,-0.55677646,-2.0700731
7,2.8668592,3.0155642,2.410157,4.0087204,-4.700077,-2.52454,2.6771317,-0.97446084,0.6592982,1.3712434,-0.5878455,0.9878054,-3.4295118,0.47701377,3.2256577,-0.4046497,1.2275772,2.691074,3.5618749,0.27643955,-2.131871,-0.36757082,-4.8426228,4.239964,-2.375444,-2.9679227,0.86137587,1.3531415,2.7819328,2.8834376,4.8404236,-2.083223,0.4949918,-0.28549838,2.563445,2.7422125,4.382954,-2.4062128,-1.121012,-1.5774984,1.144309,2.1342964,-0.011542854,-2.5912917,-0.7525955,-1.5375944,-0.037576377,2.6583147,-2.8448966,-1.4537536
8,3.5754375,4.078036,-2.8430955,-3.4956095,5.8670616,2.5944445,-7.00424,0.54284483,-0.95824444,0.22690973,-1.093975,-0.07031994,2.3134272,-0.34221244,-0.3217154,1.4694713,-1.5305022,0.89308864,1.5472306,-1.9543815,3.338193,0.2641987,0.94911003,2.1565502,0.45035726,-1.9489707,0.44314194,0.111468956,1.6751013,-0.43272915,-1.8176364,0.5028958,0.7213962,0.6471397,-0.13076702,1.3883576,0.32155493,-0.087281555,-2.3388438,-1.294891,-1.7563273,0.24933496,0.5381045,1.3285164,-0.14313549,1.0348818,-2.7230089,-0.18710855,0.7707973,0.45769
9,13.046186,-3.9312985,1.1132708,0.65924835,0.57678735,0.93338746,4.448684,-0.27259293,-1.3874344,0.6041274,-0.3631924,-0.012735272,-0.6991978,-0.5740243,-0.74131924,1.2748023,-1.2272402,-0.016784916,0.3732841,-0.37445274,0.9168427,-0.09766567,0.37622204,-0.29704982,0.19179897,0.2565148,0.38998595,1.4156951,-1.4098164,0.22986414,-0.4032521,0.1553744,-1.2478437,-0.28356582,-1.1345545,0.8390653,-0.6381142,-1.0029365,0.16345915,1.0320858,0.118264176,-0.03829766,0.18009172,0.80127007,1.0616466,0.7632124,-0.43958706,1.0267928,0.31256473,1.1958026
